# set_id=prefectures_capitals_v1
# title=都道府県・県庁所在地
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	北海道庁が置かれている都市はどこですか。	札幌市	北海道庁は札幌市にあります。	0	札幌市	旭川市	函館市	釧路市
q_002	青森県庁が置かれている都市はどこですか。	青森市	青森県庁は青森市にあります。	1	弘前市	青森市	八戸市	むつ市
q_003	岩手県庁が置かれている都市はどこですか。	盛岡市	岩手県庁は盛岡市にあります。	2	花巻市	一関市	盛岡市	宮古市
q_004	宮城県庁が置かれている都市はどこですか。	仙台市	宮城県庁は仙台市にあります。	3	石巻市	大崎市	名取市	仙台市
q_005	秋田県庁が置かれている都市はどこですか。	秋田市	秋田県庁は秋田市にあります。	0	秋田市	横手市	大館市	能代市
q_006	山形県庁が置かれている都市はどこですか。	山形市	山形県庁は山形市にあります。	1	米沢市	山形市	鶴岡市	酒田市
q_007	福島県庁が置かれている都市はどこですか。	福島市	福島県庁は福島市にあります。	2	郡山市	会津若松市	福島市	いわき市
q_008	茨城県庁が置かれている都市はどこですか。	水戸市	茨城県庁は水戸市にあります。	3	つくば市	日立市	土浦市	水戸市
q_009	栃木県庁が置かれている都市はどこですか。	宇都宮市	栃木県庁は宇都宮市にあります。	0	宇都宮市	足利市	小山市	日光市
q_010	群馬県庁が置かれている都市はどこですか。	前橋市	群馬県庁は前橋市にあります。	1	高崎市	前橋市	太田市	桐生市
q_011	埼玉県庁が置かれている都市はどこですか。	さいたま市	埼玉県庁は、ひらがな表記のさいたま市にあります。	2	川越市	川口市	さいたま市	所沢市
q_012	県庁所在地が千葉市である都道府県はどれですか。	千葉県	千葉市は千葉県の県庁所在地です。	3	茨城県	埼玉県	神奈川県	千葉県
q_013	東京都庁が置かれている区はどこですか。	新宿区	東京都庁舎は新宿区にあります。	0	新宿区	千代田区	港区	渋谷区
q_014	神奈川県庁が置かれている都市はどこですか。	横浜市	神奈川県庁は横浜市にあります。	1	川崎市	横浜市	鎌倉市	相模原市
q_015	新潟県庁が置かれている都市はどこですか。	新潟市	新潟県庁は新潟市にあります。	2	長岡市	上越市	新潟市	三条市
q_016	富山県庁が置かれている都市はどこですか。	富山市	富山県庁は富山市にあります。	3	高岡市	魚津市	砺波市	富山市
q_017	石川県庁が置かれている都市はどこですか。	金沢市	石川県庁は金沢市にあります。	0	金沢市	小松市	七尾市	加賀市
q_018	県庁所在地が福井市である都道府県はどれですか。	福井県	福井市は福井県の県庁所在地です。	1	石川県	福井県	富山県	新潟県
q_019	山梨県庁が置かれている都市はどこですか。	甲府市	山梨県庁は甲府市にあります。	2	富士吉田市	甲斐市	甲府市	笛吹市
q_020	長野県庁が置かれている都市はどこですか。	長野市	長野県庁は長野市にあります。	3	松本市	上田市	飯田市	長野市
q_021	岐阜県庁が置かれている都市はどこですか。	岐阜市	岐阜県庁は岐阜市にあります。	0	岐阜市	大垣市	高山市	多治見市
q_022	静岡県庁が置かれている都市はどこですか。	静岡市	静岡県庁は静岡市にあります。	1	浜松市	静岡市	沼津市	富士市
q_023	愛知県庁が置かれている都市はどこですか。	名古屋市	愛知県庁は名古屋市にあります。	2	豊橋市	岡崎市	名古屋市	豊田市
q_024	県庁所在地が津市である都道府県はどれですか。	三重県	津市は三重県の県庁所在地です。	3	滋賀県	奈良県	和歌山県	三重県
q_025	滋賀県庁が置かれている都市はどこですか。	大津市	滋賀県庁は大津市にあります。	0	大津市	彦根市	草津市	長浜市
q_026	京都府庁が置かれている都市はどこですか。	京都市	京都府庁は京都市にあります。	1	宇治市	京都市	舞鶴市	福知山市
q_027	大阪府庁の本庁舎が置かれている都市はどこですか。	大阪市	大阪府庁の本庁舎は大阪市にあります。	2	堺市	東大阪市	大阪市	豊中市
q_028	兵庫県庁が置かれている都市はどこですか。	神戸市	兵庫県庁は神戸市にあります。	3	姫路市	西宮市	尼崎市	神戸市
q_029	奈良県庁が置かれている都市はどこですか。	奈良市	奈良県庁は奈良市にあります。	0	奈良市	橿原市	生駒市	大和郡山市
q_030	和歌山県庁が置かれている都市はどこですか。	和歌山市	和歌山県庁は和歌山市にあります。	1	田辺市	和歌山市	新宮市	海南市
q_031	県庁所在地が鳥取市である都道府県はどれですか。	鳥取県	鳥取市は鳥取県の県庁所在地です。	2	島根県	岡山県	鳥取県	山口県
q_032	島根県庁が置かれている都市はどこですか。	松江市	島根県庁は松江市にあります。	3	出雲市	浜田市	益田市	松江市
q_033	岡山県庁が置かれている都市はどこですか。	岡山市	岡山県庁は岡山市にあります。	0	岡山市	倉敷市	津山市	玉野市
q_034	広島県庁が置かれている都市はどこですか。	広島市	広島県庁は広島市にあります。	1	福山市	広島市	呉市	尾道市
q_035	山口県庁が置かれている都市はどこですか。	山口市	山口県庁は山口市にあります。	2	下関市	宇部市	山口市	岩国市
q_036	徳島県庁が置かれている都市はどこですか。	徳島市	徳島県庁は徳島市にあります。	3	鳴門市	阿南市	吉野川市	徳島市
q_037	県庁所在地が高松市である都道府県はどれですか。	香川県	高松市は香川県の県庁所在地です。	0	香川県	愛媛県	徳島県	高知県
q_038	愛媛県庁が置かれている都市はどこですか。	松山市	愛媛県庁は松山市にあります。	1	今治市	松山市	新居浜市	宇和島市
q_039	高知県庁が置かれている都市はどこですか。	高知市	高知県庁は高知市にあります。	2	南国市	四万十市	高知市	室戸市
q_040	福岡県庁が置かれている都市はどこですか。	福岡市	福岡県庁は福岡市にあります。	3	北九州市	久留米市	飯塚市	福岡市
q_041	佐賀県庁が置かれている都市はどこですか。	佐賀市	佐賀県庁は佐賀市にあります。	0	佐賀市	唐津市	鳥栖市	伊万里市
q_042	長崎県庁が置かれている都市はどこですか。	長崎市	長崎県庁は長崎市にあります。	1	佐世保市	長崎市	諫早市	島原市
q_043	県庁所在地が熊本市である都道府県はどれですか。	熊本県	熊本市は熊本県の県庁所在地です。	2	大分県	宮崎県	熊本県	鹿児島県
q_044	大分県庁が置かれている都市はどこですか。	大分市	大分県庁は大分市にあります。	3	別府市	中津市	日田市	大分市
q_045	宮崎県庁が置かれている都市はどこですか。	宮崎市	宮崎県庁は宮崎市にあります。	0	宮崎市	都城市	延岡市	日向市
q_046	鹿児島県庁が置かれている都市はどこですか。	鹿児島市	鹿児島県庁は鹿児島市にあります。	1	霧島市	鹿児島市	鹿屋市	指宿市
q_047	沖縄県庁が置かれている都市はどこですか。	那覇市	沖縄県庁は那覇市にあります。	2	沖縄市	浦添市	那覇市	名護市
q_048	次のうち、都道府県名と都道府県庁所在地の市名が異なる組み合わせはどれですか。	石川県―金沢市	石川県の県庁所在地は金沢市で、県名と市名が異なります。	3	青森県―青森市	静岡県―静岡市	高知県―高知市	石川県―金沢市
q_049	「県庁所在地」という言葉が表すものはどれですか。	県庁が置かれている都市	県庁所在地は、その県の行政機関である県庁が置かれている都市を指します。	0	県庁が置かれている都市	県内で人口が最も多い都市	県で最初にできた都市	県の中心に最も近い都市
q_050	北海道の行政機関の正式な呼び方はどれですか。	北海道庁	北海道は「県」ではないため、行政機関は北海道庁と呼ばれます。	1	札幌県庁	北海道庁	北海府庁	道央庁
