# set_id=rika_summer_set_v1									
# title=理科									
# version=1									
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d	
q_001	物体に力がはたらいたときに見られる現象として、間違っているものはどれですか。	力のはたらき	力のはたらきには、「物体を変形させる」「物体の動き（速さや向き）を変える」「物体を支える」の3つがあります。物体の質量そのものを変えることはできません。	3	物体を変形させる	物体の動きを変える	物体を支える	物体の質量を変える	
q_002	バネやゴムのように、力を加えて変形した物体が元の形に戻ろうとする性質を何といいますか。	弾性	力を取り除いたときに元の形に戻る性質を「弾性」といいます。これを利用した力を弾性力と呼びます。	0	弾性	塑性	磁性	慣性	
q_003	粘土のように、力を加えて変形させたあと、力を除いても元の形に戻らない性質を何といいますか。	塑性	元の形に戻らない性質を「塑性（可塑性）」といいます。プラスチックも熱や力を加えることでこの性質を示します。	2	弾性	剛性	塑性	脆性	
q_004	地球が、その中心に向かって物体を引く力を何といいますか。	重力	地球上のすべての物体には、地球の中心に向かって引かれる「重力」がはたらいています。	1	磁力	重力	電気力	摩擦力	
q_005	物体にはたらく重力の大きさのことを、一般に何といいますか。	重さ	重力の大きさのことを「重さ」といい、場所によって変化します。単位はニュートン（N）を用います。	0	重さ	質量	体積	密度	
q_006	場所に左右されない、物体そのものの分量を何といいますか。	質量	場所が変わっても変化しない物体そのものの量を「質量」といいます。単位はグラム（g）やキログラム（kg）です。	1	重さ	質量	圧力	重量	
q_007	力を表す矢印において、矢印の「長さ」は何を表していますか。	力の三要素	力の三要素は「大きさ」「向き」「作用点」です。矢印の長さは、その力の大きさを表します。	0	大きさ	向き	作用点	質量	
q_008	力を表す矢印を描き始める点（始点）のことを何といいますか。	作用点	力がはたらく地点を「作用点」といい、矢印の根元で示します。	2	中心点	終点	作用点	接点	
q_009	重力を矢印で表すとき、作用点は物体のどこに置くのが一般的ですか。	重力の作図	重力は物体全体にはたらきますが、作図では物体の「中心（重心）」を作用点として描きます。	2	物体の底面	物体の上面	物体の中心	物体の右端	
q_010	バネの伸びと、そこにはたらく力の大きさが比例する関係を何の法則といいますか。	フックの法則	バネの伸びが力の大きさに比例することを「フックの法則」といいます。イギリスの科学者フックが発見しました。	0	フックの法則	ニュートンの法則	慣性の法則	パスカルの法則	
q_011	理科の計算において、質量100gの物体にはたらく重力の大きさはおよそ何Nとされますか。	単位の換算	一般的に、地球上では100gの物体にはたらく重力の大きさを約1N（ニュートン）として扱います。	1	0.1N	1N	10N	100N	
q_012	質量4.5kgの物体にはたらく重力の大きさは何Nですか。100gの物体にはたらく重力を1Nとします。	重さの計算	4.5kgは4500gです。100gが1Nなので、4500÷100＝45Nとなります。	2	4.5N	0.45N	45N	450N	
q_013	月面上での重力は、地球上の約何分の1ですか。	月面の重力	月面での重力は地球の約6分の1です。そのため、月面での物体の重さも地球の約6分の1になります。	3	2分の1	3分の1	4分の1	6分の1	
q_014	地球上で重さが6Nの物体を月面上に持っていったとき、その物体の重さは約何Nになりますか。	重さの変化	重力が6分の1になるため、6Nの物体は月面では約1Nになります。	0	1N	6N	0N	36N	
q_015	地球上で質量600gの物体を無重力の宇宙空間に持っていったとき、その物体の「質量」はどうなりますか。	質量の不変性	質量は場所によって変化しないため、宇宙空間でも600gのまま変わりません。	1	0gになる	600gのまま	100gになる	60gになる	
q_016	磁石のN極とS極のように、引き合ったりしりぞけ合ったりする力を何といいますか。	磁力	磁石の極の間にはたらく力を「磁力（磁石の力）」といいます。	3	重力	弾性力	摩擦力	磁力	
q_017	プラスチックの下じきに髪の毛が引きつけられるときにはたらく力を何といいますか。	電気力	静電気などによって物体どうしが引き合ったりしりぞけ合ったりする力を「電気力」といいます。	1	磁力	電気力	重力	垂直抗力	
q_018	物体の動きを妨げる向きにはたらく、物体と物体がこすれ合うときにはたらく力を何といいますか。	摩擦力	面と面が接して動くときに、その動きを邪魔する方向にはたらく力を「摩擦力」といいます。	2	重力	弾性力	摩擦力	磁力	
q_019	面の上に置いてある物体に対して、面が垂直に押し返す力を何といいますか。	垂直抗力	物体が接している面から、その面に垂直にはたらく押し返す力を「垂直抗力（抗力）」といいます。	1	摩擦力	垂直抗力	磁力	重力	
q_020	バケツに水を入れて振り回したときのように、中心から遠ざかろうとする向きにはたらく力を何といいますか。	遠心力	回転運動において、外側に向かってはたらく力を「遠心力」といいます。	3	重力	摩擦力	抗力	遠心力	
q_021	重力、磁力、電気力の3つの力に共通する大きな特徴は何ですか。	離れてはたらく力	これらの力は、物体どうしが直接触れていなくても（離れていても）はたらくという特徴があります。	0	離れていてもはたらく	触れないとはたらかない	空気がないとはたらかない	水の中では消える	
q_022	質量20gのおもりをつるすと1cm伸びるバネがあります。このバネが8cm伸びているとき、バネを引いている力は何Nですか。100gを1Nとします。	フックの法則の応用	1cmで20gなので、8cmでは160g必要です。100g＝1Nなので160gは1.6Nになります。	1	0.8N	1.6N	16N	80N	
q_023	5Nの力を加えると3cm伸びるバネがあります。このバネに2kgのおもりをつるすと、バネは何cm伸びますか。100gを1Nとします。	計算問題	2kg＝20Nです。5Nで3cmなら、その4倍の力である20Nでは伸びも4倍の12cmになります。	3	6cm	9cm	10cm	12cm	
q_024	100gのおもりをつるすと1cm伸びるバネを「直列（縦）」に2つ繋ぎ、100gのおもりをつるしました。全体の伸びは何cmですか。	バネの連結（直列）	直列の場合、それぞれのバネに100gの力がかかるため、1cmずつ伸び、合計で2cm伸びます。	1	1cm	2cm	0.5cm	4cm	
q_025	100gのおもりをつるすと1cm伸びるバネを「並列（横並び）」に2つ繋いで100gのおもりを支えるとき、全体の伸びは何cmですか。	バネの連結（並列）	2本のバネで重さを分担するため、1本当たり50g分の力がかかり、伸びは0.5cmになります。	3	1cm	2cm	3cm	0.5cm	
q_026	実験でバネの長さを測るとき、目盛りの読み取りを正確にするためにバネの端などに付ける目印を何といいますか。	指標	「指標」を用いることで、ものさしの目盛りを正確に読み取りやすくなります。	0	指標	重り	フック	スタンド	
q_027	測定器の調整や目盛りの読み取りなどによって、測定値が真の値からわずかにずれることを何といいますか。	誤差	実験によるわずかなずれを「誤差」といいます。くり返し測定して平均をとることで小さくできます。	2	失敗	欠落	誤差	偏差	
q_028	グラフを作成する際、横軸（x軸）には一般的にどのような量を設定しますか。	グラフの軸	横軸には「実験で意図的に変化させた量（おもりの数や力の大きさ）」を設定します。	0	変化させた量	変化した結果の量	時間の経過	常に一定の量	
q_029	グラフを作成する際、縦軸（y軸）には一般的にどのような量を設定しますか。	グラフの軸	縦軸には「変化させた結果として現れた量（バネの伸びなど）」を設定します。	1	変化させた量	変化した結果の量	全体の長さ	おもりの質量	
q_030	グラフの点が一直線上にきれいに並ばない場合、近似直線をどのように引くのが適切ですか。	直線の引き方	各点の近くを通り、点が直線の上下に同じくらい散らばるように直線を引きます。	1	すべての点を結ぶ折れ線	点の上下にバランスよく引く直線	最も高い点を通る直線	原点を通らない直線	
q_031	バネを強く引くほど、バネが元に戻ろうとする弾性力の大きさはどうなりますか。	弾性力の特徴	バネが大きく変形する（大きく伸びる）ほど、元に戻ろうとする弾性力は大きくなります。	0	大きくなる	小さくなる	変わらない	ゼロになる	
q_032	あるバネにおいて、おもりを1つ吊るした時の伸びが5mmでした。おもりを3つ吊るした時の伸びは何mmと予想されますか。	比例の関係	フックの法則（比例）により、おもりが3倍になれば伸びも3倍の15mmになります。	2	5mm	10mm	15mm	20mm	
q_033	あるバネに0.5Nの力を加えたところ、27mm伸びました。このバネに1.0Nの力を加えたときの伸びは何mmになりますか。	比例の計算	力が2倍（0.5Nから1.0N）になれば、伸びも2倍の54mmになります。	1	27mm	54mm	81mm	108mm	
q_034	同じ力を加えたとき、伸びる長さが短いバネは、伸びる長さが長いバネに比べて弾性力がどうであるといえますか。	バネの強さ	同じ力で伸びが短いバネほど、弾性力が「強い（強いバネ）」といえます。	0	強い	弱い	同じ	判定不能	
