# set_id=world_history_basics_v1
# title=世界史の基礎
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	「チグリス川・ユーフラテス川流域で栄えた古代文明」に当てはまる用語はどれですか。	メソポタミア文明	メソポタミア文明は、チグリス川・ユーフラテス川流域で栄えた古代文明。	0	メソポタミア文明	ポリス	キリスト教	イスラム教
q_002	「エジプト文明」の説明として正しいものはどれですか。	エジプト文明	エジプト文明は、ナイル川流域で栄えた古代文明。	1	民会を中心とする民主政が発達した古代ギリシアのポリス	ナイル川流域で栄えた古代文明	東西の物資や文化を結んだ交易路	西アジアから北アフリカなどへ勢力を広げた国家
q_003	次の説明に最も合うものはどれですか。「インダス川流域にモヘンジョダロなどを築いた文明」	インダス文明	インダス文明は、インダス川流域にモヘンジョダロなどを築いた文明。	2	スパルタ	秦	インダス文明	ビザンツ帝国
q_004	用語「黄河文明」が表す内容はどれですか。	黄河文明	黄河文明は、黄河流域で発達した古代中国の文明。	3	東方遠征を行いヘレニズム世界を広げた王	秦を建て中国統一を果たした皇帝	土地を介した主従関係を基礎とする中世の社会制度	黄河流域で発達した古代中国の文明
q_005	「古代メソポタミアで使われた文字」に当てはまる用語はどれですか。	楔形文字	楔形文字は、古代メソポタミアで使われた文字。	0	楔形文字	ヘレニズム文化	漢	十字軍
q_006	「ヒエログリフ」の説明として正しいものはどれですか。	ヒエログリフ	ヒエログリフは、古代エジプトの神聖文字。	1	王を置かず元老院などが政治を担った時期のローマ	古代エジプトの神聖文字	孔子の教えをもとに人の道徳や秩序を重視する思想	チンギス・ハンが築きユーラシアに広がった帝国
q_007	次の説明に最も合うものはどれですか。「古代バビロニアで編まれた成文法典」	ハンムラビ法典	ハンムラビ法典は、古代バビロニアで編まれた成文法典。	2	ローマ帝国	仏教	ハンムラビ法典	ルネサンス
q_008	用語「ポリス」が表す内容はどれですか。	ポリス	ポリスは、古代ギリシアの都市国家。	3	イエスの教えをもとに成立した宗教	ムハンマドがアラビア半島で始めた一神教	ルターらがカトリック教会のあり方を批判した運動	古代ギリシアの都市国家
q_009	「民会を中心とする民主政が発達した古代ギリシアのポリス」に当てはまる用語はどれですか。	アテネ	アテネは、民会を中心とする民主政が発達した古代ギリシアのポリス。	0	アテネ	シルクロード	イスラム帝国	大航海時代
q_010	「スパルタ」の説明として正しいものはどれですか。	スパルタ	スパルタは、厳しい軍事訓練で知られた古代ギリシアのポリス。	1	中国を初めて統一した王朝	厳しい軍事訓練で知られた古代ギリシアのポリス	東ローマ帝国とも呼ばれコンスタンティノープルを都とした帝国	大西洋を横断しアメリカ大陸の島々に到達した航海者
q_011	次の説明に最も合うものはどれですか。「東方遠征を行いヘレニズム世界を広げた王」	アレクサンドロス大王	アレクサンドロス大王は、東方遠征を行いヘレニズム世界を広げた王。	2	始皇帝	封建制度	アレクサンドロス大王	マゼラン一行
q_012	用語「ヘレニズム文化」が表す内容はどれですか。	ヘレニズム文化	ヘレニズム文化は、ギリシア文化とオリエント文化が融合した文化。	3	秦の後に中国を長く支配した王朝	聖地回復を掲げ西ヨーロッパから派遣された遠征軍	国王が強い権力を握った近世ヨーロッパの政治体制	ギリシア文化とオリエント文化が融合した文化
q_013	「王を置かず元老院などが政治を担った時期のローマ」に当てはまる用語はどれですか。	共和政ローマ	共和政ローマは、王を置かず元老院などが政治を担った時期のローマ。	0	共和政ローマ	儒教	モンゴル帝国	名誉革命
q_014	「ローマ帝国」の説明として正しいものはどれですか。	ローマ帝国	ローマ帝国は、地中海世界を広く支配した古代国家。	1	インドで釈迦の教えから成立した宗教	地中海世界を広く支配した古代国家	古代ギリシア・ローマ文化を見直した文芸復興	イギリスで国王の権限を制限し議会の権利を確認した文書
q_015	次の説明に最も合うものはどれですか。「イエスの教えをもとに成立した宗教」	キリスト教	キリスト教は、イエスの教えをもとに成立した宗教。	2	イスラム教	宗教改革	キリスト教	啓蒙思想
