# set_id=japanese_proverbs_v1
# title=ことわざ
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	どんな名人でも時には失敗するという意味のことわざはどれですか。	猿も木から落ちる	木登りが得意な猿でも落ちることがあるため、名人の失敗を表します。	0	猿も木から落ちる	石橋をたたいて渡る	棚からぼたもち	急がば回れ
q_002	「弘法も筆の何」ということわざになりますか。	誤り	書の名人である弘法大師にも書き損じがあるという意味です。	1	迷い	誤り	休み	遅れ
q_003	辛抱強く続ければ成果が出るという意味のことわざはどれですか。	石の上にも三年	冷たい石も長く座れば温まることから、忍耐の大切さを表します。	2	二階から目薬	馬の耳に念仏	石の上にも三年	猫に小判
q_004	何度失敗しても立ち上がることを表すことわざはどれですか。	七転び八起き	七回転んでも八回起き上がるという不屈の姿勢を表します。	3	一石二鳥	三日坊主	五十歩百歩	七転び八起き
q_005	小さなものでも積み重なると大きくなるという意味のことわざはどれですか。	塵も積もれば山となる	わずかな塵も積み重なれば山のようになるという教えです。	0	塵も積もれば山となる	立つ鳥跡を濁さず	鶴の一声	月とすっぽん
q_006	「千里の道も何から」の空欄に入る言葉はどれですか。	一歩	大きな仕事も身近な第一歩から始まります。	1	準備	一歩	計画	努力
q_007	危険な近道より安全で確実な遠回りを選ぶべきだということわざはどれですか。	急がば回れ	急ぐときこそ安全な方法を選ぶ方が早く目的を達せられます。	2	善は急げ	後の祭り	急がば回れ	先手必勝
q_008	よいと思ったことはためらわず実行すべきだということわざはどれですか。	善は急げ	善い行いは機会を逃さず始めるべきだという意味です。	3	急いては事を仕損じる	果報は寝て待て	待てば海路の日和あり	善は急げ
q_009	欲張って二つを同時に得ようとすると、どちらも失うということわざはどれですか。	二兎を追う者は一兎をも得ず	二匹のうさぎを同時に追うと一匹も捕まえられないというたとえです。	0	二兎を追う者は一兎をも得ず	一挙両得	一石二鳥	両手に花
q_010	一つの行動で二つの利益を得ることを表すことわざはどれですか。	一石二鳥	一つの石で二羽の鳥を落とすことにたとえます。	1	二足のわらじ	一石二鳥	虻蜂取らず	帯に短したすきに長し
q_011	思いがけない幸運が舞い込むことを表すことわざはどれですか。	棚からぼたもち	棚から好物が落ちてくるような、労せず得る幸運のたとえです。	2	泣きっ面に蜂	取らぬ狸の皮算用	棚からぼたもち	後の祭り
q_012	まだ手に入れていない利益を当てにして計画することを戒めることわざはどれですか。	捕らぬ狸の皮算用	狸を捕まえる前に毛皮の値段を計算することから生まれた表現です。	3	転ばぬ先の杖	石橋をたたいて渡る	備えあれば憂いなし	捕らぬ狸の皮算用
q_013	見た目の美しさより実質的な利益を重んじる態度を表すことわざはどれですか。	花より団子	鑑賞する花より食べられる団子を選ぶことにたとえます。	0	花より団子	絵に描いた餅	高嶺の花	団栗の背比べ
q_014	身近なことほど、かえって気づきにくいということわざはどれですか。	灯台下暗し	灯火を置く台のすぐ下は暗いことから、身近な盲点を表します。	1	木を見て森を見ず	灯台下暗し	藪から棒	雲をつかむ
q_015	狭い知識や経験だけで広い世界を判断することを戒めることわざはどれですか。	井の中の蛙大海を知らず	井戸の中の蛙は大海を知らないことにたとえます。	2	蛙の子は蛙	河童の川流れ	井の中の蛙大海を知らず	釈迦に説法
q_016	不用意な発言が災難を招くという意味のことわざはどれですか。	口は災いの元	言葉が思わぬ争いや災いの原因になることを戒めます。	3	目は口ほどに物を言う	口八丁手八丁	開いた口が塞がらない	口は災いの元
q_017	秘密は漏れやすいので注意せよということわざはどれですか。	壁に耳あり障子に目あり	どこで誰が聞いたり見たりしているか分からないという教えです。	0	壁に耳あり障子に目あり	目から鼻へ抜ける	耳を疑う	口から先に生まれる
q_018	知らないことを尋ねるのをためらうべきでないということわざはどれですか。	聞くは一時の恥聞かぬは一生の恥	尋ねる一時の恥より、知らないままでいる長い損失を戒めます。	1	知らぬが仏	聞くは一時の恥聞かぬは一生の恥	便りがないのはよい便り	言わぬが花
q_019	何度も話を聞くより、一度実際に見る方がよく分かるということわざはどれですか。	百聞は一見にしかず	百回聞くことも一度見ることには及ばないという意味です。	2	論より証拠	案ずるより産むが易し	百聞は一見にしかず	習うより慣れよ
q_020	議論を重ねるより、証拠を示す方が明確だということわざはどれですか。	論より証拠	主張の正しさは具体的な証拠で示すのが確かだという意味です。	3	口は災いの元	言わぬが花	百聞は一見にしかず	論より証拠
q_021	性質や好みが似た者同士が自然に集まるということわざはどれですか。	類は友を呼ぶ	同じ種類のものは互いに引き寄せられるというたとえです。	0	類は友を呼ぶ	同病相憐れむ	旅は道連れ世は情け	袖振り合うも多生の縁
q_022	付き合う相手や環境によって人は影響を受けるということわざはどれですか。	朱に交われば赤くなる	赤い朱に触れると赤く染まることから、環境の影響を表します。	1	青は藍より出でて藍より青し	朱に交われば赤くなる	隣の芝生は青い	出藍の誉れ
q_023	新しい土地では、そこの習慣や決まりに従うべきだということわざはどれですか。	郷に入っては郷に従え	共同体ごとの習慣を尊重する大切さを表します。	2	住めば都	所変われば品変わる	郷に入っては郷に従え	旅の恥はかき捨て
q_024	一度してしまったことは元に戻せないという意味のことわざはどれですか。	覆水盆に返らず	盆からこぼれた水は戻せないことにたとえます。	3	雨降って地固まる	水に流す	焼け石に水	覆水盆に返らず
q_025	事が終わってから悔やんでも遅いということわざはどれですか。	後悔先に立たず	後悔は行動の前には役立たないため、事前の熟慮を促します。	0	後悔先に立たず	後の祭り	急いては事を仕損じる	転ばぬ先の杖
q_026	失敗しないよう事前に用心することを表すことわざはどれですか。	転ばぬ先の杖	転ぶ前に杖を用意することから、予防の大切さを表します。	1	石の上にも三年	転ばぬ先の杖	杖とも柱とも頼む	二階から目薬
q_027	日頃から準備しておけば、いざというとき心配が少ないということわざはどれですか。	備えあれば憂いなし	十分な備えが不安や被害を減らすという教えです。	2	案ずるより産むが易し	知らぬが仏	備えあれば憂いなし	果報は寝て待て
q_028	争いの後にかえって関係がよくなることを表すことわざはどれですか。	雨降って地固まる	雨の後に地面が締まることから、問題後の安定を表します。	3	雨後のたけのこ	晴天の霹靂	水と油	雨降って地固まる
q_029	失敗や災難が、思いがけずよい結果をもたらすことを表すことわざはどれですか。	怪我の功名	けがのような失敗が偶然よい成果につながることを表します。	0	怪我の功名	骨折り損のくたびれもうけ	身から出たさび	弱り目に祟り目
q_030	災難をうまく利用して幸福に変えることを表すことわざはどれですか。	禍を転じて福となす	不幸な出来事を工夫や努力でよい結果へ変えるという意味です。	1	楽あれば苦あり	禍を転じて福となす	好事魔多し	泣きっ面に蜂
