# set_id=business_honorifics_v1
# title=ビジネス敬語
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	相手や第三者の動作・状態を高めて表す敬語はどれですか。	尊敬語	尊敬語は、話題となる人物の動作や状態を高めます。	0	尊敬語	謙譲語	丁寧語	美化語
q_002	自分側の動作を低め、動作の向かう相手を立てる敬語はどれですか。	謙譲語	謙譲語は自分側を低く表して相手への敬意を示します。	1	尊敬語	謙譲語	丁寧語	普通語
q_003	「です・ます・ございます」など、聞き手に丁寧に述べる敬語はどれですか。	丁寧語	丁寧語は話全体を丁寧な調子にします。	2	尊敬語	謙譲語	丁寧語	婉曲語
q_004	上司が「行く」ことを尊敬語で表す言い方はどれですか。	いらっしゃる	「行く・来る・いる」の尊敬語として「いらっしゃる」を使います。	3	参る	伺う	参られる	いらっしゃる
q_005	自分が取引先を訪ねることを謙譲語で表す言い方はどれですか。	伺う	訪問先の相手を立てる「行く・訪ねる」の謙譲語は「伺う」です。	0	伺う	いらっしゃる	お越しになる	行かれる
q_006	取引先の方が会社へ「来る」ことを尊敬語で表す言い方はどれですか。	お越しになる	「お越しになる」は「来る」の尊敬語です。	1	参る	お越しになる	伺う	参上する
q_007	相手が会議室に「いる」ことを尊敬語で表す言い方はどれですか。	いらっしゃる	「いらっしゃる」は「いる」の尊敬語です。	2	おる	おります	いらっしゃる	参る
q_008	自分が事務所に「いる」ことを謙譲・丁寧に表す言い方はどれですか。	おります	「いる」の謙譲語「おる」に「ます」を付けます。	3	いらっしゃいます	おいでになります	おられます	おります
q_009	相手が資料を「見る」ことを尊敬語で表す言い方はどれですか。	ご覧になる	「ご覧になる」は「見る」の尊敬語です。	0	ご覧になる	拝見する	見せていただく	お目にかかる
q_010	自分が相手の資料を「見る」ことを謙譲語で表す言い方はどれですか。	拝見する	「拝見する」は「見る」の謙譲語です。	1	ご覧になる	拝見する	お見えになる	見られる
q_011	相手が「言う」ことを尊敬語で表す言い方はどれですか。	おっしゃる	「おっしゃる」は「言う」の尊敬語です。	2	申す	申し上げる	おっしゃる	伺う
q_012	自分が相手へ「言う」ことを謙譲語で表す言い方はどれですか。	申し上げる	相手に向けて述べる場合は「申し上げる」を使います。	3	おっしゃる	言われる	ご覧になる	申し上げる
q_013	自分が相手に予定を「聞く」ことを謙譲語で表す言い方はどれですか。	伺う	「伺う」は「聞く・尋ねる」の謙譲語でもあります。	0	伺う	お聞きになる	聞かれる	お尋ねになる
q_014	相手が料理を「食べる」ことを尊敬語で表す言い方はどれですか。	召し上がる	「召し上がる」は「食べる・飲む」の尊敬語です。	1	いただく	召し上がる	頂戴する	食べさせていただく
q_015	自分が相手から料理を受けて「食べる」ことを謙譲語で表す言い方はどれですか。	いただく	「いただく」は「食べる・飲む・もらう」の謙譲語です。	2	召し上がる	お食べになる	いただく	食べられる
q_016	相手が確認を「する」ことを尊敬語で表す言い方はどれですか。	なさる	「なさる」は「する」の尊敬語です。	3	いたす	させていただく	申し上げる	なさる
q_017	自分が対応を「する」ことを謙譲語で表す言い方はどれですか。	いたす	「いたす」は「する」の謙譲語です。	0	いたす	なさる	される	おいでになる
q_018	相手が事情を「知っている」ことを尊敬語で表す言い方はどれですか。	ご存じだ	「ご存じだ」は「知っている」の尊敬語です。	1	存じる	ご存じだ	存じ上げる	承知する
q_019	自分が事情を「知っている」ことを謙譲語で表す言い方はどれですか。	存じている	「存じる」は「知る・思う」の謙譲語です。	2	ご存じである	お知りになる	存じている	知られる
q_020	自分が取引先の方に「会う」ことを謙譲語で表す言い方はどれですか。	お目にかかる	「お目にかかる」は「会う」の謙譲語です。	3	お会いになる	会われる	ご覧になる	お目にかかる
q_021	自分が相手から資料を「もらう」ことを謙譲語で表す言い方はどれですか。	いただく	相手から受け取る「もらう」の謙譲語は「いただく」です。	0	いただく	くださる	差し上げる	召し上がる
q_022	会話で相手の会社を指す言い方はどれですか。	御社	話し言葉では一般に「御社」を使います。	1	弊社	御社	当社	小社
