# set_id=cooking_food_basics_v1
# title=料理・食品の基礎
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	日本の一般的な料理用計量スプーンで、大さじ1杯は何mLですか。	15mL	大さじ1杯は15mLです。	0	15mL	5mL	10mL	20mL
q_002	日本の一般的な料理用計量スプーンで、小さじ1杯は何mLですか。	5mL	小さじ1杯は5mLで、大さじの3分の1です。	1	2.5mL	5mL	10mL	15mL
q_003	日本の一般的な料理用計量カップで、1カップは何mLですか。	200mL	料理用計量カップの1カップは200mLです。炊飯用の1合180mLとは異なります。	2	100mL	180mL	200mL	250mL
q_004	透明な計量カップで水を量るとき、目盛りを読む位置はどれですか。	液面と目の高さを水平にする	上や下から見ると視差で読み取りがずれるため、目線を液面に合わせます。	3	真上からだけ見る	カップを持ち上げて傾ける	泡の上端だけを見る	液面と目の高さを水平にする
q_005	小麦粉を計量スプーンで正確に量る基本方法はどれですか。	ふんわり入れて平らにすり切る	粉を押し込まず、へらなどで縁と同じ高さにします。	0	ふんわり入れて平らにすり切る	強く押し固める	水でぬらして量る	目分量で半分だけ入れる
q_006	焼き菓子をオーブンへ入れる前に、指定温度まで庫内を温めることを何といいますか。	予熱	予熱により、入れた直後から想定した温度で加熱できます。	1	余熱	予熱	保温	粗熱取り
q_007	液体の表面全体から泡が次々と出る状態はどれですか。	沸騰	沸騰は液体内部でも気化が起こり、泡が生じる状態です。	2	蒸発	凝固	沸騰	乳化
q_008	煮汁を激しく沸騰させず、小さな泡が静かに出る火加減はどれですか。	弱火で静かに煮る	煮崩れや煮汁の急な減少を抑えながら火を通します。	3	強火で煮立て続ける	火を完全に消す	直火で表面だけ焼く	弱火で静かに煮る
q_009	水蒸気の熱で食品を加熱する調理法はどれですか。	蒸す	蒸し器などの蒸気で食品を加熱します。	0	蒸す	揚げる	炒める	あえる
q_010	野菜などを短時間だけ熱湯に通す下処理はどれですか。	湯通し	湯通しは材料を短時間だけ熱湯にくぐらせる操作です。	1	空炒り	湯通し	蒸し焼き	煮込み
