# set_id=nissho_boki3_v1
# title=実践簿記3級（第2・3問対策）
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
cogs_calc	期首の革材在庫は10,000円、当期仕入は80,000円、期末の革材在庫は15,000円でした。損益計算書に計上される売上原価はいくらですか。	売上原価の算定	売上原価は「期首商品＋当期仕入－期末商品」で計算します。10,000＋80,000－15,000＝75,000円が当期に消費された原価です。	2	80,000円	85,000円	75,000円	65,000円
cogs_journal	決算において、期末の革材在庫15,000円を次期に繰り越すための正しい決算整理仕訳（三分法）を選んでください。	売上原価の仕訳（しーくりくりし）	当期に売れ残った商品（資産）を記録し、仕入（費用）から控除するため、（借）繰越商品 15,000（貸）仕入 15,000 となります。	0	（借）繰越商品 15,000\n（貸）仕入 15,000	（借）仕入 15,000\n（貸）繰越商品 15,000	（借）商品 15,000\n（貸）売上原価 15,000	（借）売上原価 15,000\n（貸）商品 15,000
dep_calc	期首に革漉き機（備品）を300,000円で購入しました。耐用年数5年、残存価額ゼロの定額法で計算した場合、当期の減価償却費はいくらですか。	減価償却費の計算（定額法）	定額法では「（取得原価－残存価額）÷耐用年数」で1年分の価値の目減りを計算します。300,000÷5＝60,000円です。	1	50,000円	60,000円	300,000円	0円
dep_journal	当期の減価償却費60,000円を間接法で記帳する場合の正しい仕訳を選んでください。	減価償却の記帳（間接法）	間接法では備品勘定を直接減らさず、評価勘定である「減価償却累計額」を貸方に設定して価値の減少を記録します。	3	（借）減価償却費 60,000\n（貸）備品 60,000	（借）備品 60,000\n（貸）減価償却費 60,000	（借）減価償却累計額 60,000\n（貸）減価償却費 60,000	（借）減価償却費 60,000\n（貸）減価償却累計額 60,000
prepaid_rent_calc	11月1日に、向こう1年分（11月〜翌10月）の工房家賃120,000円を前払いしました。3月末の決算において、次期に繰り延べるべき「前払家賃」はいくらですか。	費用の繰延べ（月割計算）	次期分（4月〜10月の7ヶ月分）の家賃は当期の費用から除外します。120,000円×(7ヶ月/12ヶ月)＝70,000円が前払家賃（資産）となります。	2	50,000円	120,000円	70,000円	10,000円
prepaid_rent_journal	上記の次期分家賃70,000円を当期の費用から除外するための、正しい決算整理仕訳を選んでください。	費用の繰延べ仕訳	当期の「支払家賃（費用）」を貸方に記帳して減らし、次期にサービスを受ける権利である「前払家賃（資産）」を借方に記帳します。	0	（借）前払家賃 70,000\n（貸）支払家賃 70,000	（借）支払家賃 70,000\n（貸）前払家賃 70,000	（借）未払家賃 70,000\n（貸）支払家賃 70,000	（借）支払家賃 70,000\n（貸）未払家賃 70,000
accrued_interest_calc	12月1日に銀行から事業資金600,000円を借入期間1年、年利率2％で借り入れ、利息は元本返済時に一括で支払う契約です。3月末の決算で計上すべき未払利息はいくらですか。	費用の見越し（月割計算）	当期に経過した期間（12月〜3月の4ヶ月分）の利息は当期の費用です。600,000円×2％×(4/12)＝4,000円となります。	1	12,000円	4,000円	8,000円	1,000円
accrued_interest_journal	上記の当期発生分の利息4,000円を見越計上するための、正しい決算整理仕訳を選んでください。	費用の見越し仕訳	まだ支払っていなくても当期に消費した時間分のコストとして「支払利息（費用）」を借方に、後で支払う義務を「未払費用（負債）」として貸方に記帳します。	3	（借）未払費用 4,000\n（貸）支払利息 4,000	（借）前払費用 4,000\n（貸）支払利息 4,000	（借）支払利息 4,000\n（貸）前払費用 4,000	（借）支払利息 4,000\n（貸）未払費用 4,000
doubtful_acct_calc	期末の売掛金残高（卸売先への名刺入れ販売代金など）は500,000円でした。過去の実績から2％の貸倒れを見積もります。決算整理前の貸倒引当金残高が3,000円ある場合、当期の貸倒引当金繰入額はいくらですか。	貸倒引当金の設定（差額補充法）	目標となる引当金は500,000円×2％＝10,000円です。すでに3,000円あるため、差額の7,000円だけを当期の費用（繰入）として補充します。	2	10,000円	13,000円	7,000円	3,000円
doubtful_acct_journal	上記の貸倒引当金繰入額7,000円を計上する正しい決算整理仕訳を選んでください。	貸倒引当金繰入の仕訳	費用である「貸倒引当金繰入」を借方に、評価勘定（マイナスの資産）である「貸倒引当金」を貸方に記帳して補充します。	0	（借）貸倒引当金繰入 7,000\n（貸）貸倒引当金 7,000	（借）貸倒引当金 7,000\n（貸）貸倒引当金繰入 7,000	（借）貸倒損失 7,000\n（貸）貸倒引当金 7,000	（借）貸倒引当金 7,000\n（貸）貸倒損失 7,000
