# set_id=stars_space_v1
# title=星と宇宙
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	太陽系の中心にある恒星はどれですか。	太陽	太陽は自ら光と熱を放つ太陽系の恒星です。	0	太陽	地球	木星	月
q_002	太陽系の惑星はいくつですか。	8個	太陽系には水星から海王星まで8個の惑星があります。	1	7個	8個	9個	10個
q_003	太陽に近い方から並べた最初の4惑星の順序はどれですか。	水星・金星・地球・火星	太陽に近い順に水星、金星、地球、火星です。	2	金星・水星・地球・火星	水星・地球・金星・火星	水星・金星・地球・火星	地球・金星・水星・火星
q_004	太陽に最も近い惑星はどれですか。	水星	水星は太陽系で太陽に最も近い惑星です。	3	金星	地球	火星	水星
q_005	厚い二酸化炭素の大気による温室効果で、表面温度が最も高い惑星はどれですか。	金星	金星は強い温室効果により水星より高温です。	0	金星	水星	火星	木星
q_006	地球の唯一の自然衛星はどれですか。	月	月は地球の周りを公転する自然衛星です。	1	太陽	月	金星	火星
q_007	酸化鉄を含む地表のため、赤く見える惑星はどれですか。	火星	火星の赤い色は地表の酸化鉄によります。	2	水星	金星	火星	海王星
q_008	太陽系で最も大きい惑星はどれですか。	木星	木星は直径・質量とも太陽系最大の惑星です。	3	地球	土星	海王星	木星
q_009	目立つ環をもつことで知られる惑星はどれですか。	土星	土星の環は主に氷や岩石の粒からできています。	0	土星	火星	金星	水星
q_010	自転軸が公転面に対して大きく傾き、横倒しに近い姿勢で回る惑星はどれですか。	天王星	天王星の自転軸は約98度傾いています。	1	海王星	天王星	木星	土星
q_011	太陽系の8惑星のうち、太陽から最も遠い惑星はどれですか。	海王星	海王星は8惑星の最外側を公転します。	2	天王星	土星	海王星	木星
q_012	地球型惑星の組み合わせはどれですか。	水星・金星・地球・火星	地球型惑星は岩石質の表面をもつ内側の4惑星です。	3	木星・土星・天王星・海王星	地球・木星・土星・天王星	火星・木星・土星・海王星	水星・金星・地球・火星
q_013	木星型惑星のうち、主に水素とヘリウムからなる巨大ガス惑星の組み合わせはどれですか。	木星と土星	木星と土星は巨大ガス惑星です。	0	木星と土星	水星と金星	地球と火星	天王星と海王星
q_014	惑星が夜空で明るく見える主な理由はどれですか。	太陽の光を反射するから	惑星は恒星のように可視光を自ら放たず、太陽光を反射します。	1	内部で燃えているから	太陽の光を反射するから	月の光を反射するから	地球の照明が届くから
q_015	月が太陽とほぼ同じ方向にあり、地球から暗く見える月相はどれですか。	新月	新月では月の明るい側が主に地球と反対を向きます。	2	満月	上弦の月	新月	下弦の月
q_016	太陽―地球―月の順にほぼ一直線に並ぶときに見られる月相はどれですか。	満月	地球から月の照らされた面のほぼ全体が見えます。	3	新月	上弦の月	三日月	満月
q_017	北半球の日本で、夕方に南の空で右半分が明るく見える半月はどれですか。	上弦の月	上弦の月は新月から満月へ向かう途中の半月です。	0	上弦の月	下弦の月	新月	満月
q_018	新月から次の新月までの平均的な周期は約何日ですか。	約29.5日	月の満ち欠けの周期は約29.5日です。	1	約24日	約29.5日	約365日	約7日
q_019	日食が起こり得る月相はどれですか。	新月	日食は太陽と地球の間に月が入る新月のころに起こります。	2	満月	下弦の月	新月	上弦の月
q_020	月食が起こり得る月相はどれですか。	満月	月食は月が地球の影に入る満月のころに起こります。	3	新月	三日月	上弦の月	満月
q_021	潮の満ち引きに最も大きな影響を与える天体はどれですか。	月	月の引力が海水に働くことが潮汐の主な原因です。	0	月	火星	金星	北極星
q_022	地球から月のほぼ同じ面だけが見える理由はどれですか。	月の自転周期と公転周期がほぼ等しいから	月は地球を1周する間にほぼ1回自転します。	1	月が自転していないから	月の自転周期と公転周期がほぼ等しいから	月の裏側が光らないから	地球が月を隠すから
q_023	星が一晩のうちに東から西へ動くように見える主な理由はどれですか。	地球が西から東へ自転するから	地球の自転と反対向きに天体が動くように見えます。	2	星が地球の周りを毎日1周するから	太陽が星を押すから	地球が西から東へ自転するから	月が星を引っ張るから
