# set_id=japanese_idioms_v1
# title=慣用句
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	相手に恩や弱みがあり、対等な態度を取れないことを表す慣用句はどれですか。	頭が上がらない	恩義や引け目から、その人に強く出られない状態です。	0	頭が上がらない	頭を抱える	頭を冷やす	頭をひねる
q_002	解決方法が分からず、困り果てることを表す慣用句はどれですか。	頭を抱える	難しい問題に悩み、途方に暮れる様子を表します。	1	頭角を現す	頭を抱える	頭が下がる	頭を丸める
q_003	ひどく腹が立つことを表す慣用句はどれですか。	頭に来る	怒りで感情が高ぶることを「頭に来る」といいます。	2	頭が固い	頭を切り替える	頭に来る	頭を冷やす
q_004	物事の理解や判断が速いことを表す慣用句はどれですか。	頭が切れる	頭の働きが鋭く、判断力がある人を表します。	3	頭が重い	頭を抱える	頭が古い	頭が切れる
q_005	知り合いが多く、広い交際関係をもつことを表す慣用句はどれですか。	顔が広い	多方面に知人がいることを「顔が広い」といいます。	0	顔が広い	顔が立つ	顔を貸す	顔を出す
q_006	非常に恥ずかしい思いをすることを表す慣用句はどれですか。	顔から火が出る	恥ずかしさで顔が熱くなる様子を大げさに表します。	1	顔に泥を塗る	顔から火が出る	顔を売る	顔を合わせる
q_007	相手の名誉や体面を保つことを表す慣用句はどれですか。	顔を立てる	相手の立場や名誉を尊重することです。	2	顔を曇らせる	顔をつぶす	顔を立てる	顔を背ける
q_008	よい物を見分ける力があることを表す慣用句はどれですか。	目が高い	品質や価値を正しく見抜く力があるという意味です。	3	目が回る	目がない	目を丸くする	目が高い
q_009	不正や危険がないよう厳しく見張ることを表す慣用句はどれですか。	目を光らせる	注意深く監視する様子を表します。	0	目を光らせる	目を細める	目をつぶる	目を伏せる
q_010	予想外のものを見て、本当かと驚くことを表す慣用句はどれですか。	目を疑う	信じられない光景を見て自分の目を疑うという意味です。	1	目を配る	目を疑う	目をかける	目を通す
q_011	距離が非常に近いことを表す慣用句はどれですか。	目と鼻の先	目と鼻の間のように、すぐ近くであることを表します。	2	目の上のこぶ	鼻の下が長い	目と鼻の先	鼻を明かす
q_012	自分への批判や忠告が正しく、聞くのがつらいことを表す慣用句はどれですか。	耳が痛い	思い当たる点があるため、忠告をつらく感じることです。	3	耳が早い	耳を疑う	耳に入れる	耳が痛い
q_013	人の話を注意して聞くことを表す慣用句はどれですか。	耳を傾ける	相手の言葉を聞き漏らさないよう注意することです。	0	耳を傾ける	耳をそろえる	耳をふさぐ	耳を貸さない
q_014	同じ話を何度も聞かされ、うんざりすることを表す慣用句はどれですか。	耳にたこができる	繰り返し聞いて、耳にたこができるほどだとたとえます。	1	耳が遠い	耳にたこができる	耳を澄ます	小耳に挟む
q_015	誇らしく得意な気持ちになることを表す慣用句はどれですか。	鼻が高い	自分や身近な人の成果を誇らしく思う状態です。	2	鼻が利く	鼻を折る	鼻が高い	鼻につく
q_016	自分の才能や知識を自慢することを表す慣用句はどれですか。	鼻にかける	優れた点を得意になって見せつけることです。	3	鼻を明かす	鼻であしらう	鼻を突く	鼻にかける
q_017	秘密を他人に漏らさないことを表す慣用句はどれですか。	口が堅い	秘密を守れる人を「口が堅い」といいます。	0	口が堅い	口が達者	口が悪い	口がうまい
q_018	秘密や余計なことをすぐ話してしまうことを表す慣用句はどれですか。	口が軽い	秘密を簡単に漏らす人を「口が軽い」といいます。	1	口が酸っぱい	口が軽い	口が肥える	口が減らない
q_019	他人同士の会話に割り込んで意見を言うことを表す慣用句はどれですか。	口を挟む	話の途中へ第三者が割り込むことです。	2	口をそろえる	口を閉ざす	口を挟む	口を割る
q_020	物事を最初に始めることを表す慣用句はどれですか。	口火を切る	最初に発言・行動して、物事のきっかけを作ることです。	3	口車に乗る	口裏を合わせる	口を濁す	口火を切る
q_021	相手が強すぎたり問題が難しすぎたりして、対処できないことを表す慣用句はどれですか。	歯が立たない	硬くてかめないことから、能力が及ばない状態を表します。	0	歯が立たない	歯を食いしばる	歯に衣着せぬ	歯が浮く
q_022	相手の技量に非常に感心することを表す慣用句はどれですか。	舌を巻く	驚きや感嘆で言葉が出ないほど感心する様子です。	1	舌鼓を打つ	舌を巻く	舌が回る	舌を出す
q_023	楽しみにして、今か今かと待つことを表す慣用句はどれですか。	首を長くする	待ち遠しくて首を伸ばすような様子を表します。	2	首をかしげる	首を横に振る	首を長くする	首をすくめる
q_024	自分に直接関係のないことへ興味本位で関わることを表す慣用句はどれですか。	首を突っ込む	余計な問題や仕事に関与することを表します。	3	首を洗う	首をひねる	首が回らない	首を突っ込む
q_025	失望して元気をなくすことを表す慣用句はどれですか。	肩を落とす	落胆した姿勢から、がっかりすることを表します。	0	肩を落とす	肩を持つ	肩で風を切る	肩を並べる
q_026	責任や心配事がなくなり、ほっとすることを表す慣用句はどれですか。	肩の荷が下りる	背負っていた荷物を下ろすように負担がなくなることです。	1	肩身が狭い	肩の荷が下りる	肩を怒らせる	肩を入れる
q_027	得意な仕事をする機会が来て、力を発揮したくなることを表す慣用句はどれですか。	腕が鳴る	自分の技量を試したくて意欲が湧く状態です。	2	腕が上がる	腕をこまねく	腕が鳴る	腕を組む
q_028	技術をより高めるため練習することを表す慣用句はどれですか。	腕を磨く	腕前を磨き上げるように、技能を向上させることです。	3	腕に覚えがある	腕を振るう	腕を買う	腕を磨く
q_029	扱いに困り、もてあますことを表す慣用句はどれですか。	手を焼く	厄介な人や問題の扱いに困ることです。	0	手を焼く	手を貸す	手を広げる	手を切る
q_030	忙しすぎて必要な対応ができないことを表す慣用句はどれですか。	手が回らない	仕事が多く、そこまで処理する余裕がない状態です。	1	手が空く	手が回らない	手が早い	手が込む
q_031	問題を解決するために適切な処置や合意を行うことを表す慣用句はどれですか。	手を打つ	状況に応じた対策を講じたり、合意を成立させたりすることです。	2	手を引く	手を合わせる	手を打つ	手をこまねく
q_032	必要な手間を省いて、いい加減に行うことを表す慣用句はどれですか。	手を抜く	本来必要な作業を省いて簡単に済ませることです。	3	手を加える	手を尽くす	手を入れる	手を抜く
q_033	ある場所へわざわざ出かけることを表す慣用句はどれですか。	足を運ぶ	目的地まで出向くことを丁寧に表します。	0	足を運ぶ	足を洗う	足が出る	足を引っ張る
q_034	長時間歩いたり立ったりして、ひどく疲れることを表す慣用句はどれですか。	足が棒になる	疲れて足の感覚が硬い棒のようになることです。	1	足が地につく	足が棒になる	足がつく	足を延ばす
q_035	相手の弱みにつけこんで、不利な条件を押しつけることを表す慣用句はどれですか。	足元を見る	旅人の足元を見て高い料金を求めたことに由来する表現です。	2	足並みをそろえる	足跡を残す	足元を見る	足をすくう
q_036	心配事が解決して、安心することを表す慣用句はどれですか。	胸をなで下ろす	緊張が解けてほっとする様子を表します。	3	胸を張る	胸に刻む	胸を借りる	胸をなで下ろす
q_037	喜びや悲しみで感情があふれ、言葉にならないことを表す慣用句はどれですか。	胸がいっぱいになる	強い感情で心が満たされる状態です。	0	胸がいっぱいになる	胸が騒ぐ	胸が痛む	胸がすく
q_038	隠し事をせず、本心を打ち明けて話すことを表す慣用句はどれですか。	腹を割る	心の内をすべて見せるように率直に話すことです。	1	腹を探る	腹を割る	腹に据えかねる	腹に一物ある
q_039	覚悟を決めることを表す慣用句はどれですか。	腹をくくる	結果を受け入れる決意を固めることです。	2	腹を立てる	腹を抱える	腹をくくる	腹が黒い
q_040	仕事などが大変で、多くの苦労を必要とすることを表す慣用句はどれですか。	骨が折れる	骨を折るほど大変な労力が必要だというたとえです。	3	骨を惜しむ	骨身を削る	骨がある	骨が折れる
q_041	寒さや親切などを心身に深く感じることを表す慣用句はどれですか。	骨身にしみる	体の骨まで達するように強く感じることです。	0	骨身にしみる	骨を埋める	骨を拾う	骨抜きにする
q_042	他人のつらい話を、自分のことのように切実に感じることを表す慣用句はどれですか。	身につまされる	自分にも思い当たるため、他人事と思えない状態です。	1	身が入る	身につまされる	身を引く	身を固める
q_043	苦労を惜しまず一生懸命に働くことを表す慣用句はどれですか。	身を粉にする	体を粉にするほど懸命に働くというたとえです。	2	身を立てる	身を寄せる	身を粉にする	身を任せる
q_044	「気が置けない相手」とは、どのような相手ですか。	遠慮せず付き合える相手	「気が置けない」は油断できないという意味ではなく、遠慮がいらないという意味です。	3	信用できない相手	競争している相手	初対面の相手	遠慮せず付き合える相手
q_045	周囲の人や状況に細かく注意を払うことを表す慣用句はどれですか。	気を配る	複数の点へ注意や配慮を行き届かせることです。	0	気を配る	気を失う	気を吐く	気が散る
q_046	過去の争いや失敗を、なかったこととして許すことを表す慣用句はどれですか。	水に流す	過去のわだかまりを洗い流すように忘れることです。	1	水を差す	水に流す	水が合う	水を向ける
q_047	仕事の途中で無駄話をして時間を過ごすことを表す慣用句はどれですか。	油を売る	昔の油売りが量り売りの間に長話をしたことに由来するとされます。	2	油が切れる	油を絞る	油を売る	油を注ぐ
