# set_id=commonly_misused_japanese_v1
# title=間違えやすい日本語
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	「役不足」の本来の意味として適切なものはどれですか。	本人の能力に対して役目が軽すぎる	「役不足」は能力に比べて役目が軽く、満足できないことです。	0	本人の能力に対して役目が軽すぎる	役目に対して本人の能力が足りない	役目の人数が不足している	役目の説明が不十分である
q_002	自分の能力が課題に足りないことを表す言葉はどれですか。	力不足	能力が不足している場合は「力不足」を使います。	1	役不足	力不足	人手不足	説明不足
q_003	「姑息」の本来の意味として適切なものはどれですか。	一時しのぎである	「姑息」は根本的に解決せず、一時をしのぐことです。	2	正々堂々としている	卑怯である	一時しのぎである	細部にこだわる
q_004	「失笑する」の意味として適切なものはどれですか。	こらえきれず吹き出して笑う	「失笑」は、おかしさをこらえきれず笑い出すことです。	3	笑いを失って無表情になる	相手を軽蔑して笑う	大勢で大笑いする	こらえきれず吹き出して笑う
q_005	議論が十分に進み、結論を出せる段階になることを表す言葉はどれですか。	煮詰まる	本来の「煮詰まる」は、議論が出尽くして結論に近づくことです。	0	煮詰まる	行き詰まる	差し迫る	煮え切らない
q_006	「檄を飛ばす」の意味として適切なものはどれですか。	自分の主張を示して同意や行動を求める	檄は主張を書いて人々に呼びかける文書です。	1	大声で叱って元気づける	自分の主張を示して同意や行動を求める	秘密の命令を伝える	短い連絡を一斉送信する
q_007	「破天荒な人物」の本来の意味に最も近いものはどれですか。	誰も成し遂げなかったことを初めて行う人物	「破天荒」は前人未到のことを初めて成し遂げることです。	2	生活が乱れている人物	豪快で無計画な人物	誰も成し遂げなかったことを初めて行う人物	規則を必ず破る人物
q_008	「潮時」の意味として適切なものはどれですか。	物事を始めたり終えたりするのに適した時機	潮の満ち引きから、行動に適した時機を表します。	3	物事を諦めるしかない時	失敗が確定した時	海へ出られない時間	物事を始めたり終えたりするのに適した時機
q_009	期待した結果ではないが、これなら十分ありがたいというときに使う言葉はどれですか。	御の字	「御の字」は非常に結構で、ありがたいという意味です。	0	御の字	不本意	次善の策	遺憾
q_010	「協力することにやぶさかではない」の意味はどれですか。	喜んで協力する	「やぶさかではない」は、ためらわず進んでするという意味です。	1	協力したくない	喜んで協力する	条件次第で拒否する	仕方なく協力する
q_011	「うがった見方」の本来の意味に最も近いものはどれですか。	物事の本質を的確に捉えた見方	「うがつ」は穴をあけることから、物事の本質を捉える意味になります。	2	疑ってかかる意地悪な見方	表面だけを見る単純な見方	物事の本質を的確に捉えた見方	珍しさだけを重視する見方
q_012	「琴線に触れる」の意味として適切なものはどれですか。	心の奥に感動や共鳴を与える	琴の弦が響くように、人の心を動かすことです。	3	相手を怒らせる	秘密を暴く	欠点を指摘する	心の奥に感動や共鳴を与える
q_013	目上の人を激しく怒らせることを表す言葉はどれですか。	逆鱗に触れる	竜のあごの逆さの鱗に触れると怒るという故事によります。	0	逆鱗に触れる	琴線に触れる	機先を制する	核心を突く
q_014	非常に激しく怒ることを表す標準的な言い方はどれですか。	怒り心頭に発する	「心頭」は心の中で、怒りがそこから発するという表現です。	1	怒り心頭に達する	怒り心頭に発する	怒り心頭を超える	怒り心頭へ至る
