# set_id=it_passport_basics_v1
# title=ITパスポート基礎
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	計画・実行・評価・改善を繰り返す管理手法はどれですか。	PDCA	Plan、Do、Check、Actを循環させて継続的に改善します。	0	PDCA	SWOT	SLA	WBS
q_002	自社の強み・弱みと、外部の機会・脅威を整理する分析はどれですか。	SWOT分析	SWOT分析は内部環境と外部環境を4要素で整理します。	1	PEST分析	SWOT分析	ABC分析	パレート分析
q_003	顧客・競合・自社の三つの視点で事業環境を分析する枠組みはどれですか。	3C分析	3CはCustomer、Competitor、Companyの頭文字です。	2	4P	PEST	3C分析	PPM
q_004	政治・経済・社会・技術の観点から外部環境を分析する手法はどれですか。	PEST分析	PESTはPolitics、Economy、Society、Technologyの頭文字です。	3	SWOT分析	3C分析	VRIO分析	PEST分析
q_005	投資によって得た利益を投資額で割って評価する指標はどれですか。	ROI	ROIは投資利益率で、投資の効率を表します。	0	ROI	ROA	KPI	SLA
q_006	売上高と総費用が等しく、利益が0になる売上高を何といいますか。	損益分岐点売上高	損益分岐点では利益も損失も生じません。	1	限界利益	損益分岐点売上高	固定費	変動費
q_007	顧客情報や対応履歴を活用し、顧客との関係を維持・向上する考え方はどれですか。	CRM	CRMはCustomer Relationship Managementの略です。	2	SCM	ERP	CRM	BPR
q_008	原材料の調達から生産・物流・販売までを全体最適化する考え方はどれですか。	SCM	SCMはSupply Chain Managementの略です。	3	CRM	ERP	SFA	SCM
q_009	会計・人事・販売など企業の基幹業務を統合的に管理する仕組みはどれですか。	ERP	ERPは企業資源を統合して計画・管理する仕組みです。	0	ERP	CRM	CAD	POS
q_010	既存の業務手順を根本から見直し、再設計することはどれですか。	BPR	BPRはBusiness Process Re-engineeringの略です。	1	ベンチマーキング	BPR	アウトソーシング	コアコンピタンス
q_011	自社業務の一部を外部の専門事業者へ委託することはどれですか。	アウトソーシング	外部資源を活用して業務を委託することです。	2	インソーシング	クラウドソーシング	アウトソーシング	テレワーク
q_012	サービス提供者と利用者の間で、可用性などのサービス水準を合意したものはどれですか。	SLA	SLAはService Level Agreementの略です。	3	NDA	RFP	KPI	SLA
q_013	プロジェクトで、品質・費用・納期をまとめて表す略語はどれですか。	QCD	QCDはQuality、Cost、Deliveryの頭文字です。	0	QCD	PDCA	SLA	TCO
q_014	プロジェクトの作業を、管理できる小さな単位へ階層的に分解したものはどれですか。	WBS	WBSはWork Breakdown Structureの略です。	1	DFD	WBS	ER図	組織図
q_015	横軸に時間、縦軸に作業を置き、進捗を棒で示す図はどれですか。	ガントチャート	ガントチャートは作業期間や重なりを視覚化します。	2	円グラフ	散布図	ガントチャート	特性要因図
q_016	プロジェクト全体の最短完了期間を決める、余裕時間が0の作業経路はどれですか。	クリティカルパス	クリティカルパス上の遅れは全体の完了を遅らせます。	3	代替経路	最短経路	待機経路	クリティカルパス
q_017	リスクへの対応で、損失の可能性を保険会社などへ移す方法はどれですか。	リスク移転	保険や契約によって影響を第三者へ移す対応です。	0	リスク移転	リスク保有	リスク回避	リスク低減
q_018	システム変更による影響を評価し、承認や記録を行う管理はどれですか。	変更管理	変更管理は無秩序な変更による品質低下を防ぎます。	1	構成管理	変更管理	障害管理	容量管理
q_019	システムに必要な機能や性能を利用者と整理・合意する工程はどれですか。	要件定義	要件定義ではシステム化の目的と要件を明確にします。	2	運用	廃棄	要件定義	移行
q_020	開発工程を原則として上流から順に進めるモデルはどれですか。	ウォーターフォールモデル	要件定義、設計、実装、テストなどを段階的に進めます。	3	アジャイル開発	プロトタイピング	スパイラルモデル	ウォーターフォールモデル
q_021	短い反復を繰り返し、動くソフトウェアを段階的に改善する開発方法はどれですか。	アジャイル開発	アジャイル開発は変化に対応しながら小刻みに価値を届けます。	0	アジャイル開発	ウォーターフォールモデル	ビッグバン移行	一括調達
q_022	プログラムの関数や部品など、小さな単位ごとに行うテストはどれですか。	単体テスト	単体テストは個々のモジュールが正しく動くか確認します。	1	システムテスト	単体テスト	受入テスト	運用テスト
q_023	複数のモジュールを結合し、受け渡しや連携を確認するテストはどれですか。	結合テスト	結合テストではモジュール間のインタフェースを確認します。	2	単体テスト	受入テスト	結合テスト	回帰テスト
q_024	利用者の立場で、業務要件を満たすか最終確認するテストはどれですか。	受入テスト	受入テストは発注者・利用者が受入れ可否を判断します。	3	単体テスト	結合テスト	性能テスト	受入テスト
q_025	ソースコードの変更履歴を記録し、複数人の作業を統合する仕組みはどれですか。	バージョン管理システム	バージョン管理は変更の追跡や過去版への参照を可能にします。	0	バージョン管理システム	表計算ソフト	データウェアハウス	ワープロソフト
q_026	問題を解くための処理手順を明確にしたものはどれですか。	アルゴリズム	アルゴリズムは入力から出力を得る有限の手順です。	1	データベース	アルゴリズム	インタフェース	プロトコル
q_027	処理・判断・流れを標準的な記号で表す図はどれですか。	フローチャート	フローチャートはアルゴリズムの流れを図示します。	2	ER図	ガントチャート	フローチャート	レーダーチャート
q_028	2進数「1010」を10進数で表すといくつですか。	10	8＋2なので、2進数1010は10進数の10です。	3	8	9	12	10
q_029	1バイトは通常何ビットですか。	8ビット	コンピュータでは通常、1バイトを8ビットとして扱います。	0	8ビット	4ビット	10ビット	16ビット
q_030	命令を解釈・実行し、演算や制御を行う装置はどれですか。	CPU	CPUは中央処理装置としてプログラムを実行します。	1	SSD	CPU	ディスプレイ	キーボード
