# set_id=world_geography_basics_v1
# title=世界地理の基礎
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	世界の六大陸のうち、面積が最も大きい大陸はどれですか。	ユーラシア大陸	ユーラシア大陸はヨーロッパとアジアを含む最大の大陸です。	0	ユーラシア大陸	アフリカ大陸	北アメリカ大陸	南アメリカ大陸
q_002	世界の六大陸のうち、面積が最も小さい大陸はどれですか。	オーストラリア大陸	オーストラリア大陸は六大陸で最小です。	1	南極大陸	オーストラリア大陸	南アメリカ大陸	ヨーロッパ大陸
q_003	世界の三大洋のうち、面積が最も大きい海洋はどれですか。	太平洋	太平洋は三大洋で最大です。	2	大西洋	インド洋	太平洋	北極海
q_004	ヨーロッパとアフリカの間にある海はどれですか。	地中海	地中海はヨーロッパ・アフリカ・アジアに囲まれています。	3	カリブ海	バルト海	アラビア海	地中海
q_005	0度の緯線を何といいますか。	赤道	赤道は地球を北半球と南半球に分ける緯度0度の線です。	0	赤道	本初子午線	北回帰線	日付変更線
q_006	経度0度の基準となる線を何といいますか。	本初子午線	本初子午線はイギリスのグリニッジを通ります。	1	赤道	本初子午線	北極圏	南回帰線
q_007	同じ緯度を結ぶ線はどれですか。	緯線	緯線は赤道と平行に東西へ延びます。	2	経線	等高線	緯線	海岸線
q_008	北極と南極を結ぶように引かれる線はどれですか。	経線	経線は南北方向に延び、経度を表す基準になります。	3	緯線	等温線	赤道	経線
q_009	世界で最も標高が高い山はどれですか。	エベレスト	ヒマラヤ山脈のエベレストは世界最高峰です。	0	エベレスト	キリマンジャロ	モンブラン	デナリ
q_010	南アメリカ大陸の西部を南北に連なる山脈はどれですか。	アンデス山脈	アンデス山脈は南アメリカ西岸に沿って延びます。	1	ロッキー山脈	アンデス山脈	アルプス山脈	アトラス山脈
q_011	北アメリカ大陸の西部を南北に連なる山脈はどれですか。	ロッキー山脈	ロッキー山脈は北アメリカ西部に延びます。	2	アパラチア山脈	アンデス山脈	ロッキー山脈	ウラル山脈
q_012	インド亜大陸の北側に連なる高い山脈はどれですか。	ヒマラヤ山脈	ヒマラヤ山脈はインド亜大陸とユーラシア大陸の衝突で形成されました。	3	アルプス山脈	ドラケンスバーグ山脈	ピレネー山脈	ヒマラヤ山脈
