# set_id=[elementary_kanji_v1]
# title=[小学生で習う漢字・4択問題]
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
kanji_reading_001	次の言葉の読みとして正しいものはどれですか。\n「湖」	湖	湖は、陸に囲まれた大きな水のたまりです。	0	みずうみ	いけ	かわ	うみ
kanji_reading_002	次の言葉の読みとして正しいものはどれですか。\n「貿易」	貿易	貿易は、国どうしで品物などを売り買いすることです。	1	ほうえき	ぼうえき	ぼうい	こうえき
kanji_reading_003	次の言葉の読みとして正しいものはどれですか。\n「責任」	責任	責任は、自分が引き受けた役目を果たすことです。	2	せいにん	せきじん	せきにん	せつにん
kanji_reading_004	次の言葉の読みとして正しいものはどれですか。\n「準備」	準備	準備は、前もって必要なものを整えることです。	3	じゅび	じゅんぴ	しゅんび	じゅんび
kanji_reading_005	次の言葉の読みとして正しいものはどれですか。\n「複雑」	複雑	複雑は、物事が入り組んでいて簡単ではない様子です。	0	ふくざつ	ふくさつ	ふうざつ	ふくせつ
kanji_reading_006	次の言葉の読みとして正しいものはどれですか。\n「郷土」	郷土	郷土は、自分の生まれ育った土地やふるさとを表します。	1	ごうど	きょうど	きょうと	こうど
kanji_reading_007	次の言葉の読みとして正しいものはどれですか。\n「災害」	災害	災害は、地震や大雨などによって起こる被害です。	2	さいかい	ざいがい	さいがい	さいけい
kanji_reading_008	次の言葉の読みとして正しいものはどれですか。\n「衛星」	衛星	衛星は、惑星の周りを回る天体などを指します。	3	えいしょう	えせい	えいせ	えいせい
kanji_reading_009	次の言葉の読みとして正しいものはどれですか。\n「演説」	演説	演説は、多くの人の前で考えや意見を述べることです。	0	えんぜつ	えんせつ	えんぜち	えいぜつ
kanji_reading_010	次の言葉の読みとして正しいものはどれですか。\n「沿岸」	沿岸	沿岸は、海や大きな湖に沿った土地です。	1	えんかん	えんがん	そうがん	えんぎし
kanji_reading_011	次の言葉の読みとして正しいものはどれですか。\n「往復」	往復	往復は、行って戻ってくることです。	2	おうぶく	おふく	おうふく	おうふ
kanji_reading_012	次の言葉の読みとして正しいものはどれですか。\n「恩人」	恩人	恩人は、自分を助けてくれた人です。	3	おんにん	えんじん	おんひと	おんじん
kanji_reading_013	次の言葉の読みとして正しいものはどれですか。\n「河川」	河川	河川は、大小の川をまとめて表す言葉です。	0	かせん	がせん	かがわ	かせい
kanji_reading_014	次の言葉の読みとして正しいものはどれですか。\n「快晴」	快晴	快晴は、雲がほとんどないよい天気です。	1	かいしょう	かいせい	かせい	けいせい
kanji_reading_015	次の言葉の読みとして正しいものはどれですか。\n「潔い」	潔い	潔いは、思い切りがよく、さっぱりしている様子です。	2	きよい	すがすがしい	いさぎよい	いさぎいい
kanji_reading_016	次の言葉の読みとして正しいものはどれですか。\n「貴重」	貴重	貴重は、とても大切で価値が高いことです。	3	きじゅう	きちゅう	きしょう	きちょう
kanji_reading_017	次の言葉の読みとして正しいものはどれですか。\n「規則」	規則	規則は、集団で守ると決めたきまりです。	0	きそく	きぞく	ぎそく	きせき
kanji_reading_018	次の言葉の読みとして正しいものはどれですか。\n「逆らう」	逆らう	逆らうは、指示や流れとは反対に行動することです。	1	ぎゃくらう	さからう	さかう	むからう
kanji_reading_019	次の言葉の読みとして正しいものはどれですか。\n「救助」	救助	救助は、危険な状態にいる人を助けることです。	2	きゅうしょ	くじょ	きゅうじょ	きゅじょ
kanji_reading_020	次の言葉の読みとして正しいものはどれですか。\n「供給」	供給	供給は、必要なものを相手に与えることです。	3	くきゅう	きょうきゅ	きょうぐう	きょうきゅう
kanji_reading_021	次の言葉の読みとして正しいものはどれですか。\n「勤勉」	勤勉	勤勉は、まじめに一生懸命取り組む様子です。	0	きんべん	きんめん	ぎんべん	きんべい
kanji_reading_022	次の言葉の読みとして正しいものはどれですか。\n「警告」	警告	警告は、危険や注意すべきことを知らせることです。	1	けいごう	けいこく	けこく	けいこう
kanji_reading_023	次の言葉の読みとして正しいものはどれですか。\n「健康」	健康	健康は、心や体の調子がよい状態です。	2	けんごう	けんこ	けんこう	けいこう
kanji_reading_024	次の言葉の読みとして正しいものはどれですか。\n「憲法」	憲法	憲法は、国の基本となる最も大切な法です。	3	けんほう	げんぽう	けんぼう	けんぽう
kanji_reading_025	次の言葉の読みとして正しいものはどれですか。\n「故郷」	故郷	故郷は、生まれ育った土地を表します。	0	こきょう	こごう	ふるさとだけ	こきょ
kanji_reading_026	次の言葉の読みとして正しいものはどれですか。\n「穀物」	穀物	穀物は、米や麦など、主に食料になる植物の実です。	1	ごくもつ	こくもつ	こくぶつ	こもつ
kanji_reading_027	次の言葉の読みとして正しいものはどれですか。\n「混雑」	混雑	混雑は、人や物が多く、込み合っていることです。	2	こんさつ	こんせつ	こんざつ	こんぞう
kanji_reading_028	次の言葉の読みとして正しいものはどれですか。\n「裁判」	裁判	裁判は、法律にもとづいて争いなどを判断する手続きです。	3	ざいばん	さいはん	さいべん	さいばん
kanji_reading_029	次の言葉の読みとして正しいものはどれですか。\n「砂糖」	砂糖	砂糖は、食べ物に甘みをつける調味料です。	0	さとう	しゃとう	さどう	すなとう
kanji_reading_030	次の言葉の読みとして正しいものはどれですか。\n「視線」	視線	視線は、目で見ている方向です。	1	じせん	しせん	しぜん	しせい
kanji_reading_031	次の言葉の読みとして正しいものはどれですか。\n「謝罪」	謝罪	謝罪は、自分のあやまちを認めてあやまることです。	2	しゃさい	じゃざい	しゃざい	しゃぜい
kanji_reading_032	次の言葉の読みとして正しいものはどれですか。\n「収穫」	収穫	収穫は、育てた作物を取り入れることです。	3	しゅうがく	しゅかく	しゅうこく	しゅうかく
kanji_reading_033	次の言葉の読みとして正しいものはどれですか。\n「縮小」	縮小	縮小は、規模や大きさを小さくすることです。	0	しゅくしょう	しゅくじょう	しゅうしょう	しゅくそう
kanji_reading_034	次の言葉の読みとして正しいものはどれですか。\n「熟語」	熟語	熟語は、二つ以上の漢字を組み合わせてできた言葉です。	1	しゅくご	じゅくご	じゅうご	じゅくこ
kanji_reading_035	次の言葉の読みとして正しいものはどれですか。\n「蒸発」	蒸発	蒸発は、液体が気体に変わることです。	2	しょうはつ	じょうぱつ	じょうはつ	じょはつ
kanji_reading_036	次の言葉の読みとして正しいものはどれですか。\n「承知」	承知	承知は、事情を知って理解することです。	3	じょうち	しょうじ	しょうし	しょうち
kanji_reading_037	次の言葉の読みとして正しいものはどれですか。\n「招待」	招待	招待は、人を行事や場所に招くことです。	0	しょうたい	しょうだい	じょうたい	しょうてい
kanji_reading_038	次の言葉の読みとして正しいものはどれですか。\n「証明」	証明	証明は、あることが正しいと根拠を示すことです。	1	しょうみょう	しょうめい	じょうめい	しょうめ
kanji_reading_039	次の言葉の読みとして正しいものはどれですか。\n「素直」	素直	素直は、ひねくれず、ありのまま受け入れる様子です。	2	そちょく	すちょく	すなお	すなおう
kanji_reading_040	次の言葉の読みとして正しいものはどれですか。\n「尊敬」	尊敬	尊敬は、相手をすぐれた人として大切に思うことです。	3	そんきょう	ぞんけい	そけい	そんけい
kanji_write_001	次の読みを漢字で正しく書いたものはどれですか。\n「あんぜん」	あんぜん	「安全」は、危険がなく安心できることです。	0	安全	安前	案全	暗然
kanji_write_002	次の読みを漢字で正しく書いたものはどれですか。\n「いけん」	いけん	「意見」は、ある物事についての考えです。	1	異見	意見	意思	意険
