# set_id=junior_high_science_v1
# title=中学理科総合
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	細胞の内外を仕切り、物質の出入りに関わるつくりはどれですか。	細胞膜	細胞膜は細胞を包み、物質の出入りを調節します。	0	細胞膜	細胞壁	核	液胞
q_002	遺伝に関わる物質を含み、細胞の活動を調節するつくりはどれですか。	核	核にはDNAなどがあり、細胞の活動に関わります。	1	液胞	核	葉緑体	細胞壁
q_003	植物細胞で光合成が行われるつくりはどれですか。	葉緑体	葉緑体は光エネルギーを使って光合成を行います。	2	核	液胞	葉緑体	細胞膜
q_004	植物が光合成で主に取り入れる気体はどれですか。	二酸化炭素	光合成では二酸化炭素と水から有機物をつくり、酸素を放出します。	3	酸素	窒素	水素	二酸化炭素
q_005	生物の呼吸で、有機物からエネルギーを取り出す際に主に使われる気体はどれですか。	酸素	多くの生物は呼吸で酸素を使い、二酸化炭素を出します。	0	酸素	二酸化炭素	窒素	水素
q_006	植物の葉で、気体の出入りや蒸散が行われる小さな穴は何ですか。	気孔	気孔は孔辺細胞に囲まれ、開閉します。	1	維管束	気孔	根毛	胚珠
q_007	根から吸収した水や無機養分を植物体の上部へ運ぶ管はどれですか。	道管	道管は根から吸収した水や無機養分を運びます。	2	師管	気管	道管	輸尿管
q_008	葉でつくられた養分を植物体の各部へ運ぶ管はどれですか。	師管	師管は光合成でできた養分を運びます。	3	道管	気管	毛細血管	師管
q_009	背骨をもつ動物をまとめて何といいますか。	脊椎動物	魚類・両生類・爬虫類・鳥類・哺乳類は脊椎動物です。	0	脊椎動物	無脊椎動物	節足動物	軟体動物
q_010	幼生はえら、成体は主に肺と皮膚で呼吸する動物の例はどれですか。	カエル	カエルは両生類で、成長に伴って呼吸器官が変化します。	1	トカゲ	カエル	メダカ	ハト
q_011	昆虫の成虫の脚は何本ですか。	6本	昆虫の胸部には3対、合計6本の脚があります。	2	4本	8本	6本	10本
q_012	生態系で、光合成によって有機物をつくる生物を何といいますか。	生産者	植物などは無機物から有機物をつくるため生産者です。	3	消費者	分解者	捕食者	生産者
q_013	生物の死骸や排出物を無機物に分解する生物の組み合わせはどれですか。	菌類と細菌類	菌類や細菌類は生態系の分解者です。	0	菌類と細菌類	植物と草食動物	魚類と両生類	鳥類と哺乳類
q_014	だ液に含まれ、デンプンを分解する消化酵素はどれですか。	アミラーゼ	アミラーゼはデンプンを麦芽糖などへ分解します。	1	ペプシン	アミラーゼ	リパーゼ	トリプシン
q_015	消化された養分の多くが吸収される器官はどれですか。	小腸	小腸の柔毛が表面積を広げ、養分を効率よく吸収します。	2	胃	大腸	小腸	食道
q_016	水が凍って氷になる変化はどれに分類されますか。	状態変化	物質そのものは水のままで、状態だけが変わります。	3	化学変化	酸化	分解	状態変化
q_017	1種類の物質だけでできているものを何といいますか。	純物質	純物質は単一の物質からなり、混合物と区別されます。	0	純物質	混合物	溶液	合金
q_018	水に溶けない固体と液体を分ける操作はどれですか。	ろ過	ろ紙を通すと液体は通り、溶けていない固体は残ります。	1	蒸留	ろ過	再結晶	昇華
q_019	液体の沸点の違いを利用して混合物を分ける操作はどれですか。	蒸留	蒸留は蒸発した成分を冷やして回収します。	2	ろ過	クロマトグラフィー	蒸留	磁力選別
q_020	物質の密度を求める式はどれですか。	質量÷体積	密度は単位体積当たりの質量です。	3	体積÷質量	質量×体積	質量＋体積	質量÷体積
q_021	密閉した容器内で化学反応が起きる前後の全質量はどうなりますか。	変わらない	質量保存の法則により、反応前後の物質全体の質量は等しいです。	0	変わらない	必ず増える	必ず減る	気体が出ると必ず0になる
q_022	酸性の水溶液に青色リトマス紙を入れるとどうなりますか。	赤色になる	酸性の水溶液は青色リトマス紙を赤色に変えます。	1	青色のまま	赤色になる	白色になる	緑色になる
q_023	アルカリ性の水溶液に赤色リトマス紙を入れるとどうなりますか。	青色になる	アルカリ性の水溶液は赤色リトマス紙を青色に変えます。	2	赤色のまま	黄色になる	青色になる	無色になる
q_024	25℃で中性の水溶液のpHはおよそいくつですか。	7	25℃ではpH7付近が中性です。	3	0	1	14	7
q_025	水を電気分解したとき、陰極側の水素と陽極側の酸素の体積比はどれですか。	2対1	水の電気分解では水素が酸素の約2倍発生します。	0	2対1	1対1	1対2	3対1
q_026	物質が酸素と結び付く化学変化を何といいますか。	酸化	物質と酸素が化合する変化は酸化です。	1	還元	酸化	中和	分解
q_027	酸化物から酸素が取り除かれる化学変化を何といいますか。	還元	酸化物が酸素を失う反応は還元です。	2	酸化	燃焼	還元	溶解
q_028	力の大きさを表す単位はどれですか。	ニュートン	力のSI単位はニュートンで、記号はNです。	3	ジュール	ワット	パスカル	ニュートン
q_029	物体の質量を表す単位として適切なものはどれですか。	キログラム	質量はキログラムなどで表し、重さの力はニュートンで表します。	0	キログラム	ニュートン	パスカル	ワット
q_030	一定の速さで進む物体の速さを求める式はどれですか。	移動距離÷時間	速さは単位時間当たりの移動距離です。	1	時間÷移動距離	移動距離÷時間	移動距離×時間	移動距離＋時間
q_031	外から力を受けない限り、物体が運動状態を保とうとする性質は何ですか。	慣性	静止や等速直線運動を保とうとする性質を慣性といいます。	2	弾性	浮力	慣性	摩擦
q_032	物体Aが物体Bを押すと、BもAを反対向きに同じ大きさで押す法則はどれですか。	作用・反作用の法則	二つの物体が及ぼし合う力は同じ大きさで反対向きです。	3	慣性の法則	質量保存の法則	オームの法則	作用・反作用の法則
q_033	圧力を求める式はどれですか。	面を垂直に押す力÷面積	同じ力なら接する面積が小さいほど圧力は大きくなります。	0	面を垂直に押す力÷面積	面積÷力	力×面積	質量÷体積
q_034	水中の物体に上向きにはたらく力を何といいますか。	浮力	液体や気体中の物体には上向きの浮力がはたらきます。	1	重力	浮力	摩擦力	弾性力
q_035	光が鏡で反射するとき、入射角と反射角の関係はどれですか。	等しい	反射の法則により、入射角と反射角は等しいです。	2	入射角が常に大きい	反射角が常に大きい	等しい	互いに90度になる
q_036	光が空気中から水中へ斜めに進むときに、境界で進む向きが変わる現象は何ですか。	屈折	光の速さが媒質によって変わるため、進行方向が曲がります。	3	反射	分散	回折	屈折
q_037	凸レンズでスクリーンに映すことのできる像を何といいますか。	実像	光が実際に集まってでき、スクリーンに映せる像が実像です。	0	実像	虚像	倒立像	鏡像
q_038	音が真空中を伝わらない理由はどれですか。	振動を伝える物質がないから	音は物質の振動として伝わるため、真空中では伝わりません。	1	重力がないから	振動を伝える物質がないから	光がないから	温度が低いから
q_039	音源の振動数が大きくなると、音の高さはどうなりますか。	高くなる	1秒当たりの振動回数が多いほど音は高くなります。	2	低くなる	変わらない	高くなる	必ず聞こえなくなる
q_040	電流の大きさを表す単位はどれですか。	アンペア	電流の単位はアンペアで、記号はAです。	3	ボルト	オーム	ワット	アンペア
q_041	電圧を表す単位はどれですか。	ボルト	電圧の単位はボルトで、記号はVです。	0	ボルト	アンペア	オーム	ジュール
q_042	電気抵抗を表す単位はどれですか。	オーム	電気抵抗の単位はオームで、記号はΩです。	1	ボルト	オーム	アンペア	ワット
q_043	直列回路の各部分を流れる電流はどうなりますか。	どこでも同じ	直列回路では枝分かれがないため、電流は各部分で同じです。	2	電源から離れるほど増える	抵抗の後で0になる	どこでも同じ	場所ごとに必ず半分になる
q_044	並列回路の各枝に加わる電圧はどうなりますか。	電源の電圧と等しい	各枝の両端は電源と同じ2点につながるため、電圧は等しいです。	3	枝の数だけ倍になる	抵抗がある枝では0になる	すべての枝で異なる	電源の電圧と等しい
q_045	マグマが冷えて固まってできた岩石を何といいますか。	火成岩	火成岩はマグマが地下や地表で冷えて固まった岩石です。	0	火成岩	堆積岩	変成岩	鉱物
q_046	土砂や火山灰などが堆積して層状になったものを何といいますか。	地層	堆積物が積み重なってできた層を地層といいます。	1	断層	地層	鉱脈	マグマだまり
q_047	離れた地域の地層の年代を比べる手掛かりになる化石は何ですか。	示準化石	短い期間に広い範囲で栄えた生物の化石が示準化石に適します。	2	示相化石	生痕化石	示準化石	現生化石
q_048	地震の揺れで、P波による最初の小さな揺れを何といいますか。	初期微動	P波が到着してからS波が来るまでの小さな揺れが初期微動です。	3	主要動	余震	地鳴り	初期微動
q_049	地下で地震が発生した場所を何といいますか。	震源	地下の発生場所が震源、その真上の地表が震央です。	0	震源	震央	震度	断層面全体
