# set_id=rika_summer_13_v3
# title=理科（観察など）	
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	レポートの「目的」を記述する際、最も留意すべき点は何ですか。	目的の書き方	目的は、何を明らかにするために観察や実験を行うのかを具体的に示す必要があります。	1	自分の感想を盛り込むこと	具体的かつ明確に書くこと	準備物と同じ内容を書くこと	結果がわかってから書くこと
q_002	観察レポートの「結果」の項目には、どのような内容を記録すべきですか。	結果の記録	結果には、自分の考えや予想を含めず、観察して得られた事実のみを図や表などを用いて客観的に記録します。	2	観察した内容から考えたこと	次に調べたいと思った疑問点	観察して得られたありのままの事実	実験が成功したかどうかの判定
q_003	観察結果から何がいえるかを、根拠を示して考えるプロセスを何といいますか。	考察	考察とは、得られた結果を分析し、事実に即して結論を導き出す過程のことです。	3	仮説	目的	結果	考察
q_004	科学的な探究において、疑問（課題）に対して「こうではないか」と予想を立てることを何といいますか。	仮説	課題に対する自分なりの答えの予想を仮説といいます。これをもとに計画を立てて検証します。	0	仮説	結果	考察	振り返り
q_005	観察レポートにおいて、今回の活動を振り返って次に調べたいと思ったことを書くのに適した項目はどれですか。	振り返り	振り返りでは、活動全体を通した自己評価や、新たに生じた疑問、今後の課題などを記述します。	2	方法	結果	観察を振り返って	目的
q_006	ルーペを使用して、手でもてる小さなものを観察するときの正しい操作はどれですか。	ルーペの使い方	ルーペを目に近づけて持ち、観察するものを前後に動かしてピントを合わせます。	3	ルーペを大きく前後に動かす	目をルーペから遠ざける	顔を左右に振る	観察するものを前後に動かす
q_007	ルーペを使用して、地面に咲いている花など動かせないものを観察するときの正しい操作はどれですか。	ルーペの使い方	動かせないものを観察するときは、ルーペを目に近づけて持ち、自分の顔を前後に動かしてピントを合わせます。	0	自分の顔を前後に動かす	ルーペを上下に振る	太陽の光を反射させる	目を細めて見る
q_008	ルーペや顕微鏡を使用する際、目に重大な損傷を与える恐れがあるため、絶対に行ってはいけないことは何ですか。	観察の安全	強い光や太陽を直接見ると、失明などの恐れがあり非常に危険です。	2	夜間に使用すること	レンズを指で触ること	太陽を直接見ること	水に濡らすこと
q_009	生物のスケッチをとる際、最も適切な技法はどれですか。	スケッチの技法	スケッチは、細い線ではっきりと描き、影をつけるために線を重ねたり塗りつぶしたりしてはいけません。	1	影をつけて立体感を出す	細い線で重ならないように描く	見えない部分は想像で描く	全体を鉛筆で塗りつぶす
q_010	スケッチで、小さな点や色の濃淡を表現したい場合、どのように描くのが正しいですか。	スケッチの技法	色の濃い部分や細かな構造は、線を重ねるのではなく、小さな点の集まりで表現します。	2	太いマジックで描く	線を何度も重ねて描く	小さな点で表現する	色鉛筆で色を塗る
q_011	双眼実体顕微鏡の主な特徴として、正しいものはどれですか。	双眼実体顕微鏡	両目でのぞくため、対象物を立体的に観察することができ、プレパラートを作る必要がない場合が多いです。	3	1000倍以上に拡大できる	平面的にしか見えない	必ずプレパラートが必要である	対象物を立体的に観察できる
q_012	双眼実体顕微鏡で、左右の視野が重なって1つに見えるようにするために行う調節は何ですか。	鏡筒の調節	左右の接眼レンズの間隔を自分の目の幅に合わせて動かすことで、視野を1つに重ねます。	0	接眼レンズの幅を調節する	対物レンズを交換する	反射鏡の角度を変える	ステージを上下させる
q_013	双眼実体顕微鏡でピントを合わせる際、粗動ねじをゆるめて最初に行う操作は何ですか。	ピント合わせ	まず鏡筒を支えながら、観察物の大きさに合わせて鏡筒を上下させ、大まかにピントを合わせて固定します。	2	接眼レンズをのぞき続ける	反射鏡を回す	鏡筒を上下に動かす	絞りを全開にする
q_014	双眼実体顕微鏡で、左目だけでのぞきながらピントを合わせるために使用する部位はどこですか。	視度調節リング	右目でピントを合わせた後、左目のみでのぞきながら視度調節リングを回して微調節を行います。	1	微動ねじ	視度調節リング	絞り	レボルバー
q_015	顕微鏡の拡大倍率が400倍のとき、接眼レンズが10倍であれば、対物レンズは何倍のものを使用していますか。	顕微鏡の倍率	顕微鏡の倍率 ＝ 接眼レンズの倍率 × 対物レンズの倍率 です。400 ÷ 10 = 40倍となります。	2	4倍	10倍	40倍	400倍
q_016	ステージ上下式の顕微鏡でピントを合わせるとき、最初に対物レンズとプレパラートを最も近づけます。このときどこから見て操作すべきですか。	ピント合わせ	レンズとプレパラートの衝突を防ぐため、真横から見ながら限界まで近づけます。	3	接眼レンズをのぞきながら	下から見上げながら	斜め上から見ながら	真横から見ながら
q_017	顕微鏡でピントを合わせる際、調節ねじを回して対物レンズとプレパラートの距離をどう動かしますか。	ピント合わせ	最初に最も近づけた状態から、のぞきながら「遠ざける方向」に動かしてピントを合わせます。	1	さらに近づける方向	遠ざける方向	交互に動かす	動かさず目を動かす
q_018	顕微鏡の視野を明るくするために調節する部品の組み合わせとして正しいものはどれですか。	視野の明るさ調節	反射鏡（または光源）の向きを変えたり、絞りを動かしたりして光の量を調節します。	0	反射鏡と絞り	レボルバーとクリップ	粗動ねじと微動ねじ	接眼レンズと対物レンズ
q_019	顕微鏡の対物レンズを交換して倍率を高くしたとき、視野の様子はどうなりますか。	高倍率の視野	倍率を上げると見える範囲（視野）は狭くなり、入ってくる光が減るため暗くなります。	2	広く明るくなる	広く暗くなる	狭く暗くなる	狭く明るくなる
q_020	顕微鏡で視野の「右下」に見えている生物を、中央に移動させるにはプレパラートをどの方向に動かせばよいですか。	プレパラートの移動	顕微鏡の視野は上下左右が逆に見えるため、移動させたい方向（見えている方向）へ動かします。	3	左上	左下	右上	右下
q_021	プレパラートを作成する際、スライドガラスに水を一滴落とした後、カバーガラスをどのようにかけるのが最も適切ですか。	プレパラートの作り方	気泡が入らないよう、端を先に着けてからピンセットなどで支えて静かに下ろします。	1	真上から水平に落とす	端から静かに下ろす	勢いよくかぶせる	斜めにして強く押し付ける
