# set_id=[kids_basic_v1]
# title=[子ども向け・基礎英語]
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
go_to_school	I ___ to school by bus every day.	go to school	goは「行く」です。Iのあとではgoを使います。	0	go	goes	went	going
likes_soccer	Ken ___ soccer after school.	likes	主語がKenのような1人の名前なら、現在形の動詞にsをつけてlikesにします。	2	like	liked	likes	liking
have_a_dog	We ___ a small dog at home.	have	Weのあとでは「持っている」のhaveを使います。	1	has	have	had	having
has_a_bike	My sister ___ a new bike.	has	My sisterは1人なので、haveではなくhasを使います。	2	have	had	has	having
eat_breakfast	I ___ breakfast at seven every morning.	eat breakfast	毎朝の習慣なので現在形eatを使います。	2	eats	ate	eat	eating
drinks_milk	Tom ___ milk with lunch.	drinks	Tomは1人なので、現在形のdrinkにsをつけてdrinksにします。	0	drinks	drink	drank	drinking
read_books	They ___ books in the library.	read books	Theyのあとでは現在形のreadをそのまま使います。	3	reads	reading	reader	read
writes_letters	My grandmother ___ letters to me.	writes	My grandmotherは1人なのでwriteにsをつけます。	3	write	wrote	writing	writes
play_the_piano	Mika can ___ the piano very well.	can play	canのあとの動詞は原形なのでplayを使います。	3	plays	played	playing	play
swim_fast	He can ___ very fast.	can swim	canのあとは動詞の原形swimです。	0	swim	swims	swam	swimming
beautiful_flower	This is a ___ flower.	beautiful	beautifulは「美しい」という意味で、flowerを説明します。	1	hungry	beautiful	slowly	tomorrow
hungry_before_dinner	I am ___ before dinner.	hungry	hungryは「おなかがすいた」という意味です。	3	busy	kind	tall	hungry
kind_teacher	Our English teacher is very ___.	kind	kindは「親切な」という意味です。	3	early	cold	long	kind
large_room	We need a ___ room for twenty people.	large	largeは「大きい」という意味で、20人入る部屋に合います。	1	short	large	weak	thin
young_brother	My ___ brother is ten years old.	younger brother	youngerは「年下の」という意味です。	0	younger	older	longer	higher
favorite_subject	Math is my favorite ___.	school subject	mathは学校の「教科」なのでsubjectが正解です。	2	season	animal	subject	country
summer_season	July is in the ___ season.	summer	7月は夏なのでsummerが正解です。	2	winter	spring	summer	autumn
kitchen_room	My mother is cooking in the ___.	kitchen	料理をする部屋はkitchenです。	1	bedroom	kitchen	garden	library
library_books	We can borrow books from the ___.	library	本を借りる場所はlibraryです。	3	hospital	station	restaurant	library
hospital_doctor	A doctor works at a ___.	hospital	医者が働く場所はhospitalです。	3	museum	bakery	farm	hospital
station_train	We waited for the train at the ___.	station	電車を待つ場所はstationです。	3	park	office	pool	station
restaurant_dinner	We had dinner at a nice ___.	restaurant	食事をする店はrestaurantです。	1	school	restaurant	factory	bridge
weekend_saturday	Saturday and Sunday are the ___.	weekend	SaturdayとSundayを合わせてweekendといいます。	0	weekend	weekday	month	holiday
morning_time	I get up at six in the ___.	morning	朝6時なのでmorningが合います。	1	afternoon	morning	evening	night
afternoon_three	We have club activities at three in the ___.	afternoon	午後3時なのでafternoonが正解です。	0	afternoon	morning	night	midnight
evening_dinner	We usually eat dinner in the ___.	evening	夕食を食べる時間なのでeveningが合います。	1	morning	evening	noon	weekend
night_sleep	Most people sleep at ___.	at night	「夜に」はat nightといいます。	0	night	noon	week	spring
weather_sunny	It is ___ today, so let us play outside.	sunny	外で遊ぶのに合う天気はsunny「晴れた」です。	1	rainy	sunny	snowy	cloudy
weather_rainy	Take an umbrella. It is ___ outside.	rainy	かさが必要なのでrainy「雨の」が正解です。	2	sunny	windy	rainy	warm
cold_winter	It is very ___ in winter.	cold	冬の気温を表すのでcold「寒い」が合います。	0	cold	hot	dry	bright
hot_summer	August is usually ___ in Japan.	hot	日本の8月はふつう暑いのでhotが正解です。	2	cold	dark	hot	quiet
happy_birthday	I was very ___ to get a birthday present.	happy	誕生日プレゼントをもらってうれしいのでhappyです。	3	angry	sleepy	afraid	happy
tired_after_running	I was ___ after running five kilometers.	tired	5キロ走ったあとに感じるのはtired「疲れた」です。	2	famous	cheap	tired	clean
busy_today	My father is very ___ at work today.	busy	仕事がたくさんある状態はbusy「忙しい」です。	1	empty	busy	sweet	safe
easy_question	This question is very ___. I know the answer.	easy	答えが分かる簡単な問題なのでeasyです。	0	easy	difficult	heavy	dark
difficult_homework	This homework is too ___ for me.	difficult	自分には難しすぎる宿題なのでdifficultが合います。	2	easy	quiet	difficult	clean
cheap_pencil	This pencil is only fifty yen. It is ___.	cheap	50円で安いのでcheapが正解です。	2	expensive	strong	cheap	deep
expensive_bag	That bag costs 30,000 yen. It is very ___.	expensive	値段が高いのでexpensiveが正解です。	0	expensive	cheap	small	light
clean_room	Please keep your room ___.	clean	部屋をきれいな状態にするのでcleanです。	1	dirty	clean	busy	hungry
dirty_shoes	Your shoes are ___. Please wash them.	dirty	洗う必要があるのでdirty「汚れた」が合います。	0	dirty	clean	new	quiet
am_student	I ___ a junior high school student.	be verb am	主語がIのとき、be動詞はamです。	0	am	is	are	be
is_my_friend	Yuki ___ my best friend.	be verb is	Yukiは1人なのでbe動詞はisです。	0	is	am	are	be
are_students	We ___ students at this school.	be verb are	主語がWeのとき、be動詞はareです。	1	am	are	is	be
was_at_home	I ___ at home yesterday.	be verb was	yesterdayがあるので過去形を使い、Iのbe動詞はwasです。	1	am	was	is	were
were_in_park	They ___ in the park last Sunday.	be verb were	last Sundayがあるので過去形を使い、Theyにはwereです。	1	are	were	was	is
do_you_like	___ you like music?	Do you ...?	一般動詞likeの疑問文で、主語がyouなのでDoを使います。	1	Does	Do	Are	Is
does_he_play	___ he play tennis on Sundays?	Does he ...?	主語がheの一般動詞の疑問文なのでDoesを使います。	2	Do	Is	Does	Has
did_you_go	___ you go to the zoo yesterday?	Did you ...?	yesterdayの過去の疑問文なのでDidを使います。	3	Do	Does	Are	Did
dont_eat_meat	I am a vegetarian, so I ___ eat meat.	do not	今の習慣についてIを主語に否定するのでdo notを使います。	2	does not	am not	do not	did not
doesnt_watch_tv	My brother usually reads in the morning, so he ___ watch TV then.	does not	今の習慣についてheを主語に否定するのでdoes notを使います。	2	do not	is not	does not	did not
didnt_see_movie	We ___ see the movie last night.	did not	last nightの過去の否定文なのでdid notを使います。	0	did not	do not	does not	are not
there_is_book	There ___ a book on the desk.	There is	a bookは1つなのでThere isを使います。	3	are	am	be	is
there_are_cats	There ___ three cats in the garden.	There are	three catsは複数なのでThere areを使います。	3	is	am	was	are
there_was_game	There ___ a soccer game yesterday.	There was	a soccer gameは1つで、yesterdayなのでwasです。	3	were	is	are	was
there_were_people	There ___ many people at the festival.	There were	many peopleは複数で、過去のことなのでwereです。	2	was	is	were	are
a_new_book	I bought ___ new book yesterday.	article a	new bookは1冊で、newは子音の音で始まるのでaを使います。	2	an	the	a	some
an_old_apple	She ate ___ apple after lunch.	article an	appleは母音の音で始まる単数名詞なのでanを使います。	0	an	a	the	some
the_sun	___ sun is very bright today.	the sun	太陽は1つのものとして表すのでthe sunといいます。	3	A	An	Some	The
some_water	Please give me ___ water.	some＋不可算名詞	waterは数えられない名詞で、肯定文ではsomeが自然です。	0	some	a	an	many
any_questions	Do you have ___ questions?	any＋複数名詞	疑問文で「何か質問」はany questionsといいます。	2	some	a	any	much
many_books	There are ___ books in this room.	many＋複数名詞	booksは数えられる複数名詞なのでmanyを使います。	2	much	little	many	a
much_time	We do not have ___ time.	much＋不可算名詞	timeはここでは数えられない名詞なのでmuchを使います。	0	much	many	a few	several
a_few_friends	I have ___ friends in my class.	a few＋複数名詞	friendsは数えられる複数名詞なのでa fewを使います。	0	a few	a little	much	any
a_little_milk	There is ___ milk in the glass.	a little＋不可算名詞	milkは数えられない名詞なのでa littleを使います。	0	a little	a few	many	several
my_book	I bought this yesterday. This is ___ book.	my	話し手が買った本なのでmy「私の」を使います。	0	my	me	I	mine
his_bag	The bag belongs to my brother. It is ___ bag.	his	my brotherの持ち物なのでhis「彼の」を使います。	3	him	he	her	his
her_desk	This desk belongs to Emi. It is ___ desk.	her	Emiの持ち物なのでher「彼女の」を使います。	2	his	she	her	hers
our_school	This is ___ school. We study here.	our	Weに対応する「私たちの」はourです。	0	our	us	we	ours
their_house	The Browns live here. This is ___ house.	their	The Brownsは複数の家族なので「彼らの」はtheirです。	3	them	they	theirs	their
mine_pronoun	This pen is not yours. It is ___.	mine	mineは「私のもの」という意味で、後ろに名詞を置きません。	3	my	me	I	mine
hers_pronoun	That notebook belongs to Aya. It is ___.	hers	hersは「彼女のもの」という意味です。	0	hers	her	she	him
them_object	I know those boys. I see ___ every day.	object pronoun them	those boysを受ける目的格はthemです。	2	they	their	them	theirs
us_object	Our teacher helped ___ after class.	object pronoun us	Weの目的格はusです。「私たちを助けた」となります。	3	we	our	ours	us
at_seven	School starts ___ eight o'clock.	at＋時刻	時刻の前にはatを使います。	2	on	in	at	from
on_monday	We have music class ___ Monday.	on＋曜日	曜日の前にはonを使います。	2	at	in	on	by
in_july	My birthday is ___ July.	in＋月	月の前にはinを使います。	3	on	at	to	in
under_the_table	The cat is ___ the table.	under	テーブルの下にいるのでunderが正解です。	0	under	over	between	behind
between_chairs	The bag is ___ the two chairs.	between	2つのいすの間なのでbetweenを使います。	0	between	among	under	through
next_to_bank	The post office is next ___ the bank.	next to	next toは「～のとなりに」という意味です。	0	to	at	for	from
across_from_school	The park is across ___ the school.	across from	across fromは「～の向かいに」という意味です。	3	to	at	in	from
what_is_this	___ is this? It is a camera.	What is this?	物の名前をたずねるときはWhatを使います。	1	Who	What	When	Where
who_is_she	___ is that girl? She is my cousin.	Who is ...?	人がだれかをたずねるときはWhoを使います。	0	Who	What	Where	How
where_do_you_live	___ do you live? I live in Tokyo.	Where do you ...?	住んでいる場所をたずねるのでWhereです。	0	Where	When	Why	Which
when_is_birthday	___ is your birthday? It is in May.	When is ...?	時をたずねるときはWhenを使います。	1	Where	When	Who	What
why_are_you_late	___ are you late? Because I missed the bus.	Why ...?	理由をたずね、Becauseで答えているのでWhyです。	0	Why	How	When	Which
how_are_you	___ are you today? I am fine.	How are you?	体調や様子をたずねる表現はHow are you?です。	3	What	Who	Where	How
which_color	___ color do you like, blue or green?	Which ...?	blueかgreenか、選ぶものが決まっているのでWhichを使います。	1	What	Which	Who	When
whose_bag	___ bag is this? It is mine.	Whose ...?	だれの物かをたずねるときはWhoseを使います。	0	Whose	Who	Which	What
how_many_books	How ___ books do you have?	How many	数えられる名詞booksの数をたずねるのでHow manyです。	3	much	long	often	many
how_much_money	How ___ money do you need?	How much	moneyは数えられない名詞なのでHow muchを使います。	1	many	much	old	far
how_old_are_you	How ___ are you? I am twelve.	How old	年齢をたずねる表現はHow oldです。	3	long	many	often	old
how_often_practice	How ___ do you practice the piano? Every day.	How often	回数や頻度をたずねるときはHow oftenを使います。	1	long	often	much	far
