# set_id=[nissho_bookkeeping_3_v1]
# title=[日商簿記3級・基礎問題]
# version=4
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
asset_account	次のうち、資産に分類される勘定科目はどれですか。	資産	現金は会社が持つ財産なので資産です。\n借入金は負債、資本金は純資産、売上は収益です。	1	借入金	現金	資本金	売上
liability_account	次のうち、負債に分類される勘定科目はどれですか。	負債	借入金は将来返す義務があるため負債です。	2	売掛金	備品	借入金	受取手数料
equity_account	次のうち、純資産に分類される勘定科目はどれですか。	純資産	資本金は株主から払い込まれた元手で、純資産に分類されます。	3	買掛金	仕入	現金	資本金
revenue_account	次のうち、収益に分類される勘定科目はどれですか。	収益	売上は商品を販売して得た収益です。	0	売上	給料	未払金	備品
expense_account	次のうち、費用に分類される勘定科目はどれですか。	費用	給料は事業のために発生する費用です。	0	給料	売掛金	借入金	資本金
asset_increase_side	資産が増加したとき、勘定のどちら側に記入しますか。	資産の増加	資産の増加は借方に記入します。	0	借方	貸方	借方と貸方の両方	記入しない
liability_increase_side	負債が増加したとき、勘定のどちら側に記入しますか。	負債の増加	負債の増加は貸方に記入します。	2	借方	借方と貸方の両方	貸方	記入しない
accounting_equation	貸借対照表の基本的な関係として正しいものはどれですか。	貸借対照表等式	資産は、負債と純資産の合計に等しくなります。	0	資産＝負債＋純資産	資産＝収益－費用	負債＝資産＋純資産	純資産＝収益＋費用
bookkeeping_transaction	次のうち、簿記上の取引に該当するものはどれですか。	簿記上の取引	商品を現金で購入すると、資産や費用が変化するため簿記上の取引になります。	2	商品を注文しただけで、まだ受け取っていない	従業員を採用することを決めた	商品を現金で購入した	来月の販売計画を立てた
income_statement_role	損益計算書が表す内容として最も適切なものはどれですか。	損益計算書	損益計算書は一定期間の収益、費用、利益または損失を表します。	0	一定期間の経営成績	ある時点の財政状態	現金だけの増減	商品の数量だけの増減
capital_cash_investment	会社設立時に株主から現金300,000円の払込みを受け、全額を資本金としました。\n正しい仕訳はどれですか。	資本金の払込み	現金が増えるので借方に現金、純資産が増えるので貸方に資本金を記入します。	1	（借）資本金 300,000円\n（貸）現金 300,000円	（借）現金 300,000円\n（貸）資本金 300,000円	（借）現金 300,000円\n（貸）売上 300,000円	（借）当座預金 300,000円\n（貸）借入金 300,000円
supplies_cash_purchase	事務用の文房具5,000円を現金で購入し、購入時に費用として処理しました。\n正しい仕訳はどれですか。	消耗品費	文房具代は消耗品費となり、現金の減少を貸方に記入します。	3	（借）現金 5,000円\n（貸）消耗品費 5,000円	（借）備品 5,000円\n（貸）買掛金 5,000円	（借）仕入 5,000円\n（貸）現金 5,000円	（借）消耗品費 5,000円\n（貸）現金 5,000円
land_on_account	土地500,000円を購入し、代金は後日支払うことにしました。\n正しい仕訳はどれですか。	未払金	商品以外の土地を後払いで購入したため、貸方は買掛金ではなく未払金です。	1	（借）土地 500,000円\n（貸）買掛金 500,000円	（借）土地 500,000円\n（貸）未払金 500,000円	（借）仕入 500,000円\n（貸）未払金 500,000円	（借）未払金 500,000円\n（貸）土地 500,000円
