# set_id=civics_basics_v1
# title=政治・公民の基礎
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	「国の基本的な仕組みと国民の権利などを定める最高法規」に当てはまる用語はどれですか。	日本国憲法	日本国憲法は、国の基本的な仕組みと国民の権利などを定める最高法規。	0	日本国憲法	参政権	国会	閣議
q_002	「国民主権」の説明として正しいものはどれですか。	国民主権	国民主権は、政治の最終的な意思決定の権限が国民にある原理。	1	国や地方公共団体に希望や意見を申し出る権利	政治の最終的な意思決定の権限が国民にある原理	二院制を構成し参議院とともに国会をつくる議院	司法権を担い法律に基づいて裁判を行う機関
q_003	次の説明に最も合うものはどれですか。「人が生まれながらに持つ権利を大切にする原理」	基本的人権の尊重	基本的人権の尊重は、人が生まれながらに持つ権利を大切にする原理。	2	国民の三大義務	参議院	基本的人権の尊重	最高裁判所
q_004	用語「平和主義」が表す内容はどれですか。	平和主義	平和主義は、戦争を避け平和を重んじる憲法の基本原理。	3	立法・行政・司法を分け相互に抑制させる仕組み	二つの議院で審議する議会制度	法令などが憲法に適合するかを裁判所が判断する権限	戦争を避け平和を重んじる憲法の基本原理
q_005	「すべての人が法律上平等に扱われるという原則」に当てはまる用語はどれですか。	法の下の平等	法の下の平等は、すべての人が法律上平等に扱われるという原則。	0	法の下の平等	立法	法律案	裁判の三審制
q_006	「自由権」の説明として正しいものはどれですか。	自由権	自由権は、国家から不当に干渉されず自由に生きる権利。	1	法律に基づいて政策を実施する国家作用	国家から不当に干渉されず自由に生きる権利	行政権を担う合議体	個人や企業間の権利・義務をめぐる争いを扱う裁判
q_007	次の説明に最も合うものはどれですか。「人間らしい生活を保障するよう国に求める権利」	社会権	社会権は、人間らしい生活を保障するよう国に求める権利。	2	司法	内閣総理大臣	社会権	刑事裁判
q_008	用語「参政権」が表す内容はどれですか。	参政権	参政権は、政治に参加する権利。	3	国権の最高機関であり国の唯一の立法機関	内閣の意思を決める会議	地域の住民が地域の政治を自主的に行う仕組み	政治に参加する権利
q_009	「国や地方公共団体に希望や意見を申し出る権利」に当てはまる用語はどれですか。	請願権	請願権は、国や地方公共団体に希望や意見を申し出る権利。	0	請願権	衆議院	裁判所	地方公共団体
q_010	「国民の三大義務」の説明として正しいものはどれですか。	国民の三大義務	国民の三大義務は、教育を受けさせる義務・勤労の義務・納税の義務。	1	二院制を構成し衆議院とともに国会をつくる議院	教育を受けさせる義務・勤労の義務・納税の義務	日本の司法制度で最上級に位置する裁判所	地方公共団体を代表し行政を担う長
