# set_id=[special_reading_compounds_v2]
# title=[日常で出会う特殊な読み・熟字訓]
# version=2
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
special_unique_reading_001	次の文中の「今朝」の読みとして正しいものはどれですか。\n今朝はいつもより早く目が覚めました。	今朝	「今朝」は「けさ」と読み、今日の朝を表します。\n例文：今朝はいつもより早く目が覚めました。	0	けさ	おととい	きのう	おととし
special_unique_reading_002	次の文中の「七夕」の読みとして正しいものはどれですか。\n七夕には、願い事を書いた短冊を笹に飾ります。	七夕	「七夕」は「たなばた」と読み、七月七日に行われる星祭りを表します。\n例文：七夕には、願い事を書いた短冊を笹に飾ります。	1	ことし	たなばた	うなばら	ゆうべ
special_unique_reading_003	次の文中の「今日」の読みとして正しいものはどれですか。\n今日は図書館で勉強する予定です。	今日	「今日」は「きょう」と読み、現在の日を表します。\n例文：今日は図書館で勉強する予定です。	2	かわせ	ふつか	きょう	もめん
special_unique_reading_004	次の文中の「一昨日」の読みとして正しいものはどれですか。\n一昨日、図書館で借りた本を読み終えました。	一昨日	「一昨日」は「おととい」と読み、昨日の前の日を表します。\n例文：一昨日、図書館で借りた本を読み終えました。	3	いつか	みやげ	むいか	おととい
special_unique_reading_005	次の文中の「昨日」の読みとして正しいものはどれですか。\n昨日、友達と公園で遊びました。	昨日	「昨日」は「きのう」と読み、今日の前の日を表します。\n例文：昨日、友達と公園で遊びました。	0	きのう	しぐれ	ここのか	あずき
special_unique_reading_006	次の文中の「一昨年」の読みとして正しいものはどれですか。\n一昨年の夏に、この町へ引っ越してきました。	一昨年	「一昨年」は「おととし」と読み、去年の前の年を表します。\n例文：一昨年の夏に、この町へ引っ越してきました。	1	うづき	おととし	いおう	ひとり
special_unique_reading_007	次の文中の「明日」の読みとして正しいものはどれですか。\n明日は早めに家を出ます。	明日	「明日」は「あした」と読み、今日の次の日を表します。\n例文：明日は早めに家を出ます。	2	なだれ	まじめ	あした	のら
special_unique_reading_008	次の文中の「大人」の読みとして正しいものはどれですか。\n困ったときは近くの大人に相談しましょう。	大人	「大人」は「おとな」と読み、成長して一人前になった人を表します。\n例文：困ったときは近くの大人に相談しましょう。	3	いわゆる	なごり	あらかじめ	おとな
special_unique_reading_009	次の文中の「明後日」の読みとして正しいものはどれですか。\n明後日に部活動の大会があります。	明後日	「明後日」は「あさって」と読み、明日の次の日を表します。\n例文：明後日に部活動の大会があります。	0	あさって	まいご	なぜ	つきやま
special_unique_reading_010	次の文中の「海女」の読みとして正しいものはどれですか。\n海女が素潜りで貝を採る様子を見学しました。	海女	「海女」は「あま」と読み、海に潜って貝や海藻を採る女性を表します。\n例文：海女が素潜りで貝を採る様子を見学しました。	1	あそこ	あま	しめなわ	いかが
