# set_id=economics_money_basics_v1
# title=経済・お金の基礎
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	「欲しいものに対して利用できる資源が限られていること」に当てはまる用語はどれですか。	希少性	希少性は、欲しいものに対して利用できる資源が限られていること。	0	希少性	物価	労働	赤字
q_002	「機会費用」の説明として正しいものはどれですか。	機会費用	機会費用は、ある選択によってあきらめた選択肢のうち最も価値の高いもの。	1	物価が継続的に上昇する現象	ある選択によってあきらめた選択肢のうち最も価値の高いもの	生産に使われる機械や設備などの蓄積	収入が支出を上回る状態
q_003	次の説明に最も合うものはどれですか。「消費者が商品やサービスを買おうとする量」	需要	需要は、消費者が商品やサービスを買おうとする量。	2	デフレーション	企業	需要	貯蓄
q_004	用語「供給」が表す内容はどれですか。	供給	供給は、生産者が商品やサービスを売ろうとする量。	3	経済活動の活発さを表す状態	消費や労働供給を行う個人や家族の経済主体	将来の利益や成果を期待して資金を振り向けること	生産者が商品やサービスを売ろうとする量
q_005	「需要と供給の関係などを通じて市場で決まる価格」に当てはまる用語はどれですか。	市場価格	市場価格は、需要と供給の関係などを通じて市場で決まる価格。	0	市場価格	国内総生産	政府	利子
q_006	「競争」の説明として正しいものはどれですか。	競争	競争は、複数の企業などが顧客や利益を求めて争うこと。	1	生産活動によって新たに加えられた価値	複数の企業などが顧客や利益を求めて争うこと	公共サービスなどの財源として国や地方公共団体が集めるお金	元金に対する利子の割合
q_007	次の説明に最も合うものはどれですか。「一つの企業が市場の供給をほぼ支配する状態」	独占	独占は、一つの企業が市場の供給をほぼ支配する状態。	2	生産性	予算	独占	単利
q_008	用語「物価」が表す内容はどれですか。	物価	物価は、さまざまな商品やサービスの価格を総合した水準。	3	人が商品やサービスの生産のために行う活動	支出が収入を上回る状態	元金とそれまでの利子を合わせて次の利子を計算する方法	さまざまな商品やサービスの価格を総合した水準
q_009	「物価が継続的に上昇する現象」に当てはまる用語はどれですか。	インフレーション	インフレーションは、物価が継続的に上昇する現象。	0	インフレーション	資本	黒字	預金
q_010	「デフレーション」の説明として正しいものはどれですか。	デフレーション	デフレーションは、物価が継続的に下落する現象。	1	商品やサービスを生産・販売する経済主体	物価が継続的に下落する現象	所得のうち現在の消費に使わず残すこと	金融機関などがお金を貸し出すこと
q_011	次の説明に最も合うものはどれですか。「経済活動の活発さを表す状態」	景気	景気は、経済活動の活発さを表す状態。	2	家計	投資	景気	担保
q_012	用語「国内総生産」が表す内容はどれですか。	国内総生産	国内総生産は、国内で一定期間に生み出された付加価値の合計。	3	公共サービスの提供や税の徴収などを行う経済主体	お金の貸し借りに対して支払われる対価	約束どおり支払いや返済をする能力への信頼	国内で一定期間に生み出された付加価値の合計
q_013	「生産活動によって新たに加えられた価値」に当てはまる用語はどれですか。	付加価値	付加価値は、生産活動によって新たに加えられた価値。	0	付加価値	税金	金利	株式
q_014	「生産性」の説明として正しいものはどれですか。	生産性	生産性は、投入した資源に対してどれだけ成果を生み出したかを示す度合い。	1	一定期間の収入と支出の見込みを示す計画	投入した資源に対してどれだけ成果を生み出したかを示す度合い	元金だけを基準に利子を計算する方法	国や企業などが資金を借りるために発行する証券
q_015	次の説明に最も合うものはどれですか。「人が商品やサービスの生産のために行う活動」	労働	労働は、人が商品やサービスの生産のために行う活動。	2	赤字	複利	労働	配当
