# set_id=weather_meteorology_v1
# title=天気と気象
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	雲や雨など日常の気象現象が主に起こる大気の層はどれですか。	対流圏	対流圏には大気の多くと水蒸気が集まり、天気の変化が起こります。	0	対流圏	成層圏	中間圏	熱圏
q_002	気圧を測る器具はどれですか。	気圧計	気圧計は大気が及ぼす圧力を測ります。	1	温度計	気圧計	風向計	雨量計
q_003	天気図で気圧を表すときに使う単位はどれですか。	ヘクトパスカル	気象では気圧をヘクトパスカル、記号hPaで表します。	2	ワット	ニュートン	ヘクトパスカル	ジュール
q_004	風速を測る器具はどれですか。	風速計	風速計は風の速さを測ります。	3	百葉箱	風向計	湿度計	風速計
q_005	風が吹いてくる向きを調べる器具はどれですか。	風向計	風向は風が来る方向を表し、風向計で調べます。	0	風向計	風速計	気圧計	日照計
q_006	降水量を測る器具はどれですか。	雨量計	雨量計は一定時間に降った雨や雪を水の深さで測ります。	1	蒸発計	雨量計	温度計	気圧計
q_007	百葉箱が白く塗られ、風通しのよい構造になっている主な理由はどれですか。	日射の影響を減らして空気の状態を測るため	直射日光や箱自体の加熱を避け、通風を確保します。	2	内部を完全な真空にするため	雨水をためるため	日射の影響を減らして空気の状態を測るため	風向を固定するため
q_008	相対湿度を求める考え方として正しいものはどれですか。	実際の水蒸気量÷その気温の飽和水蒸気量×100	相対湿度は、その気温で含める最大量に対する実際の水蒸気量の割合です。	3	飽和水蒸気量÷気温×100	気温÷実際の水蒸気量	実際の水蒸気量×気温	実際の水蒸気量÷その気温の飽和水蒸気量×100
q_009	空気を冷やしたとき、水蒸気が凝結し始める温度を何といいますか。	露点	空気が飽和し、水滴ができ始める温度が露点です。	0	露点	沸点	融点	凝固点
q_010	水蒸気が冷えて小さな水滴になる変化を何といいますか。	凝結	気体の水蒸気が液体の水になる変化は凝結です。	1	蒸発	凝結	昇華	融解
q_011	上昇した空気が雲をつくりやすい主な理由はどれですか。	膨張して温度が下がるから	上空ほど気圧が低く、空気は膨張して冷え、水蒸気が凝結します。	2	圧縮されて必ず高温になるから	酸素が水に変わるから	膨張して温度が下がるから	風が完全に止まるから
q_012	強い雨や雷をもたらしやすく、縦に大きく発達する雲はどれですか。	積乱雲	積乱雲は強い上昇気流で発達し、雷雨や突風を伴います。	3	巻雲	層雲	高積雲	積乱雲
q_013	高い空に現れ、氷の粒からできる刷毛状の雲はどれですか。	巻雲	巻雲は上空の低温域にできる薄い雲です。	0	巻雲	積雲	層雲	乱層雲
q_014	低い空を一様に覆い、霧のように見える雲はどれですか。	層雲	層雲は地表近くに広がる低い層状の雲です。	1	巻積雲	層雲	積乱雲	巻雲
q_015	暖気が寒気の上へゆるやかに乗り上げる境界は何ですか。	温暖前線	温暖前線では広い範囲に層状の雲ができ、比較的長く雨が続きます。	2	寒冷前線	停滞前線	温暖前線	閉塞前線
q_016	寒気が暖気の下へもぐり込み、短時間の強い雨をもたらしやすい境界は何ですか。	寒冷前線	寒冷前線では暖気が急に押し上げられ、積乱雲が発達しやすくなります。	3	温暖前線	停滞前線	閉塞前線	寒冷前線
q_017	暖気と寒気の勢力がほぼ等しく、同じ場所にとどまりやすい前線はどれですか。	停滞前線	停滞前線は動きが遅く、曇りや雨が続くことがあります。	0	停滞前線	寒冷前線	温暖前線	閉塞前線
q_018	寒冷前線が温暖前線に追いついてできる前線はどれですか。	閉塞前線	閉塞前線は低気圧が発達する過程で形成されます。	1	停滞前線	閉塞前線	温暖前線	寒冷前線
q_019	高気圧の中心付近で一般に起こる空気の動きはどれですか。	下降気流	高気圧では空気が下降し、雲ができにくくなります。	2	強い上昇気流	水平収束	下降気流	対流の停止
q_020	低気圧の中心付近で一般に起こる空気の動きはどれですか。	上昇気流	低気圧では空気が集まって上昇し、雲ができやすくなります。	3	下降気流	水平発散	沈降流	上昇気流
q_021	北半球の地上付近で、高気圧の周りの風はどのように吹きますか。	時計回りに外向き	コリオリの力などにより、北半球の高気圧では時計回りに吹き出します。	0	時計回りに外向き	反時計回りに内向き	時計回りに内向き	反時計回りに外向き
q_022	北半球の地上付近で、低気圧の周りの風はどのように吹きますか。	反時計回りに内向き	北半球の低気圧では反時計回りに中心へ吹き込みます。	1	時計回りに外向き	反時計回りに内向き	時計回りに内向き	反時計回りに外向き
q_023	天気図で、気圧が等しい地点を結んだ線を何といいますか。	等圧線	等圧線の形や間隔から気圧配置や風を読み取れます。	2	等温線	前線	等圧線	経線
