# set_id=disaster_preparedness_basics_v1
# title=防災の基礎
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	自宅周辺で洪水・土砂災害・津波などの危険を事前に調べる資料はどれですか。	ハザードマップ	ハザードマップには災害リスクが想定される区域や避難場所などが示されます。	0	ハザードマップ	観光マップ	路線図	地形図だけ
q_002	避難場所や経路を決める際に適切な備えはどれですか。	複数の候補と経路を実際に確認する	災害で道が通れない場合に備え、代替経路も確認します。	1	最短経路を一つだけ暗記する	複数の候補と経路を実際に確認する	災害発生後に初めて探す	自動車専用道路だけを選ぶ
q_003	災害時の家族の安否確認について、平時にしておくべきことはどれですか。	連絡方法と集合場所を話し合う	通信が混雑する場合も考え、複数の連絡手段や集合場所を決めます。	2	全員が別々に判断する	SNSのうわさだけを頼る	連絡方法と集合場所を話し合う	何も決めず携帯電話だけに頼る
q_004	非常用持ち出し品を入れる物として適切なものはどれですか。	両手が空くリュックサック	避難時に両手を使えると転倒防止や安全確保に役立ちます。	3	ふたのない箱	重い旅行用たんす	片手で持つ大皿	両手が空くリュックサック
q_005	家庭で備蓄する飲料水の一般的な目安は、1人1日何リットルですか。	3リットル	内閣府は飲料水を1人1日3リットルの目安で備えるよう案内しています。	0	3リットル	0.5リットル	10リットル	30リットル
q_006	家庭の食料や水は、最低どの程度を目安に備蓄することが推奨されていますか。	3日分	最低3日分、できれば1週間分を備えることが推奨されています。	1	1食分	3日分	1か月分だけ	1年分
q_007	普段使う食品を少し多めに買い、古い物から使って買い足す備蓄方法はどれですか。	ローリングストック	日常的に消費と補充を繰り返すため、期限切れを防ぎやすい方法です。	2	フードマイレージ	クールチェーン	ローリングストック	一括廃棄
q_008	断水時の生活で特に不足しやすいため、備蓄しておくと役立つ物はどれですか。	携帯トイレ	断水すると水洗トイレが使えない場合があり、衛生維持に携帯トイレが役立ちます。	3	花瓶	加湿器	水槽	携帯トイレ
q_009	地震による家具の転倒を防ぐ対策として適切なものはどれですか。	壁などへ適切な器具で固定する	家具を固定すると下敷きや避難経路の閉塞を防げます。	0	壁などへ適切な器具で固定する	床の中央へ不安定に置く	上に重い物を積む	出入口をふさぐように置く
q_010	寝室の家具配置として適切なものはどれですか。	倒れても寝床や出入口をふさがない位置にする	転倒・落下物から寝ている人と避難路を守る配置が重要です。	1	頭の真上に重い物を置く	倒れても寝床や出入口をふさがない位置にする	背の高い家具でドアを囲む	固定せず枕元に置く
