# set_id=kokugo_summer_set_v1
# title=国語（漢字・接続語・指示語）
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
kj_001	「獣」の音読みとして正しいものはどれですか？	獣の読み	漢字「獣」の音読みは「ジュウ」です。主に動物全般を指す際に使われます。	1	キョウ	ジュウ	ショウ	ボク
kj_002	「（　）を掲げる」の空欄に適切な言葉はどれですか？	掲げるの用法	旗などを高くあげることを「掲揚（けいよう）」や「旗を掲げる」と表現します。	2	名前	声を	旗	腕
kj_003	漢字「撲」の部首として正しいものはどれですか？	撲の部首	漢字「撲」の部首は「手（てへん）」です。打つ、叩くといった動作に関連するためです。	0	手（てへん）	木（きへん）	人（にんべん）	大（だい）
kj_004	漢字「滅」の画数は何画ですか？	滅の画数	漢字「滅」の画数は13画です。さんずい（3画）と右側のパーツの組み合わせに注意しましょう。	1	12画	13画	14画	15画
kj_005	「濃厚」の対義語的な意味を含む熟語はどれですか？	濃の熟語	「濃」を含む「濃厚（のうこう）」に対し、色の濃淡や味の強弱を示す「淡」を用いた「濃淡」があります。	2	濃縮	濃密	濃淡	濃度
kj_006	「撲」の音読みとして正しいものはどれですか？	撲の読み	漢字「撲」の音読みは「ボク」です。打楽器のように叩くイメージを持つ漢字です。	3	ハク	バク	ホク	ボク
kj_007	「文明が（　）びる」の空欄に適切な漢字を補ってください。	滅の訓読み	「滅」は訓読みで「ほろびる」と読み、存在がなくなることを意味します。	2	崩	被	滅	掲
kj_008	漢字「獣」の部首として正しいものはどれですか？	獣の部首	漢字「獣」の部首は「犬（けものへん）」です。野生の動物を象徴しています。	1	牛	犬（けものへん）	口	田
kj_009	漢字「症」の画数は何画ですか？	症の画数	漢字「症」の画数は10画です。部首の「やまいだれ」の書き順を確認しましょう。	2	8画	9画	10画	11画
kj_010	「自覚症状」の「症」の読みとして正しいものはどれですか？	症の読み	「症」の音読みは「ショウ」です。「症状（しょうじょう）」のように使います。	2	ソウ	セイ	ショウ	ジョウ
kj_011	「江」の音読みとして正しいものはどれですか？	江の読み	漢字「江」の音読みは「コウ」です。大きな川や入り江を指します。	1	キョウ	コウ	ゴウ	カン
kj_012	「（　）を被る」の空欄に適切な熟語はどれですか？	被の用法	「被害（ひがい）」とは、損害を受ける（被る）ことを指します。	2	加害	災害	被害	利害
