# set_id=world_countries_capitals_v1
# title=世界の国と首都
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	日本の首都はどこですか。	東京	東京は日本の首都です。	0	東京	大阪	京都	名古屋
q_002	中国の首都はどこですか。	北京	北京は中国の首都です。	1	上海	北京	広州	南京
q_003	韓国の首都はどこですか。	ソウル	ソウルは韓国の首都です。	2	釜山	仁川	ソウル	大邱
q_004	モンゴルの首都はどこですか。	ウランバートル	ウランバートルはモンゴルの首都です。	3	アルマトイ	タシケント	ビシュケク	ウランバートル
q_005	タイの首都はどこですか。	バンコク	バンコクはタイの首都です。	0	バンコク	ハノイ	マニラ	プノンペン
q_006	ベトナムの首都はどこですか。	ハノイ	ハノイはベトナムの首都です。	1	ホーチミン	ハノイ	ダナン	フエ
q_007	カンボジアの首都はどこですか。	プノンペン	プノンペンはカンボジアの首都です。	2	シェムリアップ	ビエンチャン	プノンペン	ヤンゴン
q_008	ラオスの首都はどこですか。	ビエンチャン	ビエンチャンはラオスの首都です。	3	ルアンパバーン	プノンペン	ネピドー	ビエンチャン
q_009	ミャンマーの首都はどこですか。	ネピドー	ネピドーはミャンマーの首都です。	0	ネピドー	ヤンゴン	マンダレー	バゴー
q_010	シンガポールの首都はどこですか。	シンガポール	都市国家シンガポールの首都はシンガポールです。	1	ジョホールバル	シンガポール	クアラルンプール	バンダルスリブガワン
q_011	フィリピンの首都はどこですか。	マニラ	マニラはフィリピンの首都です。	2	セブ	ダバオ	マニラ	バギオ
q_012	インドの首都はどこですか。	ニューデリー	ニューデリーはインドの首都です。	3	ムンバイ	コルカタ	チェンナイ	ニューデリー
q_013	パキスタンの首都はどこですか。	イスラマバード	イスラマバードはパキスタンの首都です。	0	イスラマバード	カラチ	ラホール	ペシャワール
q_014	バングラデシュの首都はどこですか。	ダッカ	ダッカはバングラデシュの首都です。	1	チッタゴン	ダッカ	クルナ	シレット
q_015	ネパールの首都はどこですか。	カトマンズ	カトマンズはネパールの首都です。	2	ポカラ	ティンプー	カトマンズ	コロンボ
q_016	サウジアラビアの首都はどこですか。	リヤド	リヤドはサウジアラビアの首都です。	3	ジッダ	メッカ	ドーハ	リヤド
q_017	アラブ首長国連邦の首都はどこですか。	アブダビ	アブダビはアラブ首長国連邦の首都です。	0	アブダビ	ドバイ	シャルジャ	アルアイン
q_018	トルコの首都はどこですか。	アンカラ	アンカラはトルコの首都です。	1	イスタンブール	アンカラ	イズミル	アンタルヤ
