# set_id=everyday_manners_basics_v1
# title=暮らしのマナー・常識
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	約束の時刻に遅れそうだと分かったとき、一般的に最も適切な対応はどれですか。	分かった時点で相手に連絡し到着見込みを伝える	早めの連絡で相手が予定を調整しやすくなります。	0	分かった時点で相手に連絡し到着見込みを伝える	到着してから理由を話す	何も言わず急ぐ	約束自体を忘れたことにする
q_002	人と会ったときのあいさつとして最も適切な考え方はどれですか。	相手や場面に合う言葉で自分から伝える	あいさつは関係づくりの基本です。	1	相手が先に言うまで黙る	相手や場面に合う言葉で自分から伝える	親しい人には不要である	声を出さず目をそらす
q_003	列に並んでいる人がいる場所での行動はどれが適切ですか。	最後尾を確認して順番に並ぶ	順番を守ると公平で円滑です。	2	知人を見つけたら途中に入る	空いた所へ自由に入る	最後尾を確認して順番に並ぶ	先頭の人に続いて横入りする
q_004	公共交通機関で大きな荷物を持つときの配慮はどれですか。	通路や出入口をふさがないように置く	人の移動を妨げない置き方が安全です。	3	座席を複数使って置く	出入口の中央に置く	荷物を通路に広げる	通路や出入口をふさがないように置く
q_005	静かな共有スペースでスマートフォンを使うときの配慮はどれですか。	通知音を控え通話は指定場所で行う	周囲の利用目的に合わせて音を抑えます。	0	通知音を控え通話は指定場所で行う	動画をスピーカーで再生する	着信音を最大にする	長時間大声で通話する
q_006	借りた物を返すときに適切な行動はどれですか。	約束した期限までに元の状態で返す	期限と状態を守ることが信頼につながります。	1	相手が催促するまで持ち続ける	約束した期限までに元の状態で返す	別の人に又貸しする	汚れていても黙って返す
q_007	他人の写真をSNSに載せたいとき、最も適切な対応はどれですか。	本人に公開してよいか確認する	写真は個人のプライバシーに関わります。	2	写っていれば自由に載せる	名前だけ消せば必ずよい	本人に公開してよいか確認する	公開後にだけ知らせる
q_008	メッセージを深夜に送る必要がない場合の配慮はどれですか。	相手の生活時間を考え適切な時間に送る	通知が休息を妨げる可能性に配慮します。	3	思いついたら何時でも連続送信する	返事が来るまで電話する	緊急でなくても至急と書く	相手の生活時間を考え適切な時間に送る
q_009	食事の席で口に食べ物が入っているときはどうしますか。	飲み込んでから話す	口の中が見えたり聞き取りにくくなったりするのを避けます。	0	飲み込んでから話す	そのまま大声で話す	手で口を開けて見せる	食べ物を出してから話す
q_010	大皿料理を複数人で分けるときの一般的な配慮はどれですか。	取り分け用の箸や器具があれば使う	衛生面に配慮して共用器具を使います。	1	自分の箸で全員分を混ぜる	取り分け用の箸や器具があれば使う	好きな分を先にすべて取る	皿を自分の前に置き続ける
q_011	訪問先で約束より大幅に早く着いたとき、一般的に適切なのはどれですか。	相手の準備を考え約束時刻近くまで待つ	早すぎる訪問も相手の負担になり得ます。	2	すぐに何度も呼び鈴を鳴らす	無断で中に入る	相手の準備を考え約束時刻近くまで待つ	約束時刻を変更したことにする
q_012	家を訪問するとき、玄関でまず行うこととして適切なのはどれですか。	あいさつし訪問の目的を簡潔に伝える	相手が状況を把握できる伝え方が基本です。	3	黙って上がる	玄関先で大声を出す	名前を言わず荷物だけ渡す	あいさつし訪問の目的を簡潔に伝える
q_013	贈り物を選ぶ際の基本的な配慮はどれですか。	相手の好みや負担にならない量を考える	受け取る側の事情に配慮します。	0	相手の好みや負担にならない量を考える	自分が不要な物だけを選ぶ	保管に困る大きさを必ず選ぶ	相手の事情を考えない
q_014	贈り物を受け取ったときの一般的な対応はどれですか。	感謝の気持ちを言葉で伝える	受領と感謝を伝えることが大切です。	1	何も言わずしまう	感謝の気持ちを言葉で伝える	値段をすぐ尋ねる	他人の贈り物と比較する
q_015	お見舞いに行く前の配慮として適切なのはどれですか。	本人や家族・施設の都合を確認する	体調や面会ルールへの配慮が必要です。	2	連絡せず長時間訪問する	大人数で突然訪ねる	本人や家族・施設の都合を確認する	体調に関係なく会話を続ける
q_016	体調の悪い人を訪ねた際の滞在時間はどう考えるのが適切ですか。	相手の負担にならないよう短めを心がける	休養を妨げない配慮が大切です。	3	自分が満足するまで滞在する	相手が眠っても話し続ける	必ず半日以上いる	相手の負担にならないよう短めを心がける
q_017	冠婚葬祭に参加するとき、服装を決める基本はどれですか。	行事の性質や案内に合う服装を選ぶ	場の目的と主催者の案内を尊重します。	0	行事の性質や案内に合う服装を選ぶ	常に普段着で行く	目立つことだけを優先する	案内を確認しない
q_018	お悔やみを伝えるときに大切なことはどれですか。	遺族の気持ちに配慮し簡潔に伝える	長話を避け静かに気持ちを表します。	1	詳しい事情を繰り返し尋ねる	遺族の気持ちに配慮し簡潔に伝える	大声で励ます	自分の体験だけを長く話す
q_019	共有の洗面所を使った後の配慮はどれですか。	周囲を汚したら軽く整えて次の人に譲る	共用場所を次の人が使いやすい状態にします。	2	水を出したまま離れる	私物を広げたままにする	周囲を汚したら軽く整えて次の人に譲る	汚れをそのままにする
