# set_id=junior_high_math_basics_v1
# title=中学数学の基礎
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	(-3)+8 の値はどれですか。	5	負の数と正の数を加えると、絶対値の差から5です。	0	5	-11	-5	11
q_002	7-(-4) の値はどれですか。	11	負の数を引くことは正の数を足すことです。	1	3	11	-11	28
q_003	(-6)×(-5) の値はどれですか。	30	負の数どうしの積は正です。	2	-30	11	30	-11
q_004	24÷(-6) の値はどれですか。	-4	異符号の数の商は負です。	3	4	-18	18	-4
q_005	2の5乗はどれですか。	32	2を5回掛けるので32です。	0	32	10	16	25
q_006	3/4+1/6 の値はどれですか。	11/12	通分すると9/12+2/12です。	1	4/10	11/12	5/12	1
q_007	5/8-1/4 の値はどれですか。	3/8	1/4を2/8に直して引きます。	2	4/8	1/8	3/8	1/2
q_008	2/3×9/4 の値はどれですか。	3/2	約分して18/12=3/2です。	3	11/7	2/3	9/4	3/2
q_009	x=4のとき、3x-2の値はどれですか。	10	3×4-2=10です。	0	10	6	8	14
q_010	2a+3aを簡単にした式はどれですか。	5a	同類項の係数を足します。	1	5a²	5a	6a	5
q_011	3(x+2)を展開した式はどれですか。	3x+6	分配法則で3をそれぞれに掛けます。	2	3x+2	x+6	3x+6	6x
q_012	6x+9を因数分解した式はどれですか。	3(2x+3)	共通因数3でくくります。	3	6(x+9)	3(x+3)	9(2x+1)	3(2x+3)
q_013	方程式 x+7=12 の解はどれですか。	x=5	両辺から7を引きます。	0	x=5	x=19	x=-5	x=7
q_014	方程式 3x=18 の解はどれですか。	x=6	両辺を3で割ります。	1	x=15	x=6	x=54	x=3
q_015	方程式 2x-5=9 の解はどれですか。	x=7	2x=14なのでx=7です。	2	x=2	x=4	x=7	x=9
q_016	連立方程式 x+y=7、x-y=1 の解はどれですか。	x=4、y=3	2式を加えると2x=8です。	3	x=3、y=4	x=6、y=1	x=7、y=0	x=4、y=3
q_017	yがxに比例し、x=3のときy=12です。比例定数はどれですか。	4	y=axに代入すると12=3aです。	0	4	3	9	36
q_018	y=5xでx=-2のとき、yはいくつですか。	-10	5×(-2)=-10です。	1	10	-10	-7	3
q_019	yがxに反比例し、xy=18です。x=6のときyはいくつですか。	3	反比例では積xyが一定です。	2	12	24	3	108
q_020	一次関数 y=2x+3 の傾きはどれですか。	2	xの係数が傾きです。	3	3	5	-2	2
q_021	一次関数 y=-x+4 の切片はどれですか。	4	定数項がy切片です。	0	4	-1	1	-4
q_022	点(0,2)を通り傾き3の直線の式はどれですか。	y=3x+2	傾き3、y切片2です。	1	y=2x+3	y=3x+2	y=3x-2	y=x+2
q_023	三角形の内角の和は何度ですか。	180度	三角形の内角の和は180度です。	2	90度	270度	180度	360度
q_024	四角形の内角の和は何度ですか。	360度	四角形は三角形2つに分けられます。	3	180度	270度	540度	360度
q_025	二等辺三角形で等しい2辺に向かい合う角の関係はどれですか。	大きさが等しい	底角は等しくなります。	0	大きさが等しい	和が90度	一方が他方の2倍	必ず直角
q_026	平行線に1本の直線が交わるとき、錯角の関係はどれですか。	大きさが等しい	平行線の錯角は等しいです。	1	和が180度	大きさが等しい	一方が必ず鋭角	関係しない
q_027	合同な図形について正しいものはどれですか。	形も大きさも同じ	重ね合わせると一致します。	2	面積だけ同じ	形だけ同じ	形も大きさも同じ	周の長さだけ同じ
q_028	相似な図形について正しいものはどれですか。	対応する角が等しく辺の比が一定	形が同じで大きさは問わない関係です。	3	必ず面積が等しい	必ず合同である	対応する辺がすべて等しい	対応する角が等しく辺の比が一定
q_029	直角三角形の2辺が3、4で斜辺が未知です。斜辺はどれですか。	5	三平方の定理で3²+4²=5²です。	0	5	6	7	12
q_030	半径3cmの円の面積はどれですか。	9πcm²	円の面積はπr²です。	1	3πcm²	9πcm²	6πcm²	18πcm²
q_031	直径10cmの円の円周はどれですか。	10πcm	円周は直径×πです。	2	5πcm	20πcm	10πcm	100πcm
q_032	底辺8cm、高さ5cmの三角形の面積はどれですか。	20cm²	8×5÷2=20です。	3	13cm²	40cm²	80cm²	20cm²
q_033	縦4cm、横7cmの長方形の面積はどれですか。	28cm²	4×7=28です。	0	28cm²	11cm²	22cm²	56cm²
q_034	縦2cm、横3cm、高さ4cmの直方体の体積はどれですか。	24cm³	2×3×4=24です。	1	9cm³	24cm³	12cm³	18cm³
