# set_id=classical_japanese_vocabulary_v1
# title=古文単語
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	古文の「あはれなり」の基本的な意味はどれですか。	しみじみと心を動かされる	「あはれなり」は、しみじみとした感動を表します。	0	しみじみと心を動かされる	腹立たしい	騒がしい	疑わしい
q_002	古文の「をかし」の基本的な意味はどれですか。	趣がある・興味深い	「をかし」は、趣や面白さ、美しさを感じる心を表します。	1	悲しい	趣がある・興味深い	恐ろしい	退屈だ
q_003	「いみじううれし」の「いみじ」の意味はどれですか。	たいそう・非常に	この文脈の「いみじ」は程度が甚だしいことを表します。	2	少し	意外に	たいそう・非常に	めったに
q_004	古文の「ありがたし」の基本的な意味はどれですか。	めったにない	「有り難し」は、存在することが難しいほど珍しいという意味です。	3	感謝したい	価値が低い	簡単である	めったにない
q_005	古文の「めでたし」の意味に最も近いものはどれですか。	すばらしい	「めでたし」は、立派だ、すばらしいという意味です。	0	すばらしい	おめでたい性格だ	悲しい	不思議だ
q_006	古文で幼い子を「うつくし」と言うときの意味はどれですか。	かわいらしい	古文の「うつくし」は、小さいものへの愛情を表すことがあります。	1	美しく着飾っている	かわいらしい	大人びている	元気がない
q_007	古文の「かなし」の意味に最も近いものはどれですか。	いとしい・かわいい	古文の「かなし」は、愛情を感じていとしいという意味があります。	2	残念だ	苦しい	いとしい・かわいい	腹立たしい
q_008	古文で「おとなしき人」とあるときの意味はどれですか。	大人びている・分別がある	「おとなし」は成人らしい、思慮分別があるという意味です。	3	無口な人	音がしない人	従順な人	大人びている・分別がある
q_009	古文の「なつかし」の意味に最も近いものはどれですか。	心が引かれる・親しみやすい	古文では、相手に心が引かれて近づきたい気持ちを表します。	0	心が引かれる・親しみやすい	昔を思い出す	見慣れて飽きる	遠ざけたい
q_010	古文の「ゆかし」の意味はどれですか。	見たい・知りたい	「ゆかし」は、心が引かれて見聞きしたいという意味です。	1	行きたくない	見たい・知りたい	床が欲しい	恥ずかしい
q_011	古文の「おぼつかなし」の意味に最も近いものはどれですか。	はっきりせず不安だ	事情が分からず、気がかりな状態を表します。	2	頼もしい	疑う余地がない	はっきりせず不安だ	満足している
q_012	古文の「こころもとなし」の意味に最も近いものはどれですか。	不安だ・待ち遠しい	頼りなく気がかりな気持ちや、じれったさを表します。	3	心強い	気楽だ	満ち足りている	不安だ・待ち遠しい
q_013	古文の「あやし」の意味として適切なものはどれですか。	不思議だ・身分が低い	「あやし」には不思議だ、粗末だ、身分が低いなどの意味があります。	0	不思議だ・身分が低い	立派だ・高貴だ	明るい・楽しい	素早い・鋭い
