# set_id=japan_geography_basics_v1
# title=日本地理の基礎
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	日本の国土を構成する4つの主な島のうち、最も面積が大きい島はどれですか。	本州	本州は日本の4つの主な島で最大です。	0	本州	北海道	九州	四国
q_002	日本の4つの主な島のうち、最も北にある島はどれですか。	北海道	北海道は4つの主な島の最北にあります。	1	本州	北海道	四国	九州
q_003	日本の4つの主な島のうち、最も面積が小さい島はどれですか。	四国	四国は4つの主な島で最小です。	2	九州	北海道	四国	本州
q_004	本州の南西側に位置し、福岡県や鹿児島県がある島はどれですか。	九州	福岡県や鹿児島県は九州にあります。	3	北海道	本州	四国	九州
q_005	日本の都道府県の数はいくつですか。	47	日本には1都1道2府43県、合計47都道府県があります。	0	47	43	45	48
q_006	日本を北海道・東北・関東などに分ける一般的な地方区分はいくつですか。	8地方	一般に、北海道から九州まで8地方に区分します。	1	7地方	8地方	9地方	10地方
q_007	関東地方の中央部に広がる日本最大の平野はどれですか。	関東平野	関東平野は日本で最も広い平野です。	2	石狩平野	濃尾平野	関東平野	筑紫平野
q_008	日本で最も標高が高い山はどれですか。	富士山	富士山は標高3776メートルで日本最高峰です。	3	北岳	奥穂高岳	立山	富士山
q_009	日本で最も長い川はどれですか。	信濃川	信濃川は長さ約367キロメートルで日本最長です。	0	信濃川	利根川	石狩川	北上川
q_010	日本で最も面積が大きい湖はどれですか。	琵琶湖	滋賀県の琵琶湖は日本最大の湖です。	1	霞ヶ浦	琵琶湖	サロマ湖	猪苗代湖
q_011	河川が山地から平地へ出る所に土砂が扇形にたまってできる地形はどれですか。	扇状地	扇状地は川が運んだ土砂が扇形に堆積した地形です。	2	三角州	リアス海岸	扇状地	カルデラ
q_012	河口付近に細かい土砂がたまってできる低く平らな地形はどれですか。	三角州	三角州は河口付近に土砂が堆積してできます。	3	台地	盆地	扇状地	三角州
q_013	東北地方の太平洋側に夏の冷害をもたらすことがある冷たく湿った風は何ですか。	やませ	やませは東北地方の太平洋側へ吹く冷たい北東風です。	0	やませ	からっ風	フェーン	春一番
q_014	年間を通して降水量が比較的少ないことで知られる気候はどれですか。	瀬戸内の気候	瀬戸内地方は山地に囲まれ、比較的雨が少ない気候です。	1	日本海側の気候	瀬戸内の気候	南西諸島の気候	北海道の気候
q_015	冬に雪や雨の日が多いという特徴をもつ地域はどれですか。	日本海側	冬の季節風が日本海で水蒸気を含み、日本海側に雪や雨をもたらします。	2	瀬戸内側	太平洋側	日本海側	内陸部
q_016	冬の日本海側に大雪をもたらす主な風はどれですか。	北西の季節風	大陸からの北西の季節風が日本海で水蒸気を含み、雪を降らせます。	3	南東の貿易風	偏西風だけ	海風	北西の季節風
q_017	山を越えた空気が乾燥して高温になる現象はどれですか。	フェーン現象	湿った空気が山を越える際に雨を降らせ、風下で乾燥・昇温する現象です。	0	フェーン現象	放射冷却	海陸風	逆転層
q_018	水田が稲作に適している主な理由はどれですか。	水をためて管理しやすい	水田は水を張り、水量を調節しながら稲を育てられます。	1	常に乾燥している	水をためて管理しやすい	傾斜が急である	塩分が多い
