# set_id=adult_showa20s_woman_nostalgia_v2
# title=昭和20年代生まれ女性の青春時代クイズ（思い出編）
# version=2
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	発表後にアメリカでも「SUKIYAKI」の名でヒットしたことで知られる「上を向いて歩こう」を歌った歌手は誰か。	坂本九/上を向いて歩こう	「上を向いて歩こう」は坂本九が歌い、アメリカのヒットチャートでも1位となった曲である。\n【A】✓この曲を歌いヒットさせた歌手。\n【B】「高校三年生」などで知られる歌手。\n【C】「潮来笠」などで知られる歌手。\n【D】「君だけを」などで知られる歌手。	0	坂本九	舟木一夫	橋幸夫	西郷輝彦
q_002	柔道をテーマにした歌詞で闘志を歌い上げ、日本レコード大賞を受賞した美空ひばりの代表曲は次のうちどれか。	美空ひばり/柔	「柔」は柔道をテーマにした歌詞が印象的な美空ひばりの代表曲で、日本レコード大賞を受賞した。\n【A】美空ひばりの別のヒット曲。\n【B】✓柔道をテーマにした美空ひばりの代表曲。\n【C】美空ひばりの陽気なヒット曲。\n【D】美空ひばりの叙情的なヒット曲。	1	悲しい酒	柔	お祭りマンボ	リンゴ追分
q_003	エキゾチックなメロディーが印象的で、南国ムードあふれる「恋のバカンス」を歌った双子デュオは誰か。	ザ・ピーナッツ/恋のバカンス	「恋のバカンス」は双子デュオのザ・ピーナッツが歌ってヒットした曲である。\n【A】ソロで活動した歌手。\n【B】演歌を中心に活動した姉妹デュオ。\n【C】✓この曲を歌った双子デュオ。\n【D】グループ・サウンズのバンド。	2	伊東ゆかり	こまどり姉妹	ザ・ピーナッツ	ザ・タイガース
q_004	曲中の「しあわせだなァ」というセリフでも親しまれた「君といつまでも」を歌ったのは誰か。	加山雄三/君といつまでも	「君といつまでも」は加山雄三が歌ったヒット曲で、曲中のせりふ部分でも広く親しまれた。\n【A】「高校三年生」などで知られる歌手。\n【B】「潮来笠」などで知られる歌手。\n【C】「君だけを」などで知られる歌手。\n【D】✓この曲とセリフで知られる歌手。	3	舟木一夫	橋幸夫	西郷輝彦	加山雄三
q_005	伊豆大島の椿を歌に詠み込んだ「アンコ椿は恋の花」のヒットで知られる演歌歌手は誰か。	都はるみ/アンコ椿は恋の花	「アンコ椿は恋の花」は都はるみが歌った演歌のヒット曲で、伊豆大島を舞台にしている。\n【A】✓この曲を歌った演歌歌手。\n【B】「東京だョおっ母さん」などで知られる歌手。\n【C】多くの代表曲を持つ大御所歌手。\n【D】「津軽海峡・冬景色」などで知られる歌手。	0	都はるみ	島倉千代子	美空ひばり	石川さゆり
q_006	学生たちに愛唱され、青春フォークソングの先駆けとなった「この広い野原いっぱい」を歌ったのは誰か。	森山良子/この広い野原いっぱい	「この広い野原いっぱい」は森山良子が歌ったフォークソングのヒット曲である。\n【A】「バラが咲いた」で知られるフォーク歌手。\n【B】✓この曲を歌ったフォーク歌手。\n【C】「帰って来たヨッパライ」などで知られるグループ。\n【D】「風」などで知られるグループ。	1	マイク真木	森山良子	フォーク・クルセダーズ	はしだのりひことシューベルツ
q_007	軽快なリズムで一世を風靡した「恋の季節」を歌ったグループは次のうちどれか。	ピンキーとキラーズ/恋の季節	「恋の季節」は今陽子をボーカルとするピンキーとキラーズが歌い、大ヒットした曲である。\n【A】双子デュオのグループ。\n【B】グループ・サウンズのバンド。\n【C】✓この曲を歌ったグループ。\n【D】「恋」などで知られる歌手。	2	ザ・ピーナッツ	ザ・スパイダース	ピンキーとキラーズ	布施明
q_008	寺山修司が作詞したことでも知られる、もの悲しいメロディーの「時には母のない子のように」を歌ったのは誰か。	カルメン・マキ/時には母のない子のように	「時には母のない子のように」はカルメン・マキが歌い、寺山修司が作詞したことでも知られる曲である。\n【A】ロックバンドのボーカルとして知られる歌手。\n【B】「私は泣いています」などで知られる歌手。\n【C】「ダンシング・オールナイト」で知られる歌手。\n【D】✓この曲を歌った歌手。	3	矢沢永吉	りりィ	もんたよしのり	カルメン・マキ
q_009	四畳半フォークの代表曲として知られ、若い恋人たちの慎ましい暮らしを描いた「神田川」を歌ったのは誰か。	かぐや姫/神田川	「神田川」は南こうせつが在籍したかぐや姫が歌い、大ヒットしたフォークソングである。\n【A】✓この曲を歌ったフォークグループ。\n【B】「心の旅」などで知られるグループ。\n【C】「さよなら」などで知られるグループ。\n【D】「翼をください」などで知られるグループ。	0	かぐや姫	チューリップ	オフコース	赤い鳥
q_010	「ひこうき雲」でデビューし、結婚後に姓が変わったことでも知られるシンガーソングライターは誰か。	荒井由実/ひこうき雲	「ひこうき雲」は荒井由実（後の松任谷由実）のデビュー曲であり、代表曲の一つである。\n【A】「わかれうた」などで知られる歌手。\n【B】✓この曲でデビューした歌手。\n【C】「元気を出して」などで知られる歌手。\n【D】「ひとつだけ」などで知られる歌手。	1	中島みゆき	荒井由実	竹内まりや	矢野顕子
q_011	「春一番」などのヒットで知られ、解散後も伝説的な人気を誇る3人組アイドルグループは次のうちどれか。	キャンディーズ/春一番	「春一番」は3人組アイドルグループのキャンディーズが歌ったヒット曲である。\n【A】「ひまわり娘」などで知られる歌手。\n【B】「ひなげしの花」などで知られる歌手。\n【C】✓この曲を歌った3人組グループ。\n【D】「UFO」などで知られる2人組グループ。	2	伊藤咲子	アグネス・チャン	キャンディーズ	ピンク・レディー
q_012	独特の振り付けとともに大流行し、日本レコード大賞を受賞した「UFO」を歌った2人組アイドルは次のうちどれか。	ピンク・レディー/UFO	「UFO」はピンク・レディーが歌い、日本レコード大賞を受賞した曲である。\n【A】「春一番」などで知られる3人組グループ。\n【B】「ひなげしの花」などで知られる歌手。\n【C】1980年代半ばに活動したグループ。\n【D】✓この曲を歌った2人組グループ。	3	キャンディーズ	アグネス・チャン	おニャン子クラブ	ピンク・レディー
q_013	さだまさしが作詞作曲し、山口百恵が歌って親子の情愛を描いた曲は次のうちどれか。	山口百恵/秋桜	「秋桜」はさだまさしが作詞作曲し、山口百恵が歌ってヒットした曲である。\n【A】✓この曲の題名。\n【B】松田聖子のヒット曲。\n【C】薬師丸ひろ子のヒット曲。\n【D】太田裕美のヒット曲。	0	秋桜	赤いスイートピー	セーラー服と機関銃	木綿のハンカチーフ
q_014	「関白宣言」のユニークな歌詞で話題となったシンガーソングライターは誰か。	さだまさし/関白宣言	「関白宣言」はさだまさしがソロで発表し、話題となった曲である。\n【A】「乾杯」などで知られる歌手。\n【B】✓この曲を歌った歌手。\n【C】「わかって下さい」などで知られる歌手。\n【D】「贈る言葉」などで知られるグループ。	1	長渕剛	さだまさし	因幡晃	海援隊
q_015	力強い歌声で数々の名曲を生み出し、「わかれうた」などのヒットで知られる歌手は誰か。	中島みゆき/わかれうた	「わかれうた」は中島みゆきが歌い、オリコンチャートで1位を記録したヒット曲である。\n【A】「ひこうき雲」などで知られる歌手。\n【B】「元気を出して」などで知られる歌手。\n【C】✓この曲を歌った歌手。\n【D】「私は泣いています」などで知られる歌手。	2	荒井由実	竹内まりや	中島みゆき	りりィ
