# set_id=japanese_history_people_events_v1
# title=日本史の人物と出来事
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	中国の歴史書『魏志』倭人伝に、邪馬台国の女王として記された人物は誰ですか。	卑弥呼	卑弥呼は邪馬台国を治め、魏に使いを送りました。	0	卑弥呼	推古天皇	持統天皇	額田王
q_002	冠位十二階や十七条の憲法の制定に関わった人物は誰ですか。	聖徳太子	聖徳太子は推古天皇のもとで政治制度を整えました。	1	蘇我馬子	聖徳太子	中大兄皇子	大海人皇子
q_003	中大兄皇子と中臣鎌足が蘇我氏を倒した後に始めた政治改革は何ですか。	大化の改新	645年の政変をきっかけに大化の改新が進められました。	2	建武の新政	享保の改革	大化の改新	明治維新
q_004	710年に都が置かれた場所はどこですか。	平城京	710年、現在の奈良市付近に平城京が置かれました。	3	藤原京	長岡京	平安京	平城京
q_005	国分寺・国分尼寺を各地に建て、東大寺の大仏造立を進めた天皇は誰ですか。	聖武天皇	聖武天皇は仏教の力で国を安定させようとしました。	0	聖武天皇	桓武天皇	天武天皇	後醍醐天皇
q_006	真言宗を日本に広め、高野山に金剛峯寺を開いた人物は誰ですか。	空海	空海は唐で学び、真言宗を広めました。	1	最澄	空海	法然	親鸞
q_007	遣唐使の停止を提案した人物は誰ですか。	菅原道真	菅原道真は894年に遣唐使の停止を提案しました。	2	藤原道長	平清盛	菅原道真	源頼朝
q_008	『源氏物語』を書いた人物は誰ですか。	紫式部	紫式部は平安時代の女房で、『源氏物語』の作者です。	3	清少納言	和泉式部	紀貫之	紫式部
q_009	『枕草子』を書いた人物は誰ですか。	清少納言	清少納言は宮中生活や自然を随筆『枕草子』に記しました。	0	清少納言	紫式部	小野小町	赤染衛門
q_010	摂関政治の最盛期を築いた藤原氏の人物は誰ですか。	藤原道長	藤原道長は娘を天皇の后にして権力を強めました。	1	藤原不比等	藤原道長	藤原頼通	藤原定家
q_011	武士として初めて太政大臣となり、日宋貿易を進めた人物は誰ですか。	平清盛	平清盛は大輪田泊を整え、宋との貿易を進めました。	2	源義経	源頼朝	平清盛	北条時政
q_012	鎌倉幕府を開いた人物は誰ですか。	源頼朝	源頼朝は鎌倉を本拠として武家政権を築きました。	3	源義経	平清盛	足利尊氏	源頼朝
q_013	鎌倉幕府で将軍を補佐し、実権を握った役職は何ですか。	執権	執権は北条氏が代々就き、幕府政治を主導しました。	0	執権	関白	管領	老中
q_014	元寇のときに鎌倉幕府の執権だった人物は誰ですか。	北条時宗	北条時宗は文永の役と弘安の役への対応を指揮しました。	1	北条政子	北条時宗	北条泰時	北条早雲
q_015	鎌倉幕府の滅亡後、天皇中心の建武の新政を始めた人物は誰ですか。	後醍醐天皇	後醍醐天皇は武家政権に代わる天皇中心の政治を目指しました。	2	後白河法皇	後鳥羽上皇	後醍醐天皇	後水尾天皇
q_016	室町幕府を開いた人物は誰ですか。	足利尊氏	足利尊氏は京都に武家政権を築きました。	3	足利義満	新田義貞	楠木正成	足利尊氏
q_017	金閣を建て、明との勘合貿易を始めた室町幕府の将軍は誰ですか。	足利義満	3代将軍の足利義満は南北朝を統一し、明と貿易しました。	0	足利義満	足利義政	足利尊氏	足利義昭
q_018	1467年に始まり、京都を中心に長く続いた戦乱は何ですか。	応仁の乱	応仁の乱をきっかけに戦国時代へ移っていきました。	1	承久の乱	応仁の乱	壬申の乱	島原・天草一揆
q_019	市場の税や特権を廃止する楽市・楽座を進めた人物は誰ですか。	織田信長	織田信長は商工業を活発にするため楽市・楽座を進めました。	2	徳川家康	豊臣秀吉	織田信長	武田信玄
q_020	刀狩を行い、兵農分離を進めた人物は誰ですか。	豊臣秀吉	豊臣秀吉は農民から武器を取り上げ、身分分離を進めました。	3	明智光秀	織田信長	徳川家康	豊臣秀吉
q_021	関ヶ原の戦いで東軍を率いた人物は誰ですか。	徳川家康	徳川家康が率いる東軍が石田三成らの西軍に勝利しました。	0	徳川家康	石田三成	上杉景勝	毛利輝元
q_022	1603年に征夷大将軍となり、江戸幕府を開いた人物は誰ですか。	徳川家康	徳川家康は江戸に幕府を開きました。	1	徳川秀忠	徳川家康	徳川家光	徳川慶喜
q_023	大名を1年おきに江戸と領地に住まわせる参勤交代を制度化した将軍は誰ですか。	徳川家光	徳川家光は武家諸法度で参勤交代を制度化しました。	2	徳川吉宗	徳川綱吉	徳川家光	徳川家康
q_024	江戸時代、オランダ商館が置かれた長崎の人工島はどこですか。	出島	鎖国下でも出島を通してオランダとの貿易が行われました。	3	種子島	佐渡島	平戸島	出島
q_025	享保の改革を行った江戸幕府8代将軍は誰ですか。	徳川吉宗	徳川吉宗は幕府財政の立て直しを目指しました。	0	徳川吉宗	徳川家斉	徳川綱吉	徳川家光
q_026	商業を重視し、株仲間を奨励した老中は誰ですか。	田沼意次	田沼意次は商人の力を利用して幕府収入を増やそうとしました。	1	松平定信	田沼意次	水野忠邦	阿部正弘
q_027	寛政の改革を行った老中は誰ですか。	松平定信	松平定信は倹約や学問統制などを進めました。	2	田沼意次	水野忠邦	松平定信	井伊直弼
q_028	日本全国を測量し、精密な日本地図を作った人物は誰ですか。	伊能忠敬	伊能忠敬は徒歩で各地を測量し、大日本沿海輿地全図の基礎を作りました。	3	杉田玄白	平賀源内	本居宣長	伊能忠敬
q_029	1853年、浦賀に来航して日本に開国を求めたアメリカの人物は誰ですか。	ペリー	アメリカ東インド艦隊司令長官ペリーが軍艦を率いて来航しました。	0	ペリー	ハリス	プチャーチン	モース
q_030	1854年、日本がアメリカと結び、下田・函館を開いた条約は何ですか。	日米和親条約	日米和親条約により日本の鎖国体制は終わりへ向かいました。	1	日米修好通商条約	日米和親条約	下関条約	ポーツマス条約
