# set_id=japanese_literature_authors_v1
# title=文学作品と作者
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	「清少納言」の作品はどれですか。	枕草子	「枕草子」の作者は清少納言です。	0	枕草子	おくのほそ道	浮雲	坊っちゃん
q_002	「源氏物語」の作者は誰ですか。	源氏物語	「源氏物語」の作者は紫式部です。	1	井原西鶴	紫式部	坪内逍遥	森鷗外
q_003	「紀貫之」の作品はどれですか。	土佐日記	「土佐日記」の作者は紀貫之です。	2	曽根崎心中	たけくらべ	土佐日記	破戒
q_004	「更級日記」の作者は誰ですか。	更級日記	「更級日記」の作者は菅原孝標女です。	3	上田秋成	幸田露伴	田山花袋	菅原孝標女
q_005	「藤原道綱母」の作品はどれですか。	蜻蛉日記	「蜻蛉日記」の作者は藤原道綱母です。	0	蜻蛉日記	東海道中膝栗毛	金色夜叉	野菊の墓
q_006	「方丈記」の作者は誰ですか。	方丈記	「方丈記」の作者は鴨長明です。	1	滝沢馬琴	鴨長明	国木田独歩	石川啄木
q_007	「吉田兼好」の作品はどれですか。	徒然草	「徒然草」の作者は吉田兼好です。	2	学問のすゝめ	高野聖	徒然草	みだれ髪
q_008	「おくのほそ道」の作者は誰ですか。	おくのほそ道	「おくのほそ道」の作者は松尾芭蕉です。	3	二葉亭四迷	夏目漱石	萩原朔太郎	松尾芭蕉
q_009	「井原西鶴」の作品はどれですか。	好色一代男	「好色一代男」の作者は井原西鶴です。	0	好色一代男	当世書生気質	舞姫	智恵子抄
q_010	「曽根崎心中」の作者は誰ですか。	曽根崎心中	「曽根崎心中」の作者は近松門左衛門です。	1	樋口一葉	近松門左衛門	島崎藤村	中原中也
q_011	「上田秋成」の作品はどれですか。	雨月物語	「雨月物語」の作者は上田秋成です。	2	五重塔	蒲団	雨月物語	羅生門
q_012	「東海道中膝栗毛」の作者は誰ですか。	東海道中膝栗毛	「東海道中膝栗毛」の作者は十返舎一九です。	3	尾崎紅葉	伊藤左千夫	宮沢賢治	十返舎一九
q_013	「滝沢馬琴」の作品はどれですか。	南総里見八犬伝	「南総里見八犬伝」の作者は滝沢馬琴です。	0	南総里見八犬伝	武蔵野	一握の砂	走れメロス
q_014	「学問のすゝめ」の作者は誰ですか。	学問のすゝめ	「学問のすゝめ」の作者は福沢諭吉です。	1	泉鏡花	福沢諭吉	与謝野晶子	中島敦
q_015	「二葉亭四迷」の作品はどれですか。	浮雲	「浮雲」の作者は二葉亭四迷です。	2	坊っちゃん	月に吠える	浮雲	檸檬
q_016	「当世書生気質」の作者は誰ですか。	当世書生気質	「当世書生気質」の作者は坪内逍遥です。	3	森鷗外	高村光太郎	川端康成	坪内逍遥
q_017	「樋口一葉」の作品はどれですか。	たけくらべ	「たけくらべ」の作者は樋口一葉です。	0	たけくらべ	破戒	山羊の歌	細雪
q_018	「五重塔」の作者は誰ですか。	五重塔	「五重塔」の作者は幸田露伴です。	1	田山花袋	幸田露伴	芥川龍之介	小林多喜二
q_019	「尾崎紅葉」の作品はどれですか。	金色夜叉	「金色夜叉」の作者は尾崎紅葉です。	2	野菊の墓	銀河鉄道の夜	金色夜叉	黒い雨
q_020	「武蔵野」の作者は誰ですか。	武蔵野	「武蔵野」の作者は国木田独歩です。	3	石川啄木	太宰治	堀辰雄	国木田独歩
q_021	「泉鏡花」の作品はどれですか。	高野聖	「高野聖」の作者は泉鏡花です。	0	高野聖	みだれ髪	山月記	潮騒
q_022	「坊っちゃん」の作者は誰ですか。	坊っちゃん	「坊っちゃん」の作者は夏目漱石です。	1	萩原朔太郎	夏目漱石	梶井基次郎	安部公房
q_023	「森鷗外」の作品はどれですか。	舞姫	「舞姫」の作者は森鷗外です。	2	智恵子抄	伊豆の踊子	舞姫	二十四の瞳
q_024	「破戒」の作者は誰ですか。	破戒	「破戒」の作者は島崎藤村です。	3	中原中也	谷崎潤一郎	林芙美子	島崎藤村
q_025	「田山花袋」の作品はどれですか。	蒲団	「蒲団」の作者は田山花袋です。	0	蒲団	羅生門	蟹工船	恩讐の彼方に
q_026	「野菊の墓」の作者は誰ですか。	野菊の墓	「野菊の墓」の作者は伊藤左千夫です。	1	宮沢賢治	伊藤左千夫	井伏鱒二	織田作之助
q_027	「石川啄木」の作品はどれですか。	一握の砂	「一握の砂」の作者は石川啄木です。	2	走れメロス	風立ちぬ	一握の砂	女坂
q_028	「みだれ髪」の作者は誰ですか。	みだれ髪	「みだれ髪」の作者は与謝野晶子です。	3	中島敦	三島由紀夫	俵万智	与謝野晶子
q_029	「萩原朔太郎」の作品はどれですか。	月に吠える	「月に吠える」の作者は萩原朔太郎です。	0	月に吠える	檸檬	砂の女	沈黙
q_030	「智恵子抄」の作者は誰ですか。	智恵子抄	「智恵子抄」の作者は高村光太郎です。	1	川端康成	高村光太郎	壺井栄	清少納言
q_031	「中原中也」の作品はどれですか。	山羊の歌	「山羊の歌」の作者は中原中也です。	2	細雪	放浪記	山羊の歌	源氏物語
q_032	「羅生門」の作者は誰ですか。	羅生門	「羅生門」の作者は芥川龍之介です。	3	小林多喜二	菊池寛	紀貫之	芥川龍之介
q_033	「宮沢賢治」の作品はどれですか。	銀河鉄道の夜	「銀河鉄道の夜」の作者は宮沢賢治です。	0	銀河鉄道の夜	黒い雨	夫婦善哉	更級日記
