# set_id=information_security_basics_v1
# title=情報セキュリティ基礎
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	許可された人だけが情報へアクセスできる性質はどれですか。	機密性	機密性は情報の不正な開示や閲覧を防ぐ性質です。	0	機密性	完全性	可用性	真正性
q_002	情報が不正に書き換えられておらず、正確である性質はどれですか。	完全性	完全性は情報が正しく完全な状態に保たれる性質です。	1	機密性	完全性	可用性	責任追跡性
q_003	必要なときに情報やシステムを利用できる性質はどれですか。	可用性	可用性は停止や障害を抑え、利用可能な状態を保つ性質です。	2	機密性	完全性	可用性	否認防止
q_004	利用者が本人であることを確かめる手続はどれですか。	認証	認証はID・パスワードなどで本人性を確認します。	3	暗号化	認可	監査	認証
q_005	認証済みの利用者に、許された操作だけを認めることはどれですか。	認可	認可は利用者ごとにアクセス権限を決めます。	0	認可	認証	識別	暗号化
q_006	知識・所持・生体など異なる種類の要素を二つ以上組み合わせる認証はどれですか。	多要素認証	パスワードと認証アプリなど、異なる要素の組合せが多要素認証です。	1	シングルサインオン	多要素認証	単一要素認証	共通鍵認証
q_007	指紋や顔など身体的特徴を使う認証はどれですか。	生体認証	生体認証は本人固有の身体・行動特徴を利用します。	2	所持認証	知識認証	生体認証	代理認証
q_008	安全なパスワードの作り方として最も適切なものはどれですか。	長く推測しにくい固有のパスフレーズを使う	長く、サービスごとに異なる文字列は推測・使い回し攻撃に強くなります。	3	誕生日だけを使う	全サービスで同じものを使う	短い辞書語だけを使う	長く推測しにくい固有のパスフレーズを使う
q_009	多数のサービスで異なる強いパスワードを管理する方法として適切なものはどれですか。	信頼できるパスワードマネージャーを使う	パスワードマネージャーは固有の長いパスワードの生成・保存を助けます。	0	信頼できるパスワードマネージャーを使う	付箋をモニターに貼る	同じ短いパスワードに統一する	平文で公開フォルダーに保存する
q_010	漏えいしたIDとパスワードの組合せを別サービスでも試す攻撃はどれですか。	パスワードリスト攻撃	パスワードの使い回しを狙う攻撃です。	1	総当たり攻撃	パスワードリスト攻撃	辞書攻撃	中間者攻撃
q_011	文字の組合せを機械的に次々試してパスワードを破ろうとする攻撃はどれですか。	総当たり攻撃	候補を網羅的に試す攻撃をブルートフォース攻撃ともいいます。	2	フィッシング	パスワードリスト攻撃	総当たり攻撃	標的型メール
q_012	実在する組織を装った偽メールや偽サイトで情報を盗む手口はどれですか。	フィッシング	フィッシングは利用者をだまして認証情報などを入力させます。	3	スパム	バックアップ	アップデート	フィッシング
q_013	SMSのメッセージを使って偽サイトへ誘導する手口はどれですか。	スミッシング	SMSとフィッシングを組み合わせた呼び名です。	0	スミッシング	ビッシング	ファーミング	スニッフィング
q_014	人の心理や信頼を悪用して秘密情報を聞き出す手法はどれですか。	ソーシャルエンジニアリング	技術的侵入だけでなく、人をだまして情報を得る攻撃です。	1	リバースエンジニアリング	ソーシャルエンジニアリング	データマイニング	ベンチマーキング
q_015	正規のプログラムを装い、利用者に実行させるマルウェアはどれですか。	トロイの木馬	トロイの木馬は有用そうなソフトを装って侵入します。	2	ワーム	コンピュータウイルス	トロイの木馬	ボットネット
q_016	他のファイルへ寄生せず、ネットワークなどを通じて自己増殖するマルウェアはどれですか。	ワーム	ワームは単独で動作し、自動的に感染を広げます。	3	ウイルス	トロイの木馬	スパイウェア	ワーム
q_017	ファイルを暗号化するなどして、復旧と引換えに金銭を要求するマルウェアはどれですか。	ランサムウェア	ランサムは身代金を意味します。	0	ランサムウェア	アドウェア	キーロガー	ワーム
q_018	利用者の操作や情報をひそかに収集するマルウェアはどれですか。	スパイウェア	スパイウェアは監視や情報窃取を目的とします。	1	ランサムウェア	スパイウェア	ファイアウォール	パッチ
q_019	ソフトウェアの設計・実装上の弱点を何といいますか。	脆弱性	脆弱性は攻撃に悪用され得るセキュリティ上の欠陥です。	2	脅威	資産	脆弱性	対策
q_020	発見された脆弱性を修正するために提供される更新プログラムはどれですか。	セキュリティパッチ	パッチを適用して既知の弱点を修正します。	3	バックアップ	ログ	ライセンス	セキュリティパッチ
q_021	修正策が広く提供される前に、未知または未修正の脆弱性を狙う攻撃はどれですか。	ゼロデイ攻撃	対策する猶予がほぼ0日という意味でゼロデイと呼ばれます。	0	ゼロデイ攻撃	サービス拒否攻撃	リプレイ攻撃	辞書攻撃
q_022	利用者へ業務に必要な最小限の権限だけを与える原則はどれですか。	最小権限の原則	侵害や誤操作が起きた際の影響範囲を抑えます。	1	職務分掌	最小権限の原則	可用性優先	権限共有
q_023	一人が申請と承認を両方できないよう役割を分ける考え方はどれですか。	職務分掌	複数人に役割を分け、不正や誤りを防ぎます。	2	最小権限	多要素認証	職務分掌	単一障害点
q_024	データを読めない形へ変換し、正しい鍵で元へ戻せるようにする技術はどれですか。	暗号化	暗号化は情報の機密性を守る基本技術です。	3	圧縮	符号化	ハッシュ化	暗号化
q_025	暗号化と復号に同じ鍵を使う方式はどれですか。	共通鍵暗号方式	共通鍵暗号は高速ですが、鍵の安全な共有が必要です。	0	共通鍵暗号方式	公開鍵暗号方式	ハッシュ関数	電子署名
q_026	暗号化と復号に異なる一対の鍵を使う方式はどれですか。	公開鍵暗号方式	公開鍵と秘密鍵を組み合わせて利用します。	1	共通鍵暗号方式	公開鍵暗号方式	換字式暗号	ハッシュ方式
q_027	入力データから固定長の値を計算し、元データへ戻す用途を想定しない技術はどれですか。	ハッシュ関数	ハッシュ値は改ざん検知やパスワード検証などに使われます。	2	暗号化	圧縮	ハッシュ関数	電子透かし
q_028	送信者の秘密鍵で署名を作成し、公開鍵で検証する仕組みはどれですか。	デジタル署名	デジタル署名は送信者の確認と改ざん検知に役立ちます。	3	共通鍵暗号	アクセス制御	バックアップ	デジタル署名
q_029	公開鍵が特定の組織やサイトのものだと第三者が証明する電子データはどれですか。	デジタル証明書	認証局が発行する証明書で公開鍵と主体を結び付けます。	0	デジタル証明書	Cookie	セッションID	チェックサム
q_030	Web通信を暗号化し、接続先の確認にも証明書を使う方式はどれですか。	HTTPS	HTTPSはHTTPをTLSで保護します。	1	HTTP	HTTPS	FTP	DNS
q_031	ネットワーク境界などで通信を規則に従って許可・遮断する仕組みはどれですか。	ファイアウォール	送信元・宛先・ポートなどの条件で通信を制御します。	2	無停電電源装置	ロードバランサー	ファイアウォール	バックアップ装置
q_032	Webアプリケーションへの代表的な攻撃を検知・遮断する仕組みはどれですか。	WAF	WAFはWeb Application Firewallの略です。	3	VPN	IDS	DNS	WAF
q_033	不審な通信を検知して管理者へ通知する仕組みはどれですか。	IDS	IDSはIntrusion Detection Systemの略です。	0	IDS	IPS	WAF	VPN
q_034	不審な通信を検知し、自動的に遮断する仕組みはどれですか。	IPS	IPSはIntrusion Prevention Systemの略です。	1	IDS	IPS	DNS	NTP
q_035	公衆回線上に暗号化された仮想的な専用経路を作る技術はどれですか。	VPN	VPNは離れた拠点や端末を安全に接続するために使われます。	2	LAN	VLAN	VPN	CDN
q_036	ネットワークを複数の区画に分け、侵入後の被害拡大を抑える対策はどれですか。	ネットワーク分割	重要度や役割ごとに分けて通信を制限します。	3	回線増速	全端末の直接接続	無線化	ネットワーク分割
q_037	バックアップの「3-2-1ルール」として適切なものはどれですか。	3個のコピーを2種類の媒体に置き、1個は別の場所に保管する	障害・災害・ランサムウェアなど異なるリスクに備える考え方です。	0	3個のコピーを2種類の媒体に置き、1個は別の場所に保管する	3年に1回だけ同じ端末へ保存する	2個を同じディスクに置き1個を削除する	3人で一つのパスワードを共有する
q_038	ランサムウェア対策で、バックアップを常時接続しないことが有効な理由はどれですか。	感染時にバックアップまで暗号化されるのを防ぐため	オフラインや分離されたコピーは攻撃の影響を受けにくくなります。	1	保存容量を必ず増やすため	感染時にバックアップまで暗号化されるのを防ぐため	ファイル名を短くするため	復元テストを不要にするため
q_039	バックアップが実際に使えることを確かめる最も適切な方法はどれですか。	定期的に復元テストを行う	保存しただけでは破損や手順不備に気づけないため、復元を試します。	2	毎回同じ名前で上書きする	容量だけを見る	定期的に復元テストを行う	バックアップを開かず保管する
