# set_id=driving_license_exam_basics_v1
# title=運転免許 学科試験の基礎
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	自動車を運転するとき、運転免許証について正しい行動はどれですか。	有効な運転免許証を携帯する	運転する車種に対応した有効な運転免許証を携帯する必要があります。	0	有効な運転免許証を携帯する	自宅に保管して写真だけを持つ	期限切れでも更新予定なら運転する	家族の免許証を借りる
q_002	発進前にシートベルトについて確認すべきことはどれですか。	運転者と同乗者が正しく着用していること	シートベルトは運転者だけでなく、原則として全ての座席で正しく着用します。	1	運転者だけが着用していること	運転者と同乗者が正しく着用していること	高速道路に入ってから着用すること	後部座席では外していること
q_003	6歳未満の幼児を自動車に乗せるときの基本はどれですか。	体格に合うチャイルドシートを使用する	6歳未満の幼児には、原則として体格に合ったチャイルドシートを使用します。	2	大人が抱きかかえる	後部座席に座らせるだけにする	体格に合うチャイルドシートを使用する	通常の座席ベルトだけを使う
q_004	運転前の日常点検として適切でないものはどれですか。	燃料計だけを見て他は確認しない	タイヤ、灯火類、ブレーキなど、走行の安全に関わる部分を確認します。	3	タイヤの状態を確認する	灯火類の点灯を確認する	ブレーキの効きに異常がないか確かめる	燃料計だけを見て他は確認しない
q_005	発進前にミラーを調整しても、目視確認が必要な主な理由はどれですか。	ミラーに映らない死角があるため	車の周囲にはミラーだけでは確認できない死角があります。	0	ミラーに映らない死角があるため	ミラーは走行中に使えないため	目視すれば合図が不要になるため	後方の車は必ず停止するため
q_006	酒を少量飲んだ後の運転について適切な判断はどれですか。	量にかかわらず運転しない	アルコールは判断力や反応を低下させるため、飲酒後は運転してはいけません。	1	短距離なら運転する	量にかかわらず運転しない	水を飲めばすぐ運転する	同乗者がいれば運転する
q_007	眠気を感じながら運転しているとき、最も適切な対応はどれですか。	安全な場所に止めて休憩する	眠気は判断や反応を鈍らせるため、安全な場所で休憩します。	2	窓を開けるだけで走り続ける	速度を上げて早く着く	安全な場所に止めて休憩する	前車に近づいて目印にする
q_008	走行中にスマートフォンへ着信があったときの適切な対応はどれですか。	安全な場所に停止してから操作する	走行中の手持ち操作や画面注視は危険なので、安全な場所に停止してから扱います。	3	片手で短時間だけ操作する	信号待ちに近づきながら操作する	同乗者が見ていれば自分も操作する	安全な場所に停止してから操作する
q_009	赤信号に対する基本的な行動はどれですか。	停止位置を越えずに停止する	赤信号では停止線など所定の停止位置を越えずに停止します。	0	停止位置を越えずに停止する	左右を確認すれば進む	速度を落とすだけで進む	後続車がいれば進む
q_010	黄色信号になったときの基本的な行動として正しいものはどれですか。	安全に停止できる場合は停止する	黄色信号では原則停止し、急停止となって危険な場合などを除いて進行しません。	1	必ず加速して通過する	安全に停止できる場合は停止する	歩行者がいなければ自由に進む	交差点内でも後退して停止線へ戻る
q_011	青信号で交差点へ進むときにも必要なことはどれですか。	周囲の安全を確認して進む	青信号でも交差点内の車や歩行者を確認し、安全に進める場合だけ進行します。	2	前車だけを見て進む	必ず最高速度まで加速する	周囲の安全を確認して進む	右左折車は確認しない
q_012	信号機の表示と警察官の手信号が異なる場合、従うべきものはどれですか。	警察官の手信号や指示	交通整理をしている警察官の手信号や指示に従います。	3	信号機だけ	前車の動き	自分の判断	警察官の手信号や指示
q_013	「一時停止」の標識がある交差点で必要な行動はどれですか。	停止線の直前で一時停止して安全確認する	停止線があるときはその直前で確実に停止し、左右などの安全を確認します。	0	停止線の直前で一時停止して安全確認する	徐行だけして通過する	後続車がいれば止まらない	警音器を鳴らして通過する
q_014	交通整理のない見通しの悪い交差点へ入るときの基本はどれですか。	徐行して安全を確かめる	見通しの悪い交差点では、優先道路を通行している場合などを除き徐行が必要です。	1	速度を保ったまま進む	徐行して安全を確かめる	中央線を越えて確認する	前照灯を消して進む
q_015	信号機のない踏切を通過するときの基本的な手順はどれですか。	踏切の直前で停止し、左右と音を確認する	踏切では直前で一時停止し、列車が来ないことを目と耳で確認します。	2	前車に続いて停止せず進む	窓を閉めて音を遮る	踏切の直前で停止し、左右と音を確認する	踏切内で変速する
q_016	踏切の向こう側が渋滞し、自車が踏切内に取り残されるおそれがある場合はどうしますか。	踏切の手前で待つ	踏切の先に十分な空間がないときは進入せず、手前で待ちます。	3	警音器を鳴らして進む	遮断機の近くまで進む	前車との間を詰める	踏切の手前で待つ
q_017	横断歩道に近づき、歩行者がいないことが明らかでない場合の運転はどれですか。	手前で停止できる速度に落とす	横断歩道の直前で停止できるような速度で進行します。	0	手前で停止できる速度に落とす	速度を保って通過する	歩道側へ寄って追い越す	警音器で歩行者を止める
q_018	横断歩道を渡ろうとしている歩行者がいる場合、どうしますか。	横断歩道の手前で一時停止して譲る	横断歩道では歩行者が優先であり、手前で一時停止して通行を妨げないようにします。	1	歩行者より先に通過する	横断歩道の手前で一時停止して譲る	中央線側へ避けて進む	徐行すれば歩行者の前を通れる
q_019	横断歩道の直前で停止している車の側方を通り、その前へ出ようとするときはどうしますか。	前方へ出る前に一時停止する	停止車両の陰に歩行者がいる可能性があるため、前へ出る前に一時停止します。	2	そのまま低速で通過する	警音器を鳴らして通過する	前方へ出る前に一時停止する	反対車線へ出て加速する
q_020	横断歩道とその手前30メートル以内で禁止されている行為はどれですか。	他の車の追越しや追抜き	歩行者の発見が遅れる危険があるため、横断歩道付近では追越しや追抜きが禁止されています。	3	方向指示器を出すこと	前照灯を点灯すること	速度を落とすこと	他の車の追越しや追抜き
q_021	交差点を左折するとき、特に優先して確認する対象はどれですか。	左側を通る歩行者や自転車	左折時は巻き込みを防ぐため、左側方の歩行者や自転車を十分確認します。	0	左側を通る歩行者や自転車	後方の遠い建物	対向車線の信号だけ	自車の速度計だけ
q_022	交差点を右折するときの基本として正しいものはどれですか。	対向する直進車や左折車の進行を妨げない	右折車は、対向する直進車や左折車の進行を妨げてはいけません。	1	右折車が常に最優先である	対向する直進車や左折車の進行を妨げない	対向車が来ても先に曲がる	交差点の外側を大回りする
q_023	日本の道路で自動車が通行する側は、原則としてどちらですか。	道路の左側	車両は原則として道路の中央から左側部分を通行します。	2	道路の中央	道路の右側	道路の左側	空いている側
q_024	進路変更をするときの適切な手順はどれですか。	合図を出し、ミラーと目視で安全確認してから移る	合図と安全確認を行い、他車の進行を妨げないように進路を変えます。	3	先に進路を変えてから合図する	ミラーだけを見て急に移る	合図だけで後方確認はしない	合図を出し、ミラーと目視で安全確認してから移る
q_025	安全な車間距離について正しい考え方はどれですか。	前車が急停止しても追突を避けられる距離を取る	速度や路面状態に応じ、前車が急停止しても安全に止まれる距離を保ちます。	0	前車が急停止しても追突を避けられる距離を取る	前車の番号が読める距離まで近づく	雨の日ほど距離を短くする	渋滞時以外は距離を取らない
q_026	最高速度が指定されている道路での運転として正しいものはどれですか。	指定速度を超えず、状況に応じてさらに減速する	最高速度以内でも、天候や見通しなどに応じた安全な速度で走ります。	1	指定速度なら常に安全である	指定速度を超えず、状況に応じてさらに減速する	追越し中は指定速度を超えてよい	空いていれば速度制限は適用されない
q_027	雨で路面がぬれているとき、乾燥時と比べて一般にどうなりますか。	制動距離が長くなりやすい	ぬれた路面ではタイヤが滑りやすく、停止までの距離が長くなりやすくなります。	2	制動距離が必ず半分になる	タイヤの摩擦が大きくなる	制動距離が長くなりやすい	車間距離を短くできる
