# set_id=pc_skills_basics_v1
# title=PC・パソコン操作の基礎
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	「コンピューターを構成する物理的な機器」に当てはまる用語はどれですか。	ハードウェア	ハードウェアは、コンピューターを構成する物理的な機器。	0	ハードウェア	フォルダー	ダブルクリック	名前を付けて保存
q_002	「ソフトウェア」の説明として正しいものはどれですか。	ソフトウェア	ソフトウェアは、コンピューターを動かすプログラムやデータ。	1	ファイル名の末尾で種類を示す部分	コンピューターを動かすプログラムやデータ	ボタンを押したままポインターを動かす操作	同じファイル名の内容を最新状態に更新する操作
q_003	次の説明に最も合うものはどれですか。「機器やアプリを管理する基本ソフトウェア」	OS	OSは、機器やアプリを管理する基本ソフトウェア。	2	パス	コピー	OS	削除
q_004	用語「CPU」が表す内容はどれですか。	CPU	CPUは、命令の実行や計算を行う主要な装置。	3	起動後に表示される基本の作業画面	選んだ内容を移動のため一時的に取り除く操作	削除したファイルを一時的に保管する場所	命令の実行や計算を行う主要な装置
q_005	「処理中のデータを一時的に置く記憶装置」に当てはまる用語はどれですか。	メモリ	メモリは、処理中のデータを一時的に置く記憶装置。	0	メモリ	ウィンドウ	貼り付け	検索
q_006	「ストレージ」の説明として正しいものはどれですか。	ストレージ	ストレージは、データを長期間保存する装置。	1	機能やファイルを図で表した小さな表示	データを長期間保存する装置	直前の操作を取り消して前の状態に戻す機能	複数のキーの組み合わせで機能を呼び出す操作
q_007	次の説明に最も合うものはどれですか。「名前を付けて保存されたデータのまとまり」	ファイル	ファイルは、名前を付けて保存されたデータのまとまり。	2	クリック	保存	ファイル	Ctrl+C
q_008	用語「フォルダー」が表す内容はどれですか。	フォルダー	フォルダーは、ファイルや別のフォルダーを整理して入れる場所。	3	マウスのボタンを素早く二回押す操作	保存場所やファイル名を指定して新たに保存する操作	コピーや切り取りした内容を貼り付ける代表的なキー操作	ファイルや別のフォルダーを整理して入れる場所
q_009	「ファイル名の末尾で種類を示す部分」に当てはまる用語はどれですか。	拡張子	拡張子は、ファイル名の末尾で種類を示す部分。	0	拡張子	ドラッグ	上書き保存	Ctrl+Z
q_010	「パス」の説明として正しいものはどれですか。	パス	パスは、ファイルやフォルダーの保存場所を示す文字列。	1	元を残したまま同じ内容を複製する操作	ファイルやフォルダーの保存場所を示す文字列	不要なファイルなどを取り除く操作	ウェブページを閲覧するためのソフトウェア
q_011	次の説明に最も合うものはどれですか。「起動後に表示される基本の作業画面」	デスクトップ	デスクトップは、起動後に表示される基本の作業画面。	2	切り取り	ごみ箱	デスクトップ	URL
q_012	用語「ウィンドウ」が表す内容はどれですか。	ウィンドウ	ウィンドウは、アプリや文書を表示する画面上の領域。	3	コピーや切り取りした内容を別の場所に置く操作	条件や語句を使ってファイルや情報を探す機能	一つのブラウザー画面で複数ページを切り替える仕組み	アプリや文書を表示する画面上の領域
q_013	「機能やファイルを図で表した小さな表示」に当てはまる用語はどれですか。	アイコン	アイコンは、機能やファイルを図で表した小さな表示。	0	アイコン	元に戻す	ショートカットキー	リンク
q_014	「クリック」の説明として正しいものはどれですか。	クリック	クリックは、マウスのボタンを一度押して離す操作。	1	編集中の内容を記憶装置に記録する操作	マウスのボタンを一度押して離す操作	選択した内容をコピーする代表的なキー操作	ネット上のデータを自分の端末へ受け取ること
q_015	次の説明に最も合うものはどれですか。「マウスのボタンを素早く二回押す操作」	ダブルクリック	ダブルクリックは、マウスのボタンを素早く二回押す操作。	2	名前を付けて保存	Ctrl+V	ダブルクリック	アップロード
q_016	用語「ドラッグ」が表す内容はどれですか。	ドラッグ	ドラッグは、ボタンを押したままポインターを動かす操作。	3	同じファイル名の内容を最新状態に更新する操作	直前の操作を元に戻す代表的なキー操作	ネット経由で利用するデータ保存サービス	ボタンを押したままポインターを動かす操作
q_017	「元を残したまま同じ内容を複製する操作」に当てはまる用語はどれですか。	コピー	コピーは、元を残したまま同じ内容を複製する操作。	0	コピー	削除	ブラウザー	バックアップ
q_018	「切り取り」の説明として正しいものはどれですか。	切り取り	切り取りは、選んだ内容を移動のため一時的に取り除く操作。	1	削除したファイルを一時的に保管する場所	選んだ内容を移動のため一時的に取り除く操作	ウェブ上の情報の場所を示すアドレス	ファイル容量を小さくまとめる処理
q_019	次の説明に最も合うものはどれですか。「コピーや切り取りした内容を別の場所に置く操作」	貼り付け	貼り付けは、コピーや切り取りした内容を別の場所に置く操作。	2	検索	タブ	貼り付け	解凍
q_020	用語「元に戻す」が表す内容はどれですか。	元に戻す	元に戻すは、直前の操作を取り消して前の状態に戻す機能。	3	複数のキーの組み合わせで機能を呼び出す操作	別のページや場所へ移動するための参照	数値や表を扱い計算や集計を行うソフトウェア	直前の操作を取り消して前の状態に戻す機能
q_021	「編集中の内容を記憶装置に記録する操作」に当てはまる用語はどれですか。	保存	保存は、編集中の内容を記憶装置に記録する操作。	0	保存	Ctrl+C	ダウンロード	セル
q_022	「名前を付けて保存」の説明として正しいものはどれですか。	名前を付けて保存	名前を付けて保存は、保存場所やファイル名を指定して新たに保存する操作。	1	コピーや切り取りした内容を貼り付ける代表的なキー操作	保存場所やファイル名を指定して新たに保存する操作	自分の端末のデータをネット上へ送ること	表計算で計算方法を指定する式
q_023	次の説明に最も合うものはどれですか。「同じファイル名の内容を最新状態に更新する操作」	上書き保存	上書き保存は、同じファイル名の内容を最新状態に更新する操作。	2	Ctrl+Z	クラウドストレージ	上書き保存	プレゼンテーションソフト
q_024	用語「削除」が表す内容はどれですか。	削除	削除は、不要なファイルなどを取り除く操作。	3	ウェブページを閲覧するためのソフトウェア	故障や誤操作に備えてデータの複製を保存すること	レイアウトを保ちやすい文書ファイル形式	不要なファイルなどを取り除く操作
q_025	「削除したファイルを一時的に保管する場所」に当てはまる用語はどれですか。	ごみ箱	ごみ箱は、削除したファイルを一時的に保管する場所。	0	ごみ箱	URL	圧縮	プリンター
q_026	「検索」の説明として正しいものはどれですか。	検索	検索は、条件や語句を使ってファイルや情報を探す機能。	1	一つのブラウザー画面で複数ページを切り替える仕組み	条件や語句を使ってファイルや情報を探す機能	圧縮されたファイルを利用できる状態に戻す処理	画面に表示された内容を画像として保存したもの
