# set_id=units_measurement_conversion_v1
# title=単位・量・換算の基礎
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	1 mは何cmですか。	長さの換算	1 m=100 cmです。	0	100 cm	10 cm	1000 cm	0.1 cm
q_002	250 cmは何mですか。	長さの換算	100 cm=1 mなので250 cm=2.5 mです。	1	25 m	2.5 m	0.25 m	2500 m
q_003	3.2 kmは何mですか。	長さの換算	1 km=1000 mなので3200 mです。	2	320 m	32 m	3200 m	32000 m
q_004	4500 mは何kmですか。	長さの換算	1000 m=1 kmなので4.5 kmです。	3	45 km	0.45 km	450 km	4.5 km
q_005	1 cmは何mmですか。	長さの換算	1 cm=10 mmです。	0	10 mm	100 mm	1 mm	0.1 mm
q_006	85 mmは何cmですか。	長さの換算	10 mm=1 cmなので8.5 cmです。	1	85 cm	8.5 cm	0.85 cm	850 cm
q_007	2 m 30 cmは全部で何cmですか。	複名数の換算	2 m=200 cmなので合計230 cmです。	2	203 cm	23 cm	230 cm	250 cm
q_008	1.5 mのひもを50 cm切ると、残りは何mですか。	長さの計算	50 cm=0.5 mなので残りは1 mです。	3	1.45 m	0.5 m	2 m	1 m
q_009	1 kgは何gですか。	質量の換算	1 kg=1000 gです。	0	1000 g	100 g	10 g	10000 g
q_010	2750 gは何kgですか。	質量の換算	1000 g=1 kgなので2.75 kgです。	1	27.5 kg	2.75 kg	0.275 kg	275 kg
q_011	3.5 kgは何gですか。	質量の換算	1 kg=1000 gなので3500 gです。	2	350 g	35 g	3500 g	35000 g
q_012	1 gは何mgですか。	質量の換算	1 g=1000 mgです。	3	100 mg	10 mg	10000 mg	1000 mg
q_013	600 mgは何gですか。	質量の換算	1000 mg=1 gなので0.6 gです。	0	0.6 g	6 g	60 g	0.06 g
q_014	2 tは何kgですか。	質量の換算	1 t=1000 kgなので2000 kgです。	1	200 kg	2000 kg	20 kg	20000 kg
q_015	1 Lは何mLですか。	体積の換算	1 L=1000 mLです。	2	100 mL	10 mL	1000 mL	10000 mL
q_016	750 mLは何Lですか。	体積の換算	1000 mL=1 Lなので0.75 Lです。	3	7.5 L	75 L	0.075 L	0.75 L
q_017	2.4 Lは何mLですか。	体積の換算	1 L=1000 mLなので2400 mLです。	0	2400 mL	240 mL	24 mL	24000 mL
q_018	1 Lは何cm³ですか。	体積の関係	1 mL=1 cm³なので1 L=1000 cm³です。	1	100 cm³	1000 cm³	10 cm³	10000 cm³
q_019	500 cm³は何mLですか。	体積の関係	1 cm³=1 mLなので500 mLです。	2	50 mL	5 mL	500 mL	5000 mL
q_020	縦10 cm、横5 cm、高さ4 cmの直方体の体積は何cm³ですか。	体積	10×5×4=200なので200 cm³です。	3	19 cm³	100 cm³	400 cm³	200 cm³
q_021	1 m²は何cm²ですか。	面積の換算	1 m=100 cmなので1 m²=100×100=10000 cm²です。	0	10000 cm²	100 cm²	1000 cm²	100000 cm²
