# set_id=yoji_jukugo_v1
# title=四字熟語
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	一生に一度だけの出会いと考え、縁を大切にすることを表す四字熟語はどれですか。	一期一会	一期一会は、その機会は一度限りという心構えを表します。	0	一期一会	一日千秋	一進一退	一触即発
q_002	昔の事柄を学び、そこから新しい知識や道理を見いだすことを表す四字熟語はどれですか。	温故知新	「故きを温ねて新しきを知る」という教えです。	1	古今東西	温故知新	博覧強記	新進気鋭
q_003	仲間同士が励まし合い、学問や技術を高めることを表す四字熟語はどれですか。	切磋琢磨	玉や石を磨くように、互いに努力して向上することです。	2	孤軍奮闘	一意専心	切磋琢磨	自画自賛
q_004	失敗と工夫を繰り返しながら解決方法を探すことを表す四字熟語はどれですか。	試行錯誤	さまざまな方法を試し、誤りを直しながら進むことです。	3	暗中飛躍	一刀両断	即断即決	試行錯誤
q_005	その場の状況に応じて適切に対応することを表す四字熟語はどれですか。	臨機応変	決まった方法に固執せず、事情に合わせて対応することです。	0	臨機応変	首尾一貫	旧態依然	杓子定規
q_006	言葉を使わなくても互いの気持ちが通じることを表す四字熟語はどれですか。	以心伝心	心から心へ思いが伝わることを表します。	1	言語道断	以心伝心	異口同音	口頭試問
q_007	多くの人が口をそろえて同じことを言うことを表す四字熟語はどれですか。	異口同音	異なる口から同じ声が出るという意味です。	2	以心伝心	満場一致	異口同音	千言万語
q_008	互いの気持ちや考えがぴったり合うことを表す四字熟語はどれですか。	意気投合	気性や考えが合い、親しくなることです。	3	意気消沈	意気軒昂	意志薄弱	意気投合
q_009	非常に短い時間では実現できないことを「何では成らない」と表しますか。	一朝一夕	「一朝一夕」はわずかな期間を意味します。	0	一朝一夕	一日千秋	朝令暮改	三日天下
q_010	長所も短所もあることを表す四字熟語はどれですか。	一長一短	一つの長所と一つの短所があるという意味です。	1	一利一害	一長一短	一得一失	長所短所
q_011	自分の行いの結果を自分が受けることを表す四字熟語はどれですか。	自業自得	自分の行為が原因となり、自分に結果が返ることです。	2	因果関係	自己責任	自業自得	自給自足
q_012	絶望的な状況から一気に立ち直ることを表す四字熟語はどれですか。	起死回生	死にかけた状態を生き返らせるほどの逆転を表します。	3	捲土重来	名誉挽回	現状維持	起死回生
q_013	髪の毛一本ほどのわずかな差で、危険が迫っている状態を表す四字熟語はどれですか。	危機一髪	「一髪」は髪の毛一本ほどの非常にわずかな差を表します。	0	危機一髪	一触即発	風前之灯	危急存亡
q_014	逃げ道がなく、どうにもならない苦しい立場を表す四字熟語はどれですか。	絶体絶命	体も命も行き詰まった、極めて困難な状況です。	1	四面楚歌	絶体絶命	進退両難	孤立無援
