# set_id=rika_summer_set_v2
# title=理科（動植物）	
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
bq_001	めしべの先端にある、花粉がつきやすい部分を何といいますか。	柱頭	めしべの先端を柱頭といい、ねばりけがあって花粉がつきやすくなっています。	0	柱頭	子房	胚珠	やく
bq_002	めしべの根元のふくらんだ部分を子房といい、その中にある将来種子になる粒を何といいますか。	胚珠	子房の中には胚珠があり、受粉して成長すると種子になります。	1	花粉のう	胚珠	胞子のう	やく
bq_003	胚珠が子房の中に包まれている植物の仲間を何といいますか。	被子植物	アブラナやツツジのように、胚珠が子房に包まれている植物を被子植物といいます。	2	裸子植物	シダ植物	被子植物	コケ植物
bq_004	マツのように、子房がなく、胚珠がむき出しになっている植物を何といいますか。	裸子植物	胚珠がむき出し（裸の状態）であることから裸子植物と呼ばれます。	3	単子葉類	合弁花類	被子植物	裸子植物
bq_005	マツの花の特徴について、正しい記述はどれですか。	花弁（花びら）やがくがない	マツの花には花弁やがくがなく、りん片が多数集まった形をしています。	0	花弁やがくがない	めしべに大きな子房がある	虫によって花粉が運ばれる	1つの花におしべとめしべがある
bq_006	マツの花粉には2つの「空気袋」がついています。これにはどのような利点がありますか。	風に運ばれやすくなる	マツは風によって花粉を運ぶ風媒花であるため、空気袋で軽くなって遠くまで飛びます。	1	水に浮きやすくなる	風に運ばれやすくなる	虫がつきやすくなる	乾燥から身を守る
bq_007	受粉した後、めしべの「子房」は成長して何になりますか。	果実	受粉すると、子房は果実へ、その中の胚珠は種子へと変化します。	2	種子	花粉	果実	りん片
bq_008	受粉した後、子房の中にある「胚珠」は成長して何になりますか。	種子	胚珠は受粉後に成長して種子になり、次の世代の植物になります。	3	胞子	果実	仮根	種子
bq_009	アサガオやツツジのように、花弁（花びら）が1つにくっついている花を何といいますか。	合弁花	花弁が互いにくっついているものを合弁花、1枚ずつ離れているものを離弁花といいます。	0	合弁花	離弁花	単子葉類	裸子植物
bq_010	アブラナやサクラのように、花弁が1枚ずつ離れている花を何といいますか。	離弁花	花弁が1枚1枚独立してついている花を離弁花といいます。	1	合弁花	離弁花	双子葉類	シダ植物
bq_011	タンポポの花を詳しく観察したときの特徴として正しいものはどれですか。	小さな花が集まって1つの花のように見える	タンポポは小さな「合弁花」がたくさん集まって、1つの大きな花を形成しています。	2	大きな1枚の花弁でできている	花弁が1枚ずつ離れている離弁花である	小さな花が集まって1つの花のように見える	おしべとめしべが存在しない
bq_012	マツの種子には何がついているため、風に乗って遠くまで運ばれることができますか。	はね（翼）	マツの種子には薄い「はね」がついており、風で散布されるのに適しています。	3	空気袋	粘着液	鋭いトゲ	はね（翼）
bq_013	双子葉類の葉に見られる、網の目のような形をした葉脈を何といいますか。	網状脈	アブラナなどの双子葉類に見られる網目状の葉脈を網状脈といいます。	0	網状脈	平行脈	維管束	師管
