# set_id=elements_chemical_formulas_v1
# title=元素記号・化学式
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	水素の元素記号はどれですか。	H	水素の元素記号はHです。	0	H	He	N	O
q_002	ヘリウムの元素記号はどれですか。	He	ヘリウムの元素記号はHeです。2文字目は小文字です。	1	H	He	Hg	Ho
q_003	リチウムの元素記号はどれですか。	Li	リチウムの元素記号はLiです。	2	L	La	Li	Lu
q_004	炭素の元素記号はどれですか。	C	炭素の元素記号はCです。	3	Ca	Cl	Cu	C
q_005	窒素の元素記号はどれですか。	N	窒素の元素記号はNです。	0	N	Na	Ne	Ni
q_006	酸素の元素記号はどれですか。	O	酸素の元素記号はOです。	1	Os	O	Au	Ox
q_007	フッ素の元素記号はどれですか。	F	フッ素の元素記号はFです。	2	Fe	Fr	F	Fl
q_008	ネオンの元素記号はどれですか。	Ne	ネオンの元素記号はNeです。	3	N	Na	Ni	Ne
q_009	ナトリウムの元素記号はどれですか。	Na	ナトリウムの元素記号はNaです。	0	Na	N	Ne	Ni
q_010	マグネシウムの元素記号はどれですか。	Mg	マグネシウムの元素記号はMgです。	1	Mn	Mg	Mo	Mc
q_011	アルミニウムの元素記号はどれですか。	Al	アルミニウムの元素記号はAlです。	2	Am	Ar	Al	Au
q_012	ケイ素の元素記号はどれですか。	Si	ケイ素の元素記号はSiです。	3	S	Se	Sc	Si
q_013	リンの元素記号はどれですか。	P	リンの元素記号はPです。	0	P	Pb	Pt	Po
q_014	硫黄の元素記号はどれですか。	S	硫黄の元素記号はSです。	1	Si	S	Se	Sr
q_015	塩素の元素記号はどれですか。	Cl	塩素の元素記号はClです。	2	C	Ca	Cl	Cr
q_016	アルゴンの元素記号はどれですか。	Ar	アルゴンの元素記号はArです。	3	Ag	Al	Au	Ar
q_017	カリウムの元素記号はどれですか。	K	カリウムの元素記号はラテン語名に由来するKです。	0	K	Ka	Kr	Ca
q_018	カルシウムの元素記号はどれですか。	Ca	カルシウムの元素記号はCaです。	1	C	Ca	Cl	K
q_019	鉄の元素記号はどれですか。	Fe	鉄の元素記号はラテン語名に由来するFeです。	2	F	Fr	Fe	Ir
q_020	銅の元素記号はどれですか。	Cu	銅の元素記号はラテン語名に由来するCuです。	3	Co	Cr	C	Cu
q_021	亜鉛の元素記号はどれですか。	Zn	亜鉛の元素記号はZnです。	0	Zn	Zr	Xe	Sn
q_022	銀の元素記号はどれですか。	Ag	銀の元素記号はラテン語名に由来するAgです。	1	Au	Ag	Al	Ar
q_023	スズの元素記号はどれですか。	Sn	スズの元素記号はラテン語名に由来するSnです。	2	S	Si	Sn	Sr
q_024	ヨウ素の元素記号はどれですか。	I	ヨウ素の元素記号は大文字のIです。	3	In	Ir	Y	I
q_025	バリウムの元素記号はどれですか。	Ba	バリウムの元素記号はBaです。	0	Ba	B	Be	Bi
q_026	金の元素記号はどれですか。	Au	金の元素記号はラテン語名に由来するAuです。	1	Ag	Au	Al	Ar
q_027	水銀の元素記号はどれですか。	Hg	水銀の元素記号はラテン語名に由来するHgです。	2	H	Ho	Hg	Mg
q_028	鉛の元素記号はどれですか。	Pb	鉛の元素記号はラテン語名に由来するPbです。	3	P	Pd	Pt	Pb
q_029	ウランの元素記号はどれですか。	U	ウランの元素記号はUです。	0	U	Ur	Un	W
q_030	マンガンの元素記号はどれですか。	Mn	マンガンの元素記号はMnです。	1	Mg	Mn	Mo	Mt
q_031	水の化学式はどれですか。	H2O	水分子は水素原子2個と酸素原子1個からできています。	2	HO	H2O2	H2O	OH2O
q_032	二酸化炭素の化学式はどれですか。	CO2	二酸化炭素は炭素原子1個と酸素原子2個からできています。	3	CO	C2O	C2O2	CO2
