# set_id=special_reading_compounds_v1
# title=特殊な読み方をする熟語・難読語
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
special_reading_001	次の文中の「七夕」の読みとして正しいものはどれですか。\n七夕には、願い事を書いた短冊を笹に飾ります。	七夕	「七夕」は「たなばた」と読み、七月七日に行われる星祭りを表します。\n例文：七夕には、願い事を書いた短冊を笹に飾ります。	0	たなばた	かぐら	だし	みこし
special_reading_002	次の文中の「一昨日」の読みとして正しいものはどれですか。\n一昨日、図書館で借りた本を読み終えました。	一昨日	「一昨日」は「おととい」と読み、昨日の前の日を表します。\n例文：一昨日、図書館で借りた本を読み終えました。	1	ついたち	おととい	はつか	しわす
special_reading_003	次の文中の「一昨年」の読みとして正しいものはどれですか。\n一昨年の夏に、この町へ引っ越してきました。	一昨年	「一昨年」は「おととし」と読み、去年の前の年を表します。\n例文：一昨年の夏に、この町へ引っ越してきました。	2	きさらぎ	やよい	おととし	さつき
special_reading_004	次の文中の「大人」の読みとして正しいものはどれですか。\n困ったときは近くの大人に相談しましょう。	大人	「大人」は「おとな」と読み、成長して一人前になった人を表します。\n例文：困ったときは近くの大人に相談しましょう。	3	しろうと	なこうど	まいご	おとな
special_reading_005	次の文中の「海女」の読みとして正しいものはどれですか。\n海女が素潜りで貝を採る様子を見学しました。	海女	「海女」は「あま」と読み、海に潜って貝や海藻を採る女性を表します。\n例文：海女が素潜りで貝を採る様子を見学しました。	0	あま	はたち	さおとめ	おとな
special_reading_006	次の文中の「海原」の読みとして正しいものはどれですか。\n船は青い海原をゆっくり進みました。	海原	「海原」は「うなばら」と読み、広々とした海面を表します。\n例文：船は青い海原をゆっくり進みました。	1	なだれ	うなばら	たそがれ	さつきばれ
special_reading_007	次の文中の「河岸」の読みとして正しいものはどれですか。\n朝の河岸では、魚の競りが始まっていました。	河岸	「河岸」は「かし」と読み、魚市場や川岸の荷揚げ場を表します。\n例文：朝の河岸では、魚の競りが始まっていました。	2	いなか	つきやま	かし	やおや
special_reading_008	次の文中の「神楽」の読みとして正しいものはどれですか。\n祭りの夜に神楽が奉納されました。	神楽	「神楽」は「かぐら」と読み、神を祭るために演じる舞や音楽を表します。\n例文：祭りの夜に神楽が奉納されました。	3	だし	みこし	しめなわ	かぐら
special_reading_009	次の文中の「為替」の読みとして正しいものはどれですか。\n海外旅行の前に為替の相場を確認しました。	為替	「為替」は「かわせ」と読み、現金を直接送らずに代金を決済する仕組みを表します。\n例文：海外旅行の前に為替の相場を確認しました。	0	かわせ	いなか	なこうど	なごり
special_reading_010	次の文中の「木綿」の読みとして正しいものはどれですか。\n木綿のシャツは肌触りがよく、普段着に向いています。	木綿	「木綿」は「もめん」と読み、綿の糸で織った布を表します。\n例文：木綿のシャツは肌触りがよく、普段着に向いています。	1	かかし	もめん	ぼんぼり	ちょうちん
special_reading_011	次の文中の「玄人」の読みとして正しいものはどれですか。\nこの修理は玄人でなければ難しいでしょう。	玄人	「玄人」は「くろうと」と読み、その分野に熟達した人を表します。\n例文：この修理は玄人でなければ難しいでしょう。	2	しろうと	なこうど	くろうと	まいご
special_reading_012	次の文中の「素人」の読みとして正しいものはどれですか。\n私は園芸についてはまだ素人です。	素人	「素人」は「しろうと」と読み、その分野の専門家ではない人を表します。\n例文：私は園芸についてはまだ素人です。	3	はたち	さおとめ	おとな	しろうと
special_reading_013	次の文中の「土産」の読みとして正しいものはどれですか。\n京都の土産に菓子を買いました。	土産	「土産」は「みやげ」と読み、旅先などから持ち帰る贈り物を表します。\n例文：京都の土産に菓子を買いました。	0	みやげ	たび	とけい	かかし
special_reading_014	次の文中の「吹雪」の読みとして正しいものはどれですか。\n急な吹雪で、前が見えにくくなりました。	吹雪	「吹雪」は「ふぶき」と読み、雪が激しい風に吹きつけられることを表します。\n例文：急な吹雪で、前が見えにくくなりました。	1	さつきばれ	ふぶき	おぼろづき	こがらし
special_reading_015	次の文中の「五月雨」の読みとして正しいものはどれですか。\n五月雨が庭の草木をしっとりとぬらしました。	五月雨	「五月雨」は「さみだれ」と読み、陰暦五月ごろに降り続く雨を表します。\n例文：五月雨が庭の草木をしっとりとぬらしました。	2	かげろう	しらぬい	さみだれ	うなばら
special_reading_016	次の文中の「時雨」の読みとして正しいものはどれですか。\n山道を歩いていると、冷たい時雨が降ってきました。	時雨	「時雨」は「しぐれ」と読み、晩秋から初冬に急に降ってすぐやむ雨を表します。\n例文：山道を歩いていると、冷たい時雨が降ってきました。	3	ふぶき	さみだれ	いおう	しぐれ
special_reading_017	次の文中の「小豆」の読みとして正しいものはどれですか。\n小豆を煮て、甘いあんこを作りました。	小豆	「小豆」は「あずき」と読み、赤褐色の小さな豆を表します。\n例文：小豆を煮て、甘いあんこを作りました。	0	あずき	くだもの	のり	ひじき
special_reading_018	次の文中の「浴衣」の読みとして正しいものはどれですか。\n夏祭りに浴衣を着て出かけました。	浴衣	「浴衣」は「ゆかた」と読み、夏や入浴後などに着る木綿の着物を表します。\n例文：夏祭りに浴衣を着て出かけました。	1	ちょうちん	ゆかた	のれん	うちわ
special_reading_019	次の文中の「相撲」の読みとして正しいものはどれですか。\n祖父と一緒に相撲の中継を見ました。	相撲	「相撲」は「すもう」と読み、土俵の上で力士が組み合う競技を表します。\n例文：祖父と一緒に相撲の中継を見ました。	2	ほととぎす	ひばり	すもう	もず
special_reading_020	次の文中の「硫黄」の読みとして正しいものはどれですか。\n火山の近くでは硫黄のにおいがしました。	硫黄	「硫黄」は「いおう」と読み、黄色く、独特のにおいを伴うことがある元素を表します。\n例文：火山の近くでは硫黄のにおいがしました。	3	さみだれ	しぐれ	なだれ	いおう
special_reading_021	次の文中の「眼鏡」の読みとして正しいものはどれですか。\n黒板の文字を見るために眼鏡をかけました。	眼鏡	「眼鏡」は「めがね」と読み、視力を補ったり目を保護したりする道具を表します。\n例文：黒板の文字を見るために眼鏡をかけました。	0	めがね	かかし	ぼんぼり	ちょうちん
special_reading_022	次の文中の「足袋」の読みとして正しいものはどれですか。\n着物に白い足袋を合わせました。	足袋	「足袋」は「たび」と読み、親指と他の指が分かれた和装用の履物を表します。\n例文：着物に白い足袋を合わせました。	1	のれん	たび	うちわ	たばこ
special_reading_023	次の文中の「雪崩」の読みとして正しいものはどれですか。\n大雪の後は雪崩に注意が必要です。	雪崩	「雪崩」は「なだれ」と読み、山の斜面の雪が急に崩れ落ちる現象を表します。\n例文：大雪の後は雪崩に注意が必要です。	2	うなばら	ふぶき	なだれ	さみだれ
special_reading_024	次の文中の「野良」の読みとして正しいものはどれですか。\n公園で野良猫を見かけました。	野良	「野良」は「のら」と読み、飼い主がいないこと、または野外を表します。\n例文：公園で野良猫を見かけました。	3	かわせみ	くらげ	ひとで	のら
special_reading_025	次の文中の「田舎」の読みとして正しいものはどれですか。\n夏休みに祖母のいる田舎へ帰りました。	田舎	「田舎」は「いなか」と読み、都市から離れた土地や故郷を表します。\n例文：夏休みに祖母のいる田舎へ帰りました。	0	いなか	かし	つきやま	やおや
special_reading_026	次の文中の「仲人」の読みとして正しいものはどれですか。\n二人は仲人に見守られて式を挙げました。	仲人	「仲人」は「なこうど」と読み、結婚の仲立ちをする人を表します。\n例文：二人は仲人に見守られて式を挙げました。	1	はたち	なこうど	さおとめ	おとな
