# set_id=human_body_basics_v1
# title=人体・からだの基礎
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	「生物の体をつくる基本単位」に当てはまる用語はどれですか。	細胞	細胞は、生物の体をつくる基本単位。	0	細胞	脳	鼻腔	肝臓
q_002	「組織」の説明として正しいものはどれですか。	組織	組織は、似た働きをする細胞が集まったもの。	1	脳と末梢神経をつなぎ反射にも関わる中枢	似た働きをする細胞が集まったもの	食物をかみ唾液と混ぜる消化の入り口	肝臓でつくられた胆汁をためる器官
q_003	次の説明に最も合うものはどれですか。「複数の組織が集まり特定の働きをする部分」	器官	器官は、複数の組織が集まり特定の働きをする部分。	2	神経	唾液	器官	膵臓
q_004	用語「骨格」が表す内容はどれですか。	骨格	骨格は、体を支え内臓を保護する骨の集まり。	3	光や音など外界の刺激を受け取る器官	口から胃へ食物を運ぶ管	食物を吸収できる小さな物質に分解する働き	体を支え内臓を保護する骨の集まり
q_005	「骨と骨がつながり動く部分」に当てはまる用語はどれですか。	関節	関節は、骨と骨がつながり動く部分。	0	関節	瞳孔	胃	吸収
q_006	「筋肉」の説明として正しいものはどれですか。	筋肉	筋肉は、縮んだりゆるんだりして体を動かす組織。	1	光を感じる細胞がある目の奥の膜	縮んだりゆるんだりして体を動かす組織	栄養素の消化と吸収の中心となる器官	血液を全身へ送り出すポンプの役割をする器官
q_007	次の説明に最も合うものはどれですか。「筋肉と骨をつなぐ丈夫な組織」	腱	腱は、筋肉と骨をつなぐ丈夫な組織。	2	鼓膜	大腸	腱	動脈
q_008	用語「脳」が表す内容はどれですか。	脳	脳は、情報を処理し全身の働きを調節する中枢。	3	空気を温め湿らせ異物を取り除く鼻の内部	栄養の貯蔵や有害物質の分解などを行う器官	心臓へ戻る血液が通る血管	情報を処理し全身の働きを調節する中枢
q_009	「脳と末梢神経をつなぎ反射にも関わる中枢」に当てはまる用語はどれですか。	脊髄	脊髄は、脳と末梢神経をつなぎ反射にも関わる中枢。	0	脊髄	口腔	胆のう	毛細血管
q_010	「神経」の説明として正しいものはどれですか。	神経	神経は、刺激や命令を電気的な信号として伝える組織。	1	デンプンの消化を始める消化液	刺激や命令を電気的な信号として伝える組織	消化液を出し血糖調節に関わるホルモンもつくる器官	酸素を運ぶ働きをする血液の成分
