# set_id=general_eiken2_v1
# title=大人向け・英語中級
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
achieve_a_goal	With enough practice, you can ___ your goal.	achieve a goal	achieveは「目標などを達成する」という意味です。goalとよく組み合わせて使います。	0	achieve	borrow	divide	escape
doctor_available	The doctor is not ___ this afternoon, so please come tomorrow.	be available	availableは「手が空いている、利用できる」という意味です。人にも物にも使えます。	1	ordinary	available	private	silent
refuse_request	She ___ to answer the question because it was too personal.	refuse to do	refuse to doは「～することを拒む」という意味です。後ろにはto不定詞を置きます。	2	promised	managed	refused	expected
aware_of_risk	Many people are not ___ of the risks of sharing personal information online.	be aware of	be aware ofは「～に気づいている、～を認識している」という意味です。	3	proud	similar	responsible	aware
benefit_health	Regular exercise can ___ both your body and mind.	benefit＋目的語	benefitは他動詞で「～に利益を与える、～のためになる」という意味です。	0	benefit	contain	replace	supply
likely_to_rain	It is ___ to rain this evening, so take an umbrella.	be likely to do	be likely to doは「～する可能性が高い」という意味です。	1	unable	likely	careful	ready
prevent_spreading	This medicine may help ___ the disease from spreading.	prevent A from doing	prevent A from doingは「Aが～するのを防ぐ」という表現です。	2	protect	avoid	prevent	reduce
enough_evidence	There was not enough ___ to prove that he had broken the rule.	evidence	evidenceは「証拠」を表す不可算名詞なので、通常an evidenceとはしません。	3	purpose	behavior	method	evidence
improve_service	The company is trying to ___ its customer service.	improve＋目的語	improveは「～を改善する」という意味です。serviceやskillなどとよく使います。	0	improve	invite	repeat	express
job_requires	This job ___ good communication skills and patience.	require＋名詞	requireは「～を必要とする」という意味です。主語がThis jobなので三人称単数形になります。	1	reminds	requires	receives	repairs
recognize_voice	I did not ___ her voice at first because the phone connection was poor.	recognize	recognizeは「見覚えや聞き覚えから～だと分かる」という意味です。	2	realize	remember	recognize	recommend
environmental_issue	Plastic waste has become a serious environmental ___.	environmental issue	issueは「問題、課題」という意味で、environmental issueは「環境問題」を表します。	3	custom	surface	material	issue
increase_sales	The new advertising campaign helped ___ sales by 20 percent.	increase＋目的語	increaseは他動詞で「～を増やす」という意味でも使えます。	0	increase	depend	remain	occur
local_residents	Local ___ complained about the noise from the construction site.	local residents	residentは「住民」という意味です。複数の住民を指すためresidentsとなります。	1	passengers	residents	customers	audiences
solve_problem	We need to find a practical way to ___ this problem.	solve a problem	solveは「問題を解決する」という意味です。problemとよく組み合わせます。	2	cause	raise	solve	spread
responsible_choice	Consumers are becoming more interested in making environmentally ___ choices.	environmentally responsible	responsibleには「責任ある、配慮した」という意味があり、environmentally responsibleで「環境に配慮した」となります。	3	valuable	traditional	independent	responsible
accept_offer	After thinking carefully, he decided to ___ the job offer.	accept an offer	acceptは「申し出などを受け入れる」という意味です。	0	accept	reach	attend	produce
public_transportation	The city plans to improve public ___ by adding more bus routes.	public transportation	transportationは「交通機関、輸送」を表します。public transportationで「公共交通機関」です。	1	population	transportation	education	communication
maintain_quality	The restaurant works hard to ___ the quality of its food.	maintain quality	maintainは「状態や水準を維持する」という意味です。	2	compare	discover	maintain	introduce
obvious_reason	It was ___ from his expression that he was disappointed.	It is obvious that	obviousは「明らかな」という意味です。It is obvious thatの形でもよく使います。	3	gentle	ancient	formal	obvious
reduce_costs	The factory introduced new machines to ___ production costs.	reduce costs	reduceは「量や程度を減らす」という意味です。costやwasteとよく使います。	0	reduce	celebrate	deliver	examine
valuable_experience	Working abroad was a valuable ___ that taught me many things.	a valuable experience	experienceは「経験、体験」という意味です。ここでは一つの体験なので可算名詞として使われています。	1	condition	experience	direction	tradition
observe_behavior	Scientists carefully ___ the animals' behavior in the wild.	observe behavior	observeは「注意深く観察する」という意味です。	2	prevent	publish	observe	exchange
entire_village	The storm caused damage throughout the ___ village.	the entire＋名詞	entireは「全体の、全部の」という意味で、単数名詞の前に置けます。	3	narrow	usual	recent	entire
provide_information	The website ___ useful information for international students.	provide information	provideは「情報やサービスなどを提供する」という意味です。主語がThe websiteなのでprovidesです。	0	provides	predicts	protects	prepares
take_part_in	More than 500 students took ___ in the volunteer event.	take part in	take part inは「～に参加する」という意味です。	1	place	part	care	turn
deal_with	The manager must ___ with customer complaints quickly.	deal with	deal withは「問題などに対処する」という意味です。	2	agree	compare	deal	belong
in_spite_of	___ the heavy rain, the outdoor concert continued as planned.	in spite of	in spite ofは「～にもかかわらず」という意味で、後ろには名詞を置きます。	3	Because of	According to	Instead of	In spite of
make_progress	If you study a little every day, you will gradually ___ progress.	make progress	make progressは「進歩する」という決まった組み合わせです。	0	make	do	take	give
keep_in_touch	Although we live in different countries, we still keep ___ touch.	keep in touch	keep in touchは「連絡を取り続ける」という意味です。	1	on	in	at	by
look_up_word	When you find an unfamiliar word, try to ___ it up in a dictionary.	look up	look upは「辞書などで調べる」という意味です。代名詞はlook it upのように間に置きます。	2	turn	put	look	bring
run_out_of	We had to stop cooking because we had run ___ of gas.	run out of	run out ofは「～を使い果たす、～がなくなる」という意味です。	3	away	down	over	out
be_satisfied_with	Most customers were satisfied ___ the quality of the product.	be satisfied with	be satisfied withは「～に満足している」という意味です。	0	with	from	about	against
put_off_meeting	They decided to put ___ the meeting until next Monday.	put off	put offは「延期する」という意味です。	1	away	off	out	up
come_up_with	Our team needs to ___ up with a better solution.	come up with	come up withは「考えや解決策を思いつく」という意味です。	2	get	take	come	make
be_based_on	The movie is based ___ a true story.	be based on	be based onは「～に基づいている」という意味です。	3	at	for	with	on
pay_attention_to	Please pay attention ___ the safety instructions.	pay attention to	pay attention toは「～に注意を払う」という意味です。	0	to	for	on	with
take_advantage_of	We should take advantage ___ this opportunity to learn from experts.	take advantage of	take advantage ofは「機会などを活用する」という意味です。	1	from	of	at	by
get_rid_of	It is difficult to get ___ of old habits.	get rid of	get rid ofは「不要なものや習慣を取り除く」という意味です。	2	away	out	rid	free
