# set_id=adult_katakana_loanwords_2020s_v1
# title=現代カタカナ語100問（経済・金融・IT・政治）
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	「ワーケーション」の意味として、最も適切なものはどれか。	働き方	「ワーク」と「バケーション」を組み合わせた語で、働く場所の自由度が高まったことを背景に広まった。\n【A】✓ ワーケーション：旅行先など、いつもと違う場所で余暇を楽しみながら仕事をすること\n【B】マイクロモビリティの説明：電動キックボードなど、近距離移動のための小型の移動手段\n【C】カスタマーサクセスの説明：顧客が製品やサービスを使って成果を上げられるよう能動的に支援する取り組み\n【D】ノーコード開発の説明：プログラミングを行わずに専用のツールでアプリケーションを開発する手法	0	旅行先など、いつもと違う場所で余暇を楽しみながら仕事をすること	電動キックボードなど、近距離移動のための小型の移動手段	顧客が製品やサービスを使って成果を上げられるよう能動的に支援する取り組み	プログラミングを行わずに専用のツールでアプリケーションを開発する手法
q_002	「テレワーク」の意味として、最も適切なものはどれか。	働き方	自宅やサテライトオフィスなど、通信環境があればどこでも働ける仕組みを指す。\n【A】リショアリングの説明：海外に移していた生産拠点を自国に戻すこと\n【B】✓ テレワーク：情報通信技術を使い、会社に出社せず別の場所で仕事をすること\n【C】フィンテックの説明：金融とIT技術を組み合わせた新しいサービスや技術\n【D】ビッグデータの説明：従来の方法では扱いきれないほど巨大で多様なデータの集まり	1	海外に移していた生産拠点を自国に戻すこと	情報通信技術を使い、会社に出社せず別の場所で仕事をすること	金融とIT技術を組み合わせた新しいサービスや技術	従来の方法では扱いきれないほど巨大で多様なデータの集まり
q_003	「ハイブリッドワーク」の意味として、最も適切なものはどれか。	働き方	状況に応じて出社と在宅を使い分けることで、柔軟性と対面のメリットを両立させる考え方。\n【A】クラウドファンディングの説明：インターネットを通じて不特定多数の人から資金を集めること\n【B】ロビイングの説明：政策決定に影響を与えるため、議員や行政機関に働きかける活動\n【C】✓ ハイブリッドワーク：出社勤務と在宅勤務を組み合わせた働き方\n【D】サステナビリティの説明：環境や社会、経済を将来にわたって持続可能にする考え方	2	インターネットを通じて不特定多数の人から資金を集めること	政策決定に影響を与えるため、議員や行政機関に働きかける活動	出社勤務と在宅勤務を組み合わせた働き方	環境や社会、経済を将来にわたって持続可能にする考え方
q_004	「ニューノーマル」の意味として、最も適切なものはどれか。	社会変化	「新常態」とも訳され、感染症の拡大を経て働き方や生活習慣が大きく変わったことを表す。\n【A】カーボンニュートラルの説明：温室効果ガスの排出量と吸収量を差し引きゼロにすること\n【B】ダイバーシティの説明：性別や国籍、年齢、価値観など人材の多様性\n【C】レコメンデーションの説明：利用者の好みに合わせて商品や情報を提案する機能\n【D】✓ ニューノーマル：大きな出来事の後に社会に定着した新しい生活や仕事の様式	3	温室効果ガスの排出量と吸収量を差し引きゼロにすること	性別や国籍、年齢、価値観など人材の多様性	利用者の好みに合わせて商品や情報を提案する機能	大きな出来事の後に社会に定着した新しい生活や仕事の様式
q_005	「リスキリング」の意味として、最も適切なものはどれか。	人材育成	技術革新や産業構造の変化に対応するため、社会人が新しい能力を身につける取り組みを指す。\n【A】✓ リスキリング：仕事で新たに必要となる知識や技能を学び直すこと\n【B】ジェンダーギャップの説明：性別によって生じる格差\n【C】デジタルガバメントの説明：行政サービスをデジタル技術によって効率化・高度化すること\n【D】チャットボットの説明：対話形式で自動的に応答するプログラム	0	仕事で新たに必要となる知識や技能を学び直すこと	性別によって生じる格差	行政サービスをデジタル技術によって効率化・高度化すること	対話形式で自動的に応答するプログラム
q_006	「オンボーディング」の意味として、最も適切なものはどれか。	人材育成	採用した人材が定着し早期に活躍できるよう、教育や交流の機会を計画的に用意することを指す。\n【A】アクセラレータープログラムの説明：スタートアップの事業成長を短期間で支援する育成プログラム\n【B】✓ オンボーディング：新しく組織に加わった人が早く仕事に慣れるよう支援する取り組み\n【C】ステーブルコインの説明：法定通貨などと価値を連動させ、価格変動を抑えた暗号資産\n【D】ワンストップサービスの説明：複数の手続きを一つの窓口でまとめて行えるようにする仕組み	1	スタートアップの事業成長を短期間で支援する育成プログラム	新しく組織に加わった人が早く仕事に慣れるよう支援する取り組み	法定通貨などと価値を連動させ、価格変動を抑えた暗号資産	複数の手続きを一つの窓口でまとめて行えるようにする仕組み
q_007	「エンゲージメント」の意味として、最も適切なものはどれか。	組織	数値だけでなく働きがいの実感を示す指標として、人事施策の目標に使われることが多い。\n【A】パーパス経営の説明：企業が自社の存在意義を明確にし、それを経営の軸とする考え方\n【B】ポピュリズムの説明：大衆の感情や不満に訴えて支持を得ようとする政治的な手法\n【C】✓ エンゲージメント：従業員が仕事や組織に対して感じる愛着や熱意の度合い\n【D】フォワードガイダンスの説明：中央銀行が将来の金融政策の方針をあらかじめ示すこと	2	企業が自社の存在意義を明確にし、それを経営の軸とする考え方	大衆の感情や不満に訴えて支持を得ようとする政治的な手法	従業員が仕事や組織に対して感じる愛着や熱意の度合い	中央銀行が将来の金融政策の方針をあらかじめ示すこと
q_008	「ウェルビーイング」の意味として、最も適切なものはどれか。	社会	単に病気でないことだけでなく、心身の健康と幸福感を総合的にとらえる考え方。\n【A】アグリテックの説明：農業にIT技術を活用し、生産性の向上などを図る取り組み\n【B】プラットフォーマーの説明：多くの利用者や企業が集まる基盤となるサービスを提供する事業者\n【C】デザイン思考の説明：利用者の視点に立って課題を発見し、解決策を考える思考法\n【D】✓ ウェルビーイング：身体的・精神的・社会的に満たされ、良好な状態にあること	3	農業にIT技術を活用し、生産性の向上などを図る取り組み	多くの利用者や企業が集まる基盤となるサービスを提供する事業者	利用者の視点に立って課題を発見し、解決策を考える思考法	身体的・精神的・社会的に満たされ、良好な状態にあること
q_009	「ダイバーシティ」の意味として、最も適切なものはどれか。	組織	多様な人材を受け入れることで、新しい発想や強い組織づくりにつなげる考え方。\n【A】✓ ダイバーシティ：性別や国籍、年齢、価値観など人材の多様性\n【B】パーソナライゼーションの説明：個々の利用者の好みや行動に合わせて商品や情報を最適化すること\n【C】ロードマップの説明：目標達成までの道筋や計画を時系列で示したもの\n【D】エッジコンピューティングの説明：データが発生する場所の近くで処理を行う仕組み	0	性別や国籍、年齢、価値観など人材の多様性	個々の利用者の好みや行動に合わせて商品や情報を最適化すること	目標達成までの道筋や計画を時系列で示したもの	データが発生する場所の近くで処理を行う仕組み
q_010	「インクルージョン」の意味として、最も適切なものはどれか。	組織	ダイバーシティ（多様性を受け入れること）が進んだ先に、実際に活躍の場が与えられている状態を指す。\n【A】サーバーレスの説明：サーバーの管理を意識せずにプログラムを実行できる仕組み\n【B】✓ インクルージョン：多様な人材がそれぞれの個性を生かして活躍できている状態\n【C】ガバメントクラウドの説明：政府や自治体の情報システムをまとめて利用する共通のクラウド基盤\n【D】ジェネレーティブAIの説明：文章や画像などを新たに作り出す人工知能技術	1	サーバーの管理を意識せずにプログラムを実行できる仕組み	多様な人材がそれぞれの個性を生かして活躍できている状態	政府や自治体の情報システムをまとめて利用する共通のクラウド基盤	文章や画像などを新たに作り出す人工知能技術
