# set_id=git_github_basics_v1
# title=Git・GitHubの基礎
# version=1
id	prompt	keyword	explanation	correct_index	choice_a	choice_b	choice_c	choice_d
q_001	「ファイルの変更履歴を記録・管理する分散型バージョン管理システム」に当てはまる用語はどれですか。	Git	Gitは、ファイルの変更履歴を記録・管理する分散型バージョン管理システム。	0	Git	GitHub	バージョン管理	リポジトリ
q_002	「GitHub」の説明として正しいものはどれですか。	GitHub	GitHubは、Gitリポジトリをホストし共同作業を支援するサービス。	1	ファイルの変更履歴を保存し過去の状態や差分を扱う仕組み	Gitリポジトリをホストし共同作業を支援するサービス	プロジェクトのファイルと変更履歴を保存する場所	自分のコンピューター上にあるGitリポジトリ
q_003	次の場面や説明に最も合う用語はどれですか。「ファイルの変更履歴を保存し過去の状態や差分を扱う仕組み」	バージョン管理	バージョン管理は、ファイルの変更履歴を保存し過去の状態や差分を扱う仕組み。	2	リポジトリ	ローカルリポジトリ	バージョン管理	リモートリポジトリ
q_004	用語「リポジトリ」が表す内容はどれですか。	リポジトリ	リポジトリは、プロジェクトのファイルと変更履歴を保存する場所。	3	自分のコンピューター上にあるGitリポジトリ	ネットワーク上にあり他者と共有できるGitリポジトリ	実際に編集しているファイルが置かれた領域	プロジェクトのファイルと変更履歴を保存する場所
q_005	「自分のコンピューター上にあるGitリポジトリ」に当てはまる用語はどれですか。	ローカルリポジトリ	ローカルリポジトリは、自分のコンピューター上にあるGitリポジトリ。	0	ローカルリポジトリ	リモートリポジトリ	作業ツリー	ステージングエリア
q_006	「リモートリポジトリ」の説明として正しいものはどれですか。	リモートリポジトリ	リモートリポジトリは、ネットワーク上にあり他者と共有できるGitリポジトリ。	1	実際に編集しているファイルが置かれた領域	ネットワーク上にあり他者と共有できるGitリポジトリ	次のコミットに含める変更を準備する領域	選んだ変更を履歴としてひとまとまりに記録する操作
q_007	次の場面や説明に最も合う用語はどれですか。「実際に編集しているファイルが置かれた領域」	作業ツリー	作業ツリーは、実際に編集しているファイルが置かれた領域。	2	ステージングエリア	コミット	作業ツリー	コミットID
q_008	用語「ステージングエリア」が表す内容はどれですか。	ステージングエリア	ステージングエリアは、次のコミットに含める変更を準備する領域。	3	選んだ変更を履歴としてひとまとまりに記録する操作	各コミットを識別するハッシュ値	現在チェックアウトしているコミットなどを指す参照	次のコミットに含める変更を準備する領域
q_009	「選んだ変更を履歴としてひとまとまりに記録する操作」に当てはまる用語はどれですか。	コミット	コミットは、選んだ変更を履歴としてひとまとまりに記録する操作。	0	コミット	コミットID	HEAD	ブランチ
q_010	「コミットID」の説明として正しいものはどれですか。	コミットID	コミットIDは、各コミットを識別するハッシュ値。	1	現在チェックアウトしているコミットなどを指す参照	各コミットを識別するハッシュ値	履歴から分岐して独立に作業を進めるための参照	リポジトリで基準として設定されているブランチ
q_011	次の場面や説明に最も合う用語はどれですか。「現在チェックアウトしているコミットなどを指す参照」	HEAD	HEADは、現在チェックアウトしているコミットなどを指す参照。	2	ブランチ	デフォルトブランチ	HEAD	マージ
q_012	用語「ブランチ」が表す内容はどれですか。	ブランチ	ブランチは、履歴から分岐して独立に作業を進めるための参照。	3	リポジトリで基準として設定されているブランチ	別のブランチの変更を現在の履歴へ統合する操作	同じ箇所への異なる変更などをGitが自動統合できない状態	履歴から分岐して独立に作業を進めるための参照
q_013	「リポジトリで基準として設定されているブランチ」に当てはまる用語はどれですか。	デフォルトブランチ	デフォルトブランチは、リポジトリで基準として設定されているブランチ。	0	デフォルトブランチ	マージ	マージコンフリクト	クローン
q_014	「マージ」の説明として正しいものはどれですか。	マージ	マージは、別のブランチの変更を現在の履歴へ統合する操作。	1	同じ箇所への異なる変更などをGitが自動統合できない状態	別のブランチの変更を現在の履歴へ統合する操作	既存リポジトリを履歴ごと手元へ複製する操作	現在のディレクトリに新しいGitリポジトリを作るコマンド
q_015	次の場面や説明に最も合う用語はどれですか。「同じ箇所への異なる変更などをGitが自動統合できない状態」	マージコンフリクト	マージコンフリクトは、同じ箇所への異なる変更などをGitが自動統合できない状態。	2	クローン	git init	マージコンフリクト	git add
q_016	用語「クローン」が表す内容はどれですか。	クローン	クローンは、既存リポジトリを履歴ごと手元へ複製する操作。	3	現在のディレクトリに新しいGitリポジトリを作るコマンド	変更をステージングエリアへ追加するコマンド	作業ツリーやステージングの状態を確認するコマンド	既存リポジトリを履歴ごと手元へ複製する操作
q_017	「現在のディレクトリに新しいGitリポジトリを作るコマンド」に当てはまる用語はどれですか。	git init	git initは、現在のディレクトリに新しいGitリポジトリを作るコマンド。	0	git init	git add	git status	git diff
q_018	「git add」の説明として正しいものはどれですか。	git add	git addは、変更をステージングエリアへ追加するコマンド。	1	作業ツリーやステージングの状態を確認するコマンド	変更をステージングエリアへ追加するコマンド	変更内容の差分を表示するコマンド	ステージされた変更を履歴に記録するコマンド
q_019	次の場面や説明に最も合う用語はどれですか。「作業ツリーやステージングの状態を確認するコマンド」	git status	git statusは、作業ツリーやステージングの状態を確認するコマンド。	2	git diff	git commit	git status	git log
q_020	用語「git diff」が表す内容はどれですか。	git diff	git diffは、変更内容の差分を表示するコマンド。	3	ステージされた変更を履歴に記録するコマンド	コミット履歴を表示するコマンド	指定したコミットなどの内容と差分を表示するコマンド	変更内容の差分を表示するコマンド
q_021	「ステージされた変更を履歴に記録するコマンド」に当てはまる用語はどれですか。	git commit	git commitは、ステージされた変更を履歴に記録するコマンド。	0	git commit	git log	git show	git branch
q_022	「git log」の説明として正しいものはどれですか。	git log	git logは、コミット履歴を表示するコマンド。	1	指定したコミットなどの内容と差分を表示するコマンド	コミット履歴を表示するコマンド	ブランチの一覧表示や作成などに使うコマンド	作業するブランチを切り替えるコマンド
q_023	次の場面や説明に最も合う用語はどれですか。「指定したコミットなどの内容と差分を表示するコマンド」	git show	git showは、指定したコミットなどの内容と差分を表示するコマンド。	2	git branch	git switch	git show	git merge
q_024	用語「git branch」が表す内容はどれですか。	git branch	git branchは、ブランチの一覧表示や作成などに使うコマンド。	3	作業するブランチを切り替えるコマンド	指定したブランチの履歴を現在のブランチへ統合するコマンド	リモートなどの既存リポジトリを複製するコマンド	ブランチの一覧表示や作成などに使うコマンド
q_025	「作業するブランチを切り替えるコマンド」に当てはまる用語はどれですか。	git switch	git switchは、作業するブランチを切り替えるコマンド。	0	git switch	git merge	git clone	git remote
q_026	「git merge」の説明として正しいものはどれですか。	git merge	git mergeは、指定したブランチの履歴を現在のブランチへ統合するコマンド。	1	リモートなどの既存リポジトリを複製するコマンド	指定したブランチの履歴を現在のブランチへ統合するコマンド	リモートリポジトリの登録や確認に使うコマンド	クローン元のリモートに慣例的に付く名前
q_027	次の場面や説明に最も合う用語はどれですか。「リモートなどの既存リポジトリを複製するコマンド」	git clone	git cloneは、リモートなどの既存リポジトリを複製するコマンド。	2	git remote	origin	git clone	git fetch
q_028	用語「git remote」が表す内容はどれですか。	git remote	git remoteは、リモートリポジトリの登録や確認に使うコマンド。	3	クローン元のリモートに慣例的に付く名前	リモートの更新を取得するが作業中のブランチへは自動統合しないコマンド	リモートの更新を取得し現在のブランチへの統合も行うコマンド	リモートリポジトリの登録や確認に使うコマンド
q_029	「クローン元のリモートに慣例的に付く名前」に当てはまる用語はどれですか。	origin	originは、クローン元のリモートに慣例的に付く名前。	0	origin	git fetch	git pull	git push
q_030	「git fetch」の説明として正しいものはどれですか。	git fetch	git fetchは、リモートの更新を取得するが作業中のブランチへは自動統合しないコマンド。	1	リモートの更新を取得し現在のブランチへの統合も行うコマンド	リモートの更新を取得するが作業中のブランチへは自動統合しないコマンド	ローカルのコミットをリモートへ送るコマンド	Gitがすでに履歴管理の対象として認識しているファイル
q_031	次の場面や説明に最も合う用語はどれですか。「リモートの更新を取得し現在のブランチへの統合も行うコマンド」	git pull	git pullは、リモートの更新を取得し現在のブランチへの統合も行うコマンド。	2	git push	追跡対象ファイル	git pull	未追跡ファイル
q_032	用語「git push」が表す内容はどれですか。	git push	git pushは、ローカルのコミットをリモートへ送るコマンド。	3	Gitがすでに履歴管理の対象として認識しているファイル	作業ツリーにあるがまだGitの管理対象になっていないファイル	追跡対象ファイルが直近の記録から書き換えられた状態	ローカルのコミットをリモートへ送るコマンド
q_033	「Gitがすでに履歴管理の対象として認識しているファイル」に当てはまる用語はどれですか。	追跡対象ファイル	追跡対象ファイルは、Gitがすでに履歴管理の対象として認識しているファイル。	0	追跡対象ファイル	未追跡ファイル	変更済み	ステージ済み
q_034	「未追跡ファイル」の説明として正しいものはどれですか。	未追跡ファイル	未追跡ファイルは、作業ツリーにあるがまだGitの管理対象になっていないファイル。	1	追跡対象ファイルが直近の記録から書き換えられた状態	作業ツリーにあるがまだGitの管理対象になっていないファイル	変更が次のコミット候補として登録された状態	Gitの追跡対象にしないファイルやパターンを指定するファイル
q_035	次の場面や説明に最も合う用語はどれですか。「追跡対象ファイルが直近の記録から書き換えられた状態」	変更済み	変更済みは、追跡対象ファイルが直近の記録から書き換えられた状態。	2	ステージ済み	.gitignore	変更済み	タグ
q_036	用語「ステージ済み」が表す内容はどれですか。	ステージ済み	ステージ済みは、変更が次のコミット候補として登録された状態。	3	Gitの追跡対象にしないファイルやパターンを指定するファイル	特定のコミットに分かりやすい名前を付ける参照	未コミットの変更を一時的に退避する仕組み	変更が次のコミット候補として登録された状態
q_037	「Gitの追跡対象にしないファイルやパターンを指定するファイル」に当てはまる用語はどれですか。	.gitignore	.gitignoreは、Gitの追跡対象にしないファイルやパターンを指定するファイル。	0	.gitignore	タグ	stash	フォーク
q_038	「タグ」の説明として正しいものはどれですか。	タグ	タグは、特定のコミットに分かりやすい名前を付ける参照。	1	未コミットの変更を一時的に退避する仕組み	特定のコミットに分かりやすい名前を付ける参照	GitHub上で他者のリポジトリを自分側の別リポジトリとして複製する機能	あるブランチの変更を別のブランチへ取り込むよう提案するGitHubの機能
q_039	次の場面や説明に最も合う用語はどれですか。「未コミットの変更を一時的に退避する仕組み」	stash	stashは、未コミットの変更を一時的に退避する仕組み。	2	フォーク	プルリクエスト	stash	コードレビュー
q_040	用語「フォーク」が表す内容はどれですか。	フォーク	フォークは、GitHub上で他者のリポジトリを自分側の別リポジトリとして複製する機能。	3	あるブランチの変更を別のブランチへ取り込むよう提案するGitHubの機能	変更内容を他者が確認し意見や改善点を伝える作業	バグ・要望・作業などを記録し議論するGitHubの機能	GitHub上で他者のリポジトリを自分側の別リポジトリとして複製する機能
q_041	「あるブランチの変更を別のブランチへ取り込むよう提案するGitHubの機能」に当てはまる用語はどれですか。	プルリクエスト	プルリクエストは、あるブランチの変更を別のブランチへ取り込むよう提案するGitHubの機能。	0	プルリクエスト	コードレビュー	Issue	README
q_042	「コードレビュー」の説明として正しいものはどれですか。	コードレビュー	コードレビューは、変更内容を他者が確認し意見や改善点を伝える作業。	1	バグ・要望・作業などを記録し議論するGitHubの機能	変更内容を他者が確認し意見や改善点を伝える作業	プロジェクトの概要や使い方を説明する代表的な文書	ソフトウェアの利用・改変・再配布などの条件を示すもの
q_043	次の場面や説明に最も合う用語はどれですか。「バグ・要望・作業などを記録し議論するGitHubの機能」	Issue	Issueは、バグ・要望・作業などを記録し議論するGitHubの機能。	2	README	ライセンス	Issue	コラボレーター
q_044	用語「README」が表す内容はどれですか。	README	READMEは、プロジェクトの概要や使い方を説明する代表的な文書。	3	ソフトウェアの利用・改変・再配布などの条件を示すもの	リポジトリで共同作業する権限を持つ利用者	一般に閲覧できる設定のGitHubリポジトリ	プロジェクトの概要や使い方を説明する代表的な文書
q_045	「ソフトウェアの利用・改変・再配布などの条件を示すもの」に当てはまる用語はどれですか。	ライセンス	ライセンスは、ソフトウェアの利用・改変・再配布などの条件を示すもの。	0	ライセンス	コラボレーター	公開リポジトリ	非公開リポジトリ
q_046	「コラボレーター」の説明として正しいものはどれですか。	コラボレーター	コラボレーターは、リポジトリで共同作業する権限を持つ利用者。	1	一般に閲覧できる設定のGitHubリポジトリ	リポジトリで共同作業する権限を持つ利用者	許可された利用者だけがアクセスできる設定のリポジトリ	リポジトリ内のイベントをきっかけに処理を自動実行するGitHubの機能
q_047	次の場面や説明に最も合う用語はどれですか。「一般に閲覧できる設定のGitHubリポジトリ」	公開リポジトリ	公開リポジトリは、一般に閲覧できる設定のGitHubリポジトリ。	2	非公開リポジトリ	GitHub Actions	公開リポジトリ	CI
q_048	用語「非公開リポジトリ」が表す内容はどれですか。	非公開リポジトリ	非公開リポジトリは、許可された利用者だけがアクセスできる設定のリポジトリ。	3	リポジトリ内のイベントをきっかけに処理を自動実行するGitHubの機能	変更のたびにビルドやテストなどを自動実行して統合を確認する考え方	ファイルの変更履歴を記録・管理する分散型バージョン管理システム	許可された利用者だけがアクセスできる設定のリポジトリ
q_049	「リポジトリ内のイベントをきっかけに処理を自動実行するGitHubの機能」に当てはまる用語はどれですか。	GitHub Actions	GitHub Actionsは、リポジトリ内のイベントをきっかけに処理を自動実行するGitHubの機能。	0	GitHub Actions	CI	Git	GitHub
q_050	「CI」の説明として正しいものはどれですか。	CI	CIは、変更のたびにビルドやテストなどを自動実行して統合を確認する考え方。	1	ファイルの変更履歴を記録・管理する分散型バージョン管理システム	変更のたびにビルドやテストなどを自動実行して統合を確認する考え方	Gitリポジトリをホストし共同作業を支援するサービス	ファイルの変更履歴を保存し過去の状態や差分を扱う仕組み
